threshold,dimension,group,candidate_frame_encounters,ready_encounters,input_unavailable_encounters,input_unavailable_rate,candidate_cards,candidate_card_rate,support_status,interpretation,claim_limit
0.02000000,bmi_band,40.0+,3,3,0,,3,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.03000000,age_band,35-44,127,109,18,0.141732,3,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.03000000,age_band,45-54,80,72,8,0.100000,3,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.03000000,age_band,55-64,45,39,6,0.133333,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.03000000,age_band,65-70,36,29,7,0.194444,6,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.03000000,source_recorded_gender,female,151,130,21,0.139073,3,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.03000000,source_recorded_gender,male,137,119,18,0.131387,9,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.03000000,language_access,english,264,228,36,0.136364,12,0.052632,report synthetic comparison with boundary,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.03000000,language_access,other_language,8,8,0,,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.03000000,language_access,spanish,16,13,3,,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.03000000,disability_access,cognitive_support,60,52,8,0.133333,4,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.03000000,disability_access,low_vision,62,52,10,0.161290,2,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.03000000,disability_access,motor_access,48,41,7,0.145833,3,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.03000000,disability_access,none,53,43,10,0.188679,2,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.03000000,disability_access,screen_reader,65,61,4,0.061538,1,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.03000000,bmi_band,25.0-29.9,200,174,26,0.130000,1,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.03000000,bmi_band,30.0-34.9,80,68,12,0.150000,5,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.03000000,bmi_band,35.0-39.9,5,4,1,,3,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.03000000,bmi_band,40.0+,3,3,0,,3,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.04000000,age_band,35-44,127,109,18,0.141732,2,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.04000000,age_band,45-54,80,72,8,0.100000,1,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.04000000,age_band,55-64,45,39,6,0.133333,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.04000000,age_band,65-70,36,29,7,0.194444,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.04000000,source_recorded_gender,female,151,130,21,0.139073,1,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.04000000,source_recorded_gender,male,137,119,18,0.131387,2,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.04000000,language_access,english,264,228,36,0.136364,3,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.04000000,language_access,other_language,8,8,0,,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.04000000,language_access,spanish,16,13,3,,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.04000000,disability_access,cognitive_support,60,52,8,0.133333,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.04000000,disability_access,low_vision,62,52,10,0.161290,1,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.04000000,disability_access,motor_access,48,41,7,0.145833,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.04000000,disability_access,none,53,43,10,0.188679,1,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.04000000,disability_access,screen_reader,65,61,4,0.061538,1,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.04000000,bmi_band,25.0-29.9,200,174,26,0.130000,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.04000000,bmi_band,30.0-34.9,80,68,12,0.150000,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.04000000,bmi_band,35.0-39.9,5,4,1,,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.04000000,bmi_band,40.0+,3,3,0,,3,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.05000000,age_band,35-44,127,109,18,0.141732,2,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.05000000,age_band,45-54,80,72,8,0.100000,1,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.05000000,age_band,55-64,45,39,6,0.133333,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.05000000,age_band,65-70,36,29,7,0.194444,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.05000000,source_recorded_gender,female,151,130,21,0.139073,1,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.05000000,source_recorded_gender,male,137,119,18,0.131387,2,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.05000000,language_access,english,264,228,36,0.136364,3,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.05000000,language_access,other_language,8,8,0,,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.05000000,language_access,spanish,16,13,3,,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.05000000,disability_access,cognitive_support,60,52,8,0.133333,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.05000000,disability_access,low_vision,62,52,10,0.161290,1,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.05000000,disability_access,motor_access,48,41,7,0.145833,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.05000000,disability_access,none,53,43,10,0.188679,1,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.05000000,disability_access,screen_reader,65,61,4,0.061538,1,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.05000000,bmi_band,25.0-29.9,200,174,26,0.130000,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.05000000,bmi_band,30.0-34.9,80,68,12,0.150000,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.05000000,bmi_band,35.0-39.9,5,4,1,,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.05000000,bmi_band,40.0+,3,3,0,,3,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.07500000,age_band,35-44,127,109,18,0.141732,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.07500000,age_band,45-54,80,72,8,0.100000,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.07500000,age_band,55-64,45,39,6,0.133333,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.07500000,age_band,65-70,36,29,7,0.194444,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.07500000,source_recorded_gender,female,151,130,21,0.139073,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.07500000,source_recorded_gender,male,137,119,18,0.131387,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.07500000,language_access,english,264,228,36,0.136364,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.07500000,language_access,other_language,8,8,0,,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.07500000,language_access,spanish,16,13,3,,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.07500000,disability_access,cognitive_support,60,52,8,0.133333,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.07500000,disability_access,low_vision,62,52,10,0.161290,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.07500000,disability_access,motor_access,48,41,7,0.145833,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.07500000,disability_access,none,53,43,10,0.188679,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.07500000,disability_access,screen_reader,65,61,4,0.061538,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.07500000,bmi_band,25.0-29.9,200,174,26,0.130000,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.07500000,bmi_band,30.0-34.9,80,68,12,0.150000,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.07500000,bmi_band,35.0-39.9,5,4,1,,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.07500000,bmi_band,40.0+,3,3,0,,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.10000000,age_band,35-44,127,109,18,0.141732,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.10000000,age_band,45-54,80,72,8,0.100000,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.10000000,age_band,55-64,45,39,6,0.133333,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.10000000,age_band,65-70,36,29,7,0.194444,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.10000000,source_recorded_gender,female,151,130,21,0.139073,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.10000000,source_recorded_gender,male,137,119,18,0.131387,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.10000000,language_access,english,264,228,36,0.136364,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.10000000,language_access,other_language,8,8,0,,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.10000000,language_access,spanish,16,13,3,,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.10000000,disability_access,cognitive_support,60,52,8,0.133333,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.10000000,disability_access,low_vision,62,52,10,0.161290,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.10000000,disability_access,motor_access,48,41,7,0.145833,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.10000000,disability_access,none,53,43,10,0.188679,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.10000000,disability_access,screen_reader,65,61,4,0.061538,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.10000000,bmi_band,25.0-29.9,200,174,26,0.130000,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.10000000,bmi_band,30.0-34.9,80,68,12,0.150000,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.10000000,bmi_band,35.0-39.9,5,4,1,,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
0.10000000,bmi_band,40.0+,3,3,0,,0,,suppress candidate-card rate: support rule not met,scripted access and reach audit; no fairness conclusion or group-specific action,"synthetic repeated-encounter slice; not population prevalence, disparity proof, fairness certification, or targeting authority"
