field_id,file,field,data_type,grain,field_class,source_or_derivation,timing_availability,missing_meaning,allowed_use,prohibited_interpretation
D058,site-assignment and analysis,teaching_site_id,text,person,synthetic_extension,fixed probability draw by tier,extension construction,never missing,site-method instruction,real facility identity or rank
D059,site-assignment and analysis,extension_seed,text,person,synthetic_extension,fixed app1-six-site-v1 seed,extension construction,never missing,reproduction,secret randomness
D060,site-assignment and analysis,extension_version,text,person,synthetic_extension,extension contract version,extension construction,never missing,provenance,source version
D061,site-assignment and analysis,field_class,text,person,synthetic_extension,literal synthetic_extension,extension construction,never missing,field separation,source observation
D062,cohort-flow.csv,step,integer,flow step,derived,fixed ordered flow,build time,never missing,flow ordering,patient sequence
D063,cohort-flow.csv,state,text,flow step,derived,phenotype branch,build time,never missing,flow explanation,clinical state adjudication
D064,cohort-flow.csv,starting,integer,flow step,derived,prior remaining count,build time,never missing,denominator conservation,real population count
D065,cohort-flow.csv,branched_or_excluded,integer,flow step,derived,branch count,build time,never missing,flow conservation,unimportant exclusion
D066,cohort-flow.csv,remaining,integer,flow step,derived,starting minus branch count,build time,never missing,flow conservation,real eligible population
D067,cohort-flow.csv,rule,text,flow step,derived,declared phenotype rule,build time,never missing,interpretation,clinical guideline
D068,censoring-summary.csv,disposition,text,summary row,derived,event competing death or administrative end,follow-up,never missing,censoring summary,no-event claim
D069,censoring-summary.csv,people,integer,summary row,derived,count in row,build time,zero is explicit,denominator review,real population count
D070,censoring-summary.csv,minimum_observed_days,number,summary row,derived,minimum person time,build time,blank when people is zero,follow-up summary,individual prediction
D071,censoring-summary.csv,median_observed_days,number,summary row,derived,median person time,build time,blank when people is zero,follow-up summary,individual prediction
D072,censoring-summary.csv,maximum_observed_days,number,summary row,derived,maximum person time,build time,blank when people is zero,follow-up summary,complete follow-up proof
D073,site-support.csv,exposed,integer,site summary,derived,landmark exposure count,build time,never missing,support review,treatment reach
D074,site-support.csv,unexposed,integer,site summary,derived,no-exposure count,build time,never missing,support review,access failure
D075,site-support.csv,later_events,integer,site summary,derived,event count,build time,never missing,support review,site quality
D076,site-support.csv,exposed_events,integer,site summary,derived,event count among exposed,build time,never missing,support review,treatment effect
D077,site-support.csv,unexposed_events,integer,site summary,derived,event count among unexposed,build time,never missing,support review,treatment effect
D078,site-support.csv,low_risk,integer,site summary,synthetic_extension,low-tier count,build time,never missing,case-mix support,real risk mix
D079,site-support.csv,medium_risk,integer,site summary,synthetic_extension,medium-tier count,build time,never missing,case-mix support,real risk mix
D080,site-support.csv,high_risk,integer,site summary,synthetic_extension,high-tier count,build time,never missing,case-mix support,real risk mix
D081,site-support.csv,mean_age,number,site summary,derived,mean source age,build time,blank only for empty site,case-mix support,site performance
D082,site-support.csv,prior_acute_total,integer,site summary,derived,sum of prior acute count,build time,never missing,case-mix support,site quality
D083,site-support.csv,followup_percent,number,site summary,derived,100 times exposed divided by people,build time,blank only for empty site,descriptive support,causal effect or access quality
D084,site-support.csv,raw_event_percent,number,site summary,derived,100 times events divided by people,build time,blank only for empty site,descriptive support,adjusted site performance
D085,site-support.csv,known_direct_site_effect,integer,site summary,synthetic_extension,literal zero by construction,extension contract,never missing,known-truth instruction,estimated clinical effect
D086,query-checks.csv,check_name,text,check row,derived,registered invariant,build time,never missing,validation,clinical outcome
D087,query-checks.csv,observed_value,integer,check row,derived,SQL aggregate,build time,never missing,validation,real population estimate
