HPSA Name,HPSA ID,Designation Type,HPSA Discipline Class,HPSA Score,Primary State Abbreviation,HPSA Status,HPSA Designation Date,HPSA Designation Last Update Date,HPSA Degree of Shortage,Withdrawn Date,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,HPSA Population Type,Rural Status,Common County Name,Common State Abbreviation,State and County Federal Information Processing Standard Code,HPSA Component Name,HPSA Component Source Identification Number,HPSA Component Type Description,HPSA Estimated Served Population,HPSA Estimated Underserved Population,HPSA Provider Ratio Goal,HPSA Shortage,Data Warehouse Record Create Date
LI-Brunswick Leland,1375052810,HPSA Population,Primary Care,16,NC,Designated,02/13/2026,02/13/2026,Not applicable,,0.0000,6006.0,14.3,,Low Income Population HPSA,Non-Rural,"Brunswick County, NC",NC,37019,Census Tract 202.01; Brunswick County; North Carolina,,Census Tract,0,6006,3000:1,2.0000,08/29/2026
LI-Brunswick Leland,1375052810,HPSA Population,Primary Care,16,NC,Designated,02/13/2026,02/13/2026,Not applicable,,0.0000,6006.0,14.3,,Low Income Population HPSA,Non-Rural,"Brunswick County, NC",NC,37019,Census Tract 201.01; Brunswick County; North Carolina,,Census Tract,0,6006,3000:1,2.0000,08/29/2026
LI-Brunswick Leland,1375052810,HPSA Population,Primary Care,16,NC,Designated,02/13/2026,02/13/2026,Not applicable,,0.0000,6006.0,14.3,,Low Income Population HPSA,Non-Rural,"Brunswick County, NC",NC,37019,Census Tract 201.07; Brunswick County; North Carolina,,Census Tract,0,6006,3000:1,2.0000,08/29/2026
LI-Brunswick Leland,1375052810,HPSA Population,Primary Care,16,NC,Designated,02/13/2026,02/13/2026,Not applicable,,0.0000,6006.0,14.3,,Low Income Population HPSA,Non-Rural,"Brunswick County, NC",NC,37019,Census Tract 201.08; Brunswick County; North Carolina,,Census Tract,0,6006,3000:1,2.0000,08/29/2026
LI-Brunswick Bolivia,1377175696,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,0.2196,4220.0,14.0,19217:1,Low Income Population HPSA,Rural,"Brunswick County, NC",NC,37019,Census Tract 202.04; Brunswick County; North Carolina,,Census Tract,659,3561,3000:1,1.1904,08/29/2026
LI-Brunswick Bolivia,1377175696,HPSA Population,Primary Care,16,NC,Designated,02/18/2026,02/18/2026,Not applicable,,0.2196,4220.0,14.0,19217:1,Low Income Population HPSA,Partially Rural,"Brunswick County, NC",NC,37019,Census Tract 206.03; Brunswick County; North Carolina,,Census Tract,659,3561,3000:1,1.1904,08/29/2026
Craggy Correctional Institution,1371537330,Correctional Facility,Primary Care,6,NC,Designated,07/06/2018,03/21/2023,6,,0.5750,3498.0,,,,Non-Rural,"Buncombe County, NC",NC,37021,Craggy Correctional Institution,1371537330,Unknown,,,1000:1,2.9250,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 12; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 21.01; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 13; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 14.01; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 18.02; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 20; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 14.02; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 7; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 8; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 15; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 18.01; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 2; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 11; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 1; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 22.04; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 9; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 22.03; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 23.06; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 25.06; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 30.03; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 19; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 3; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 10; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Asheville Arden,1372903380,HPSA Population,Primary Care,17,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.2588,33531.0,15.7,129563:1,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 21.02; Buncombe County; North Carolina,,Census Tract,776,32755,3000:1,10.9212,08/29/2026
LI-Buncombe Northwest,1374238795,HPSA Population,Primary Care,16,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.0000,11474.0,12.4,,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 27.01; Buncombe County; North Carolina,,Census Tract,0,11474,3000:1,3.8200,08/29/2026
LI-Buncombe Northwest,1374238795,HPSA Population,Primary Care,16,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.0000,11474.0,12.4,,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 28.03; Buncombe County; North Carolina,,Census Tract,0,11474,3000:1,3.8200,08/29/2026
LI-Buncombe Northwest,1374238795,HPSA Population,Primary Care,16,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.0000,11474.0,12.4,,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 26.04; Buncombe County; North Carolina,,Census Tract,0,11474,3000:1,3.8200,08/29/2026
LI-Buncombe Northwest,1374238795,HPSA Population,Primary Care,16,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.0000,11474.0,12.4,,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 26.06; Buncombe County; North Carolina,,Census Tract,0,11474,3000:1,3.8200,08/29/2026
LI-Buncombe Northwest,1374238795,HPSA Population,Primary Care,16,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.0000,11474.0,12.4,,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 26.07; Buncombe County; North Carolina,,Census Tract,0,11474,3000:1,3.8200,08/29/2026
LI-Buncombe Northwest,1374238795,HPSA Population,Primary Care,16,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.0000,11474.0,12.4,,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 26.08; Buncombe County; North Carolina,,Census Tract,0,11474,3000:1,3.8200,08/29/2026
LI-Buncombe Northwest,1374238795,HPSA Population,Primary Care,16,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.0000,11474.0,12.4,,Low Income Population HPSA,Rural,"Buncombe County, NC",NC,37021,Census Tract 26.03; Buncombe County; North Carolina,,Census Tract,0,11474,3000:1,3.8200,08/29/2026
LI-Buncombe Northwest,1374238795,HPSA Population,Primary Care,16,NC,Designated,08/26/2026,08/26/2026,Not applicable,,0.0000,11474.0,12.4,,Low Income Population HPSA,Non-Rural,"Buncombe County, NC",NC,37021,Census Tract 26.09; Buncombe County; North Carolina,,Census Tract,0,11474,3000:1,3.8200,08/29/2026
Medically Indigent - Buncombe County,1374277232,HPSA Population,Primary Care,13,NC,Withdrawn,01/11/2012,07/07/2021,Not applicable,07/07/2021,7.8300,32818.0,16.4,4191:1,Other Population HPSA,Partially Rural,"Buncombe County, NC",NC,37021,Buncombe,,Single County,23490,9328,3000:1,3.1100,08/29/2026
LI-Buncombe County,1375257937,HPSA Population,Primary Care,8,NC,Proposed For Withdrawal,08/17/2020,09/22/2025,Not applicable,,27.2840,82716.0,12.2,3032:1,Low Income Population HPSA,Partially Rural,"Buncombe County, NC",NC,37021,Buncombe,,Single County,81852,864,3000:1,0.2860,08/29/2026
