facility_id,facility_name,city,state,county,measure_id,display_label,unit,direction,score_raw,score_numeric,value_status,sample,footnote,period_start,period_end,cms_release_date,ma_reported_n,ma_median,ma_min,ma_max,ma_rank_unfavorable,selected_hospital,scenario_threshold,threshold_operator,threshold_crossed,threshold_origin,source_lag_days_at_release,monitoring_use,action_if_crossed,interpretation_boundary
220015,"COOLEY DICKINSON HOSPITAL INC,THE",NORTHAMPTON,MA,HAMPSHIRE,OP_22,Patients leaving before being seen,percent,lower_is_better,4,4,reported,38282,,2024-01-01,2024-12-31,2026-08-13,53,3,0,23,18,no,10,>=,no,Mock QI charter for teaching; not a CMS benchmark,590,historical_public_reporting_review_only,"Validate the numerator, denominator, and current local abandonment data, then open a multidisciplinary review if the current local measure confirms the signal.","Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220016,BAYSTATE FRANKLIN MEDICAL CENTER,GREENFIELD,MA,FRANKLIN,EDV,Emergency department volume category,CMS volume category,context_only,medium,,reported_category,,,2024-01-01,2024-12-31,2026-08-13,,,,,,no,,,not_applicable,Not applicable,590,historical_public_reporting_review_only,Use as public volume context; do not treat the category as a performance result.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220016,BAYSTATE FRANKLIN MEDICAL CENTER,GREENFIELD,MA,FRANKLIN,OP_18b,Median ED time before departure,minutes,lower_is_better,194,194,reported,364,,2024-10-01,2025-09-30,2026-08-13,54,211.5,113,336,38,no,240,>=,no,Mock QI charter for teaching; not a CMS benchmark,317,historical_public_reporting_review_only,Validate the current local throughput definition and review recent encounter-level time data before choosing an intervention.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220016,BAYSTATE FRANKLIN MEDICAL CENTER,GREENFIELD,MA,FRANKLIN,OP_22,Patients leaving before being seen,percent,lower_is_better,2,2,reported,27680,,2024-01-01,2024-12-31,2026-08-13,53,3,0,23,36,no,10,>=,no,Mock QI charter for teaching; not a CMS benchmark,590,historical_public_reporting_review_only,"Validate the numerator, denominator, and current local abandonment data, then open a multidisciplinary review if the current local measure confirms the signal.","Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220017,CARNEY HOSPITAL,BOSTON,MA,SUFFOLK,EDV,Emergency department volume category,CMS volume category,context_only,Not Available,,not_available,,19,2024-01-01,2024-12-31,2026-08-13,,,,,,no,,,not_applicable,Not applicable,590,historical_public_reporting_review_only,Use as public volume context; do not treat the category as a performance result.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220017,CARNEY HOSPITAL,BOSTON,MA,SUFFOLK,OP_18b,Median ED time before departure,minutes,lower_is_better,Not Available,,not_available,Not Available,19,2024-10-01,2025-09-30,2026-08-13,54,211.5,113,336,,no,240,>=,not_applicable,Mock QI charter for teaching; not a CMS benchmark,317,historical_public_reporting_review_only,Validate the current local throughput definition and review recent encounter-level time data before choosing an intervention.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220017,CARNEY HOSPITAL,BOSTON,MA,SUFFOLK,OP_22,Patients leaving before being seen,percent,lower_is_better,Not Available,,not_available,Not Available,19,2024-01-01,2024-12-31,2026-08-13,53,3,0,23,,no,10,>=,not_applicable,Mock QI charter for teaching; not a CMS benchmark,590,historical_public_reporting_review_only,"Validate the numerator, denominator, and current local abandonment data, then open a multidisciplinary review if the current local measure confirms the signal.","Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220019,UMASS MEMORIAL HEALTH - HARRINGTON HOSPITAL,SOUTHBRIDGE,MA,WORCESTER,EDV,Emergency department volume category,CMS volume category,context_only,high,,reported_category,,,2024-01-01,2024-12-31,2026-08-13,,,,,,no,,,not_applicable,Not applicable,590,historical_public_reporting_review_only,Use as public volume context; do not treat the category as a performance result.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220019,UMASS MEMORIAL HEALTH - HARRINGTON HOSPITAL,SOUTHBRIDGE,MA,WORCESTER,OP_18b,Median ED time before departure,minutes,lower_is_better,209,209,reported,348,,2024-10-01,2025-09-30,2026-08-13,54,211.5,113,336,28,no,240,>=,no,Mock QI charter for teaching; not a CMS benchmark,317,historical_public_reporting_review_only,Validate the current local throughput definition and review recent encounter-level time data before choosing an intervention.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220019,UMASS MEMORIAL HEALTH - HARRINGTON HOSPITAL,SOUTHBRIDGE,MA,WORCESTER,OP_22,Patients leaving before being seen,percent,lower_is_better,3,3,reported,43541,,2024-01-01,2024-12-31,2026-08-13,53,3,0,23,25,no,10,>=,no,Mock QI charter for teaching; not a CMS benchmark,590,historical_public_reporting_review_only,"Validate the numerator, denominator, and current local abandonment data, then open a multidisciplinary review if the current local measure confirms the signal.","Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220020,SAINT ANNE'S HOSPITAL,FALL RIVER,MA,BRISTOL,EDV,Emergency department volume category,CMS volume category,context_only,high,,reported_category,,,2024-01-01,2024-12-31,2026-08-13,,,,,,no,,,not_applicable,Not applicable,590,historical_public_reporting_review_only,Use as public volume context; do not treat the category as a performance result.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220020,SAINT ANNE'S HOSPITAL,FALL RIVER,MA,BRISTOL,OP_18b,Median ED time before departure,minutes,lower_is_better,194,194,reported,337,,2024-10-01,2025-09-30,2026-08-13,54,211.5,113,336,38,no,240,>=,no,Mock QI charter for teaching; not a CMS benchmark,317,historical_public_reporting_review_only,Validate the current local throughput definition and review recent encounter-level time data before choosing an intervention.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220020,SAINT ANNE'S HOSPITAL,FALL RIVER,MA,BRISTOL,OP_22,Patients leaving before being seen,percent,lower_is_better,5,5,reported,42544,,2024-01-01,2024-12-31,2026-08-13,53,3,0,23,11,no,10,>=,no,Mock QI charter for teaching; not a CMS benchmark,590,historical_public_reporting_review_only,"Validate the numerator, denominator, and current local abandonment data, then open a multidisciplinary review if the current local measure confirms the signal.","Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220024,HOLYOKE MEDICAL CENTER,HOLYOKE,MA,HAMPDEN,EDV,Emergency department volume category,CMS volume category,context_only,high,,reported_category,,,2024-01-01,2024-12-31,2026-08-13,,,,,,no,,,not_applicable,Not applicable,590,historical_public_reporting_review_only,Use as public volume context; do not treat the category as a performance result.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220024,HOLYOKE MEDICAL CENTER,HOLYOKE,MA,HAMPDEN,OP_18b,Median ED time before departure,minutes,lower_is_better,253,253,reported,430,,2024-10-01,2025-09-30,2026-08-13,54,211.5,113,336,15,no,240,>=,yes,Mock QI charter for teaching; not a CMS benchmark,317,historical_public_reporting_review_only,Validate the current local throughput definition and review recent encounter-level time data before choosing an intervention.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220024,HOLYOKE MEDICAL CENTER,HOLYOKE,MA,HAMPDEN,OP_22,Patients leaving before being seen,percent,lower_is_better,3,3,reported,44317,,2024-01-01,2024-12-31,2026-08-13,53,3,0,23,25,no,10,>=,no,Mock QI charter for teaching; not a CMS benchmark,590,historical_public_reporting_review_only,"Validate the numerator, denominator, and current local abandonment data, then open a multidisciplinary review if the current local measure confirms the signal.","Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220029,ANNA JAQUES HOSPITAL,NEWBURYPORT,MA,ESSEX,EDV,Emergency department volume category,CMS volume category,context_only,low,,reported_category,,,2024-01-01,2024-12-31,2026-08-13,,,,,,yes,,,not_applicable,Not applicable,590,historical_public_reporting_review_only,Use as public volume context; do not treat the category as a performance result.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220029,ANNA JAQUES HOSPITAL,NEWBURYPORT,MA,ESSEX,OP_18b,Median ED time before departure,minutes,lower_is_better,188,188,reported,422,,2024-10-01,2025-09-30,2026-08-13,54,211.5,113,336,45,yes,240,>=,no,Mock QI charter for teaching; not a CMS benchmark,317,historical_public_reporting_review_only,Validate the current local throughput definition and review recent encounter-level time data before choosing an intervention.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220029,ANNA JAQUES HOSPITAL,NEWBURYPORT,MA,ESSEX,OP_22,Patients leaving before being seen,percent,lower_is_better,23,23,reported,19211,,2024-01-01,2024-12-31,2026-08-13,53,3,0,23,1,yes,10,>=,yes,Mock QI charter for teaching; not a CMS benchmark,590,historical_public_reporting_review_only,"Validate the numerator, denominator, and current local abandonment data, then open a multidisciplinary review if the current local measure confirms the signal.","Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220030,BAYSTATE WING HOSPITAL,PALMER,MA,HAMPDEN,EDV,Emergency department volume category,CMS volume category,context_only,medium,,reported_category,,,2024-01-01,2024-12-31,2026-08-13,,,,,,no,,,not_applicable,Not applicable,590,historical_public_reporting_review_only,Use as public volume context; do not treat the category as a performance result.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220030,BAYSTATE WING HOSPITAL,PALMER,MA,HAMPDEN,OP_18b,Median ED time before departure,minutes,lower_is_better,214,214,reported,356,,2024-10-01,2025-09-30,2026-08-13,54,211.5,113,336,27,no,240,>=,no,Mock QI charter for teaching; not a CMS benchmark,317,historical_public_reporting_review_only,Validate the current local throughput definition and review recent encounter-level time data before choosing an intervention.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220030,BAYSTATE WING HOSPITAL,PALMER,MA,HAMPDEN,OP_22,Patients leaving before being seen,percent,lower_is_better,3,3,reported,39537,,2024-01-01,2024-12-31,2026-08-13,53,3,0,23,25,no,10,>=,no,Mock QI charter for teaching; not a CMS benchmark,590,historical_public_reporting_review_only,"Validate the numerator, denominator, and current local abandonment data, then open a multidisciplinary review if the current local measure confirms the signal.","Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220031,BOSTON MEDICAL CENTER,BOSTON,MA,SUFFOLK,EDV,Emergency department volume category,CMS volume category,context_only,very high,,reported_category,,,2024-01-01,2024-12-31,2026-08-13,,,,,,no,,,not_applicable,Not applicable,590,historical_public_reporting_review_only,Use as public volume context; do not treat the category as a performance result.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220031,BOSTON MEDICAL CENTER,BOSTON,MA,SUFFOLK,OP_18b,Median ED time before departure,minutes,lower_is_better,227,227,reported,415,,2024-10-01,2025-09-30,2026-08-13,54,211.5,113,336,22,no,240,>=,no,Mock QI charter for teaching; not a CMS benchmark,317,historical_public_reporting_review_only,Validate the current local throughput definition and review recent encounter-level time data before choosing an intervention.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220031,BOSTON MEDICAL CENTER,BOSTON,MA,SUFFOLK,OP_22,Patients leaving before being seen,percent,lower_is_better,7,7,reported,133123,,2024-01-01,2024-12-31,2026-08-13,53,3,0,23,5,no,10,>=,no,Mock QI charter for teaching; not a CMS benchmark,590,historical_public_reporting_review_only,"Validate the numerator, denominator, and current local abandonment data, then open a multidisciplinary review if the current local measure confirms the signal.","Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220033,NORTHEAST HOSPITAL CORPORATION,BEVERLY,MA,ESSEX,EDV,Emergency department volume category,CMS volume category,context_only,very high,,reported_category,,,2024-01-01,2024-12-31,2026-08-13,,,,,,no,,,not_applicable,Not applicable,590,historical_public_reporting_review_only,Use as public volume context; do not treat the category as a performance result.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220033,NORTHEAST HOSPITAL CORPORATION,BEVERLY,MA,ESSEX,OP_18b,Median ED time before departure,minutes,lower_is_better,190,190,reported,356,,2024-10-01,2025-09-30,2026-08-13,54,211.5,113,336,42,no,240,>=,no,Mock QI charter for teaching; not a CMS benchmark,317,historical_public_reporting_review_only,Validate the current local throughput definition and review recent encounter-level time data before choosing an intervention.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220033,NORTHEAST HOSPITAL CORPORATION,BEVERLY,MA,ESSEX,OP_22,Patients leaving before being seen,percent,lower_is_better,2,2,reported,62592,,2024-01-01,2024-12-31,2026-08-13,53,3,0,23,36,no,10,>=,no,Mock QI charter for teaching; not a CMS benchmark,590,historical_public_reporting_review_only,"Validate the numerator, denominator, and current local abandonment data, then open a multidisciplinary review if the current local measure confirms the signal.","Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220035,NORTH SHORE MEDICAL CENTER -,SALEM,MA,ESSEX,EDV,Emergency department volume category,CMS volume category,context_only,very high,,reported_category,,,2024-01-01,2024-12-31,2026-08-13,,,,,,no,,,not_applicable,Not applicable,590,historical_public_reporting_review_only,Use as public volume context; do not treat the category as a performance result.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220035,NORTH SHORE MEDICAL CENTER -,SALEM,MA,ESSEX,OP_18b,Median ED time before departure,minutes,lower_is_better,271,271,reported,373,,2024-10-01,2025-09-30,2026-08-13,54,211.5,113,336,8,no,240,>=,yes,Mock QI charter for teaching; not a CMS benchmark,317,historical_public_reporting_review_only,Validate the current local throughput definition and review recent encounter-level time data before choosing an intervention.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220035,NORTH SHORE MEDICAL CENTER -,SALEM,MA,ESSEX,OP_22,Patients leaving before being seen,percent,lower_is_better,7,7,reported,78429,,2024-01-01,2024-12-31,2026-08-13,53,3,0,23,5,no,10,>=,no,Mock QI charter for teaching; not a CMS benchmark,590,historical_public_reporting_review_only,"Validate the numerator, denominator, and current local abandonment data, then open a multidisciplinary review if the current local measure confirms the signal.","Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220036,BOSTON MEDICAL CENTER-BRIGHTON,BRIGHTON,MA,SUFFOLK,EDV,Emergency department volume category,CMS volume category,context_only,medium,,reported_category,,,2024-01-01,2024-12-31,2026-08-13,,,,,,no,,,not_applicable,Not applicable,590,historical_public_reporting_review_only,Use as public volume context; do not treat the category as a performance result.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220036,BOSTON MEDICAL CENTER-BRIGHTON,BRIGHTON,MA,SUFFOLK,OP_18b,Median ED time before departure,minutes,lower_is_better,146,146,reported,352,,2024-10-01,2025-09-30,2026-08-13,54,211.5,113,336,52,no,240,>=,no,Mock QI charter for teaching; not a CMS benchmark,317,historical_public_reporting_review_only,Validate the current local throughput definition and review recent encounter-level time data before choosing an intervention.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220036,BOSTON MEDICAL CENTER-BRIGHTON,BRIGHTON,MA,SUFFOLK,OP_22,Patients leaving before being seen,percent,lower_is_better,1,1,reported,25208,,2024-01-01,2024-12-31,2026-08-13,53,3,0,23,47,no,10,>=,no,Mock QI charter for teaching; not a CMS benchmark,590,historical_public_reporting_review_only,"Validate the numerator, denominator, and current local abandonment data, then open a multidisciplinary review if the current local measure confirms the signal.","Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220046,BERKSHIRE MEDICAL CENTER,PITTSFIELD,MA,BERKSHIRE,EDV,Emergency department volume category,CMS volume category,context_only,high,,reported_category,,,2024-01-01,2024-12-31,2026-08-13,,,,,,no,,,not_applicable,Not applicable,590,historical_public_reporting_review_only,Use as public volume context; do not treat the category as a performance result.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220046,BERKSHIRE MEDICAL CENTER,PITTSFIELD,MA,BERKSHIRE,OP_18b,Median ED time before departure,minutes,lower_is_better,254,254,reported,361,,2024-10-01,2025-09-30,2026-08-13,54,211.5,113,336,14,no,240,>=,yes,Mock QI charter for teaching; not a CMS benchmark,317,historical_public_reporting_review_only,Validate the current local throughput definition and review recent encounter-level time data before choosing an intervention.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220046,BERKSHIRE MEDICAL CENTER,PITTSFIELD,MA,BERKSHIRE,OP_22,Patients leaving before being seen,percent,lower_is_better,5,5,reported,43047,,2024-01-01,2024-12-31,2026-08-13,53,3,0,23,11,no,10,>=,no,Mock QI charter for teaching; not a CMS benchmark,590,historical_public_reporting_review_only,"Validate the numerator, denominator, and current local abandonment data, then open a multidisciplinary review if the current local measure confirms the signal.","Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220049,MARLBOROUGH HOSPITAL,MARLBOROUGH,MA,MIDDLESEX,EDV,Emergency department volume category,CMS volume category,context_only,medium,,reported_category,,,2024-01-01,2024-12-31,2026-08-13,,,,,,no,,,not_applicable,Not applicable,590,historical_public_reporting_review_only,Use as public volume context; do not treat the category as a performance result.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220049,MARLBOROUGH HOSPITAL,MARLBOROUGH,MA,MIDDLESEX,OP_18b,Median ED time before departure,minutes,lower_is_better,226,226,reported,340,,2024-10-01,2025-09-30,2026-08-13,54,211.5,113,336,23,no,240,>=,no,Mock QI charter for teaching; not a CMS benchmark,317,historical_public_reporting_review_only,Validate the current local throughput definition and review recent encounter-level time data before choosing an intervention.,"Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
220049,MARLBOROUGH HOSPITAL,MARLBOROUGH,MA,MIDDLESEX,OP_22,Patients leaving before being seen,percent,lower_is_better,5,5,reported,29529,,2024-01-01,2024-12-31,2026-08-13,53,3,0,23,11,no,10,>=,no,Mock QI charter for teaching; not a CMS benchmark,590,historical_public_reporting_review_only,"Validate the numerator, denominator, and current local abandonment data, then open a multidisciplinary review if the current local measure confirms the signal.","Public aggregate reporting can trigger local definition and data review; it cannot establish current operations, cause, or intervention effect."
