county_fips,state_abbr,state_name,county_name,measure_id,measure_name,measure_year,release_label,places_total_population,places_adult_population,crude_prevalence_pct,crude_low_95_pct,crude_high_95_pct,age_adjusted_prevalence_pct,age_adjusted_low_95_pct,age_adjusted_high_95_pct,modeled_adult_count,count_status,acs_adult_population,acs_adult_moe90,acs_65plus_population,acs_65plus_moe90,acs_65plus_share_adult_pct,acs_moe_status,adult_population_difference_pct,teaching_low_denominator_flag,source_footnote
37033,NC,North Carolina,Caswell,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,22614,18570,15.9,13.9,18.2,12.2,10.7,14.0,2953,"modeled estimate, not observed cases",18294,757,5168,412,28.2,reported,-1.5,0,
37035,NC,North Carolina,Catawba,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,163462,128493,12.0,10.4,13.8,10.1,8.7,11.6,15419,"modeled estimate, not observed cases",128179,1976,30611,1184,23.9,reported,-0.2,0,
37037,NC,North Carolina,Chatham,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,79864,64854,13.5,11.6,15.5,9.9,8.4,11.4,8755,"modeled estimate, not observed cases",64635,1569,20191,889,31.2,reported,-0.3,0,
37039,NC,North Carolina,Cherokee,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,29512,24916,15.6,13.6,17.8,10.6,9.2,12.2,3887,"modeled estimate, not observed cases",24846,780,9303,506,37.4,reported,-0.3,0,
37041,NC,North Carolina,Chowan,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,13940,11202,16.3,14.2,18.6,12.2,10.5,14.0,1826,"modeled estimate, not observed cases",11184,776,3606,371,32.2,reported,-0.2,0,
37043,NC,North Carolina,Clay,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,11614,9847,14.3,12.3,16.5,9.6,8.2,11.2,1408,"modeled estimate, not observed cases",9745,598,3806,333,39.1,reported,-1.0,1,
37045,NC,North Carolina,Cleveland,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,100670,78292,13.6,11.8,15.5,11.3,9.7,13.0,10648,"modeled estimate, not observed cases",78463,1394,18996,784,24.2,reported,0.2,0,
37047,NC,North Carolina,Columbus,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,49885,39531,16.2,14.1,18.3,13.4,11.6,15.2,6404,"modeled estimate, not observed cases",39806,982,10376,543,26.1,reported,0.7,0,
37049,NC,North Carolina,Craven,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,100874,79170,13.7,11.9,15.6,11.6,10.0,13.3,10846,"modeled estimate, not observed cases",80793,1455,21446,868,26.5,reported,2.1,0,
37051,NC,North Carolina,Cumberland,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,336699,252559,11.6,10.0,13.3,12.2,10.5,13.9,29297,"modeled estimate, not observed cases",253517,2108,44031,1063,17.4,reported,0.4,0,
37053,NC,North Carolina,Currituck,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,31015,24131,11.2,9.6,12.8,9.0,7.8,10.4,2703,"modeled estimate, not observed cases",23897,771,5489,413,23.0,reported,-1.0,0,
37055,NC,North Carolina,Dare,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,37956,31156,11.4,9.8,13.3,8.2,7.0,9.6,3552,"modeled estimate, not observed cases",31104,981,9563,604,30.7,reported,-0.2,0,
37057,NC,North Carolina,Davidson,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,172586,135652,12.3,10.7,14.4,10.3,8.9,12.1,16685,"modeled estimate, not observed cases",135478,2024,32898,1195,24.3,reported,-0.1,0,
37059,NC,North Carolina,Davie,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,44090,35045,12.5,10.6,14.4,9.7,8.2,11.2,4381,"modeled estimate, not observed cases",34915,966,9775,623,28.0,reported,-0.4,0,
37061,NC,North Carolina,Duplin,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,48990,37227,15.3,13.3,17.6,12.6,10.8,14.5,5696,"modeled estimate, not observed cases",37627,938,9815,547,26.1,reported,1.1,0,
37063,NC,North Carolina,Durham,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,332680,268509,10.3,8.9,11.9,10.2,8.8,11.7,27656,"modeled estimate, not observed cases",265750,2923,48164,1539,18.1,reported,-1.0,0,
37065,NC,North Carolina,Edgecombe,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,48301,37386,17.5,15.3,19.9,14.3,12.4,16.3,6543,"modeled estimate, not observed cases",37584,1073,10191,617,27.1,reported,0.5,0,
37067,NC,North Carolina,Forsyth,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,389157,302280,12.1,10.4,13.8,10.6,9.1,12.2,36576,"modeled estimate, not observed cases",301634,2998,66134,1655,21.9,reported,-0.2,0,
37069,NC,North Carolina,Franklin,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,74539,58589,13.3,11.5,15.2,11.2,9.7,12.9,7792,"modeled estimate, not observed cases",58192,1297,12988,699,22.3,reported,-0.7,0,
37071,NC,North Carolina,Gaston,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,234215,182451,12.5,10.7,14.3,10.9,9.3,12.4,22806,"modeled estimate, not observed cases",182185,2015,38767,1097,21.3,reported,-0.1,0,
37073,NC,North Carolina,Gates,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,10383,8389,15.4,13.3,17.6,11.5,9.9,13.2,1292,"modeled estimate, not observed cases",8382,524,2357,258,28.1,reported,-0.1,1,
37075,NC,North Carolina,Graham,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,7980,6411,13.8,11.8,15.8,10.4,8.9,12.0,885,"modeled estimate, not observed cases",6528,418,2062,257,31.6,reported,1.8,1,
37077,NC,North Carolina,Granville,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,61903,49520,14.3,12.4,16.3,11.8,10.2,13.6,7081,"modeled estimate, not observed cases",48284,1253,10771,673,22.3,reported,-2.5,0,
37079,NC,North Carolina,Greene,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,20211,16362,15.3,13.2,17.4,13.8,12.0,15.8,2503,"modeled estimate, not observed cases",16624,693,3544,305,21.3,reported,1.6,0,
37081,NC,North Carolina,Guilford,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,546101,427983,11.8,10.3,13.6,11.0,9.6,12.7,50502,"modeled estimate, not observed cases",427367,3613,87184,1975,20.4,reported,-0.1,0,
37083,NC,North Carolina,Halifax,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,47848,37624,18.6,16.4,21.3,14.5,12.7,16.7,6998,"modeled estimate, not observed cases",37562,945,10515,582,28.0,reported,-0.2,0,
37085,NC,North Carolina,Harnett,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,138832,103786,12.2,10.5,14.1,11.5,9.9,13.3,12662,"modeled estimate, not observed cases",103756,1571,19073,815,18.4,reported,-0.0,0,
37087,NC,North Carolina,Haywood,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,62609,51693,12.4,10.6,14.3,9.2,7.9,10.7,6410,"modeled estimate, not observed cases",51637,1211,16106,811,31.2,reported,-0.1,0,
37089,NC,North Carolina,Henderson,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,118106,96745,12.4,10.7,14.4,9.2,7.9,10.6,11996,"modeled estimate, not observed cases",96341,1718,31376,1034,32.6,reported,-0.4,0,
37091,NC,North Carolina,Hertford,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,20875,17171,18.1,15.8,20.5,15.0,13.1,17.2,3108,"modeled estimate, not observed cases",16071,554,4533,302,28.2,reported,-6.4,0,
37093,NC,North Carolina,Hoke,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,53787,39354,13.0,11.3,14.9,13.0,11.3,14.9,5116,"modeled estimate, not observed cases",39340,842,6285,416,16.0,reported,-0.0,0,
37095,NC,North Carolina,Hyde,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,4576,3862,17.0,14.7,19.4,13.5,11.7,15.6,657,"modeled estimate, not observed cases",3766,451,902,211,24.0,reported,-2.5,1,
37097,NC,North Carolina,Iredell,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,195897,152777,11.4,9.8,13.2,9.7,8.3,11.2,17417,"modeled estimate, not observed cases",152795,2076,32939,1181,21.6,reported,0.0,0,
37099,NC,North Carolina,Jackson,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,42955,36071,11.4,9.8,13.1,10.1,8.7,11.7,4112,"modeled estimate, not observed cases",36607,1257,8847,571,24.2,reported,1.5,0,
37101,NC,North Carolina,Johnston,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,234778,177552,12.1,10.5,13.9,11.0,9.5,12.6,21484,"modeled estimate, not observed cases",175927,2417,32148,1216,18.3,reported,-0.9,0,
37103,NC,North Carolina,Jones,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,9233,7545,16.5,14.4,18.8,12.3,10.6,14.1,1245,"modeled estimate, not observed cases",7578,401,2248,219,29.7,reported,0.4,1,
37105,NC,North Carolina,Lee,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,65476,50217,13.7,11.8,15.6,11.7,10.1,13.4,6880,"modeled estimate, not observed cases",50229,1259,11283,685,22.5,reported,0.0,0,
37107,NC,North Carolina,Lenoir,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,54633,42248,17.2,14.9,19.6,13.6,11.8,15.6,7267,"modeled estimate, not observed cases",42526,1133,11781,671,27.7,reported,0.7,0,
37109,NC,North Carolina,Lincoln,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,93095,74084,12.2,10.4,14.0,9.7,8.3,11.2,9038,"modeled estimate, not observed cases",73585,1556,18062,807,24.5,reported,-0.7,0,
37111,NC,North Carolina,McDowell,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,44753,36114,13.9,11.9,15.9,11.0,9.5,12.7,5020,"modeled estimate, not observed cases",36125,1029,9401,605,26.0,reported,0.0,0,
37113,NC,North Carolina,Macon,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,38065,31219,14.1,12.2,16.3,10.0,8.6,11.7,4402,"modeled estimate, not observed cases",31218,1107,11079,664,35.5,reported,-0.0,0,
37115,NC,North Carolina,Madison,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,21768,18131,12.3,10.5,14.1,9.8,8.3,11.3,2230,"modeled estimate, not observed cases",18094,683,5079,391,28.1,reported,-0.2,0,
37117,NC,North Carolina,Martin,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,21508,17181,18.2,15.8,20.6,13.3,11.5,15.2,3127,"modeled estimate, not observed cases",17245,746,5532,425,32.1,reported,0.4,0,
37119,NC,North Carolina,Mecklenburg,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,1145392,888818,10.5,8.9,12.3,10.6,9.0,12.3,93326,"modeled estimate, not observed cases",890948,4838,137905,2415,15.5,reported,0.2,0,
37121,NC,North Carolina,Mitchell,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,15094,12320,12.9,11.0,14.7,9.5,8.1,10.8,1589,"modeled estimate, not observed cases",12355,526,3891,337,31.5,reported,0.3,0,
37123,NC,North Carolina,Montgomery,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,25894,20532,14.5,12.6,16.7,11.4,9.8,13.1,2977,"modeled estimate, not observed cases",20699,828,5787,405,28.0,reported,0.8,0,
37125,NC,North Carolina,Moore,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,105531,82726,12.1,10.3,13.9,9.2,7.8,10.6,10010,"modeled estimate, not observed cases",82073,1592,25231,1013,30.7,reported,-0.8,0,
37127,NC,North Carolina,Nash,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,95789,74919,14.6,12.6,16.8,12.2,10.5,14.0,10938,"modeled estimate, not observed cases",75006,1450,18623,870,24.8,reported,0.1,0,
37129,NC,North Carolina,New Hanover,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,234921,194120,10.2,8.9,11.8,9.1,7.8,10.5,19800,"modeled estimate, not observed cases",193107,2752,44810,1522,23.2,reported,-0.5,0,
37131,NC,North Carolina,Northampton,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,16779,13851,20.0,17.5,22.4,13.9,12.1,15.7,2770,"modeled estimate, not observed cases",13933,497,5013,356,36.0,reported,0.6,0,
37133,NC,North Carolina,Onslow,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,207298,156300,8.5,7.3,9.7,10.6,9.1,12.2,13286,"modeled estimate, not observed cases",156392,2355,21189,1005,13.5,reported,0.1,0,
37135,NC,North Carolina,Orange,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,150477,122960,8.8,7.6,10.1,8.7,7.5,10.0,10820,"modeled estimate, not observed cases",121443,1919,24097,957,19.8,reported,-1.2,0,
37137,NC,North Carolina,Pamlico,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,12381,10671,15.8,13.6,18.1,10.9,9.4,12.5,1686,"modeled estimate, not observed cases",10635,445,3786,272,35.6,reported,-0.3,0,
37139,NC,North Carolina,Pasquotank,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,40938,32327,13.0,11.1,14.9,11.4,9.8,13.1,4203,"modeled estimate, not observed cases",32097,1024,7612,513,23.7,reported,-0.7,0,
37141,NC,North Carolina,Pender,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,65737,51154,12.3,10.6,14.1,10.1,8.7,11.6,6292,"modeled estimate, not observed cases",50840,1241,11932,668,23.5,reported,-0.6,0,
37143,NC,North Carolina,Perquimans,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,13210,10767,15.1,13.0,17.3,10.6,9.2,12.3,1626,"modeled estimate, not observed cases",10803,537,3834,341,35.5,reported,0.3,0,
37145,NC,North Carolina,Person,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,39386,31351,14.9,13.0,17.1,11.9,10.3,13.6,4671,"modeled estimate, not observed cases",31383,1165,8418,642,26.8,reported,0.1,0,
37147,NC,North Carolina,Pitt,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,173542,136973,11.4,9.9,12.9,11.6,10.0,13.2,15615,"modeled estimate, not observed cases",139949,2403,25702,1250,18.4,reported,2.2,0,
37149,NC,North Carolina,Polk,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,19986,16898,12.2,10.5,14.1,8.3,7.1,9.7,2062,"modeled estimate, not observed cases",16844,606,6487,404,38.5,reported,-0.3,0,
37151,NC,North Carolina,Randolph,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,146043,113982,13.1,11.3,15.1,10.9,9.4,12.5,14932,"modeled estimate, not observed cases",113810,1951,26888,1104,23.6,reported,-0.2,0,
37153,NC,North Carolina,Richmond,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,42778,32808,14.8,12.8,17.0,12.8,11.0,14.7,4856,"modeled estimate, not observed cases",32401,1124,7670,542,23.7,reported,-1.2,0,
37155,NC,North Carolina,Robeson,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,116663,87156,17.4,15.4,19.6,15.6,13.7,17.5,15165,"modeled estimate, not observed cases",86714,1080,18753,578,21.6,reported,-0.5,0,
37157,NC,North Carolina,Rockingham,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,91957,73468,14.9,12.9,16.9,11.8,10.1,13.3,10947,"modeled estimate, not observed cases",73420,1538,19476,848,26.5,reported,-0.1,0,
37159,NC,North Carolina,Rowan,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,149645,117165,13.2,11.4,15.1,11.3,9.7,13.0,15466,"modeled estimate, not observed cases",116647,1902,26593,1065,22.8,reported,-0.4,0,
37161,NC,North Carolina,Rutherford,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,64963,52036,14.4,12.5,16.4,11.0,9.5,12.6,7493,"modeled estimate, not observed cases",51869,1256,14458,747,27.9,reported,-0.3,0,
37163,NC,North Carolina,Sampson,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,59120,44784,15.7,13.7,17.8,13.3,11.5,15.1,7031,"modeled estimate, not observed cases",44886,1048,10793,595,24.0,reported,0.2,0,
37165,NC,North Carolina,Scotland,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,34162,26314,16.9,14.8,19.1,14.8,12.9,16.8,4447,"modeled estimate, not observed cases",25786,626,6178,349,24.0,reported,-2.0,0,
37167,NC,North Carolina,Stanly,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,64153,50302,12.2,10.5,14.1,10.3,8.9,11.9,6137,"modeled estimate, not observed cases",50649,1071,12378,608,24.4,reported,0.7,0,
37169,NC,North Carolina,Stokes,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,45175,36874,13.1,11.3,15.2,9.9,8.5,11.5,4830,"modeled estimate, not observed cases",36741,1127,10441,680,28.4,reported,-0.4,0,
37171,NC,North Carolina,Surry,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,71403,56506,14.2,12.4,16.2,11.1,9.7,12.8,8024,"modeled estimate, not observed cases",56383,1197,14747,639,26.2,reported,-0.2,0,
37173,NC,North Carolina,Swain,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,13967,10864,14.3,12.4,16.5,12.0,10.3,13.8,1554,"modeled estimate, not observed cases",11097,570,2789,323,25.1,reported,2.1,0,
37175,NC,North Carolina,Transylvania,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,33355,28332,12.6,10.8,14.5,8.8,7.5,10.2,3570,"modeled estimate, not observed cases",28418,954,10426,630,36.7,reported,0.3,0,
37177,NC,North Carolina,Tyrrell,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,3365,2644,16.2,14.1,18.5,12.3,10.6,14.1,428,"modeled estimate, not observed cases",2870,357,1055,207,36.8,reported,8.5,1,
37179,NC,North Carolina,Union,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,249070,186219,10.8,9.3,12.4,9.5,8.2,11.0,20112,"modeled estimate, not observed cases",186726,2190,33972,1161,18.2,reported,0.3,0,
37181,NC,North Carolina,Vance,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,42138,32110,16.2,14.1,18.3,13.6,11.7,15.4,5202,"modeled estimate, not observed cases",32162,987,8163,542,25.4,reported,0.2,0,
37183,NC,North Carolina,Wake,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,1175021,908531,9.2,7.9,10.6,8.9,7.7,10.2,83585,"modeled estimate, not observed cases",907474,5272,151920,2666,16.7,reported,-0.1,0,
37185,NC,North Carolina,Warren,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,18713,15455,19.1,16.6,21.6,14.5,12.5,16.5,2952,"modeled estimate, not observed cases",15474,585,5212,355,33.7,reported,0.1,0,
37187,NC,North Carolina,Washington,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,10828,8655,18.9,16.5,21.4,13.8,11.9,15.7,1636,"modeled estimate, not observed cases",8748,629,3030,322,34.6,reported,1.1,1,
37189,NC,North Carolina,Watauga,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,55089,48616,9.2,7.9,10.6,9.9,8.4,11.4,4473,"modeled estimate, not observed cases",48447,1430,9435,610,19.5,reported,-0.3,0,
37191,NC,North Carolina,Wayne,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,117286,89675,13.9,12.0,15.9,12.2,10.5,14.0,12465,"modeled estimate, not observed cases",90638,1566,20262,888,22.4,reported,1.1,0,
37193,NC,North Carolina,Wilkes,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,65784,52904,13.7,11.8,15.7,10.6,9.1,12.2,7248,"modeled estimate, not observed cases",52776,1269,15110,745,28.6,reported,-0.2,0,
37195,NC,North Carolina,Wilson,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,78449,60652,16.4,14.3,18.6,13.7,11.9,15.7,9947,"modeled estimate, not observed cases",61230,1256,15296,772,25.0,reported,1.0,0,
37197,NC,North Carolina,Yadkin,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,37463,29910,13.7,11.8,15.7,10.7,9.2,12.3,4098,"modeled estimate, not observed cases",29813,891,7877,513,26.4,reported,-0.3,0,
37199,NC,North Carolina,Yancey,DIABETES,Diagnosed diabetes among adults,2022,PLACES 2024 release,18811,15489,13.9,12.0,16.0,9.8,8.4,11.4,2153,"modeled estimate, not observed cases",15418,629,5085,407,33.0,reported,-0.5,0,
