county_fips,county_name,polygon_group,point_order,longitude,latitude
37003,Alexander County,37003-1-1,28,-81.108480,36.037140
37003,Alexander County,37003-1-1,29,-81.145832,36.033760
37003,Alexander County,37003-1-1,30,-81.170813,36.025469
37003,Alexander County,37003-1-1,31,-81.184933,36.035003
37003,Alexander County,37003-1-1,32,-81.268451,36.024983
37003,Alexander County,37003-1-1,33,-81.301418,36.004291
37003,Alexander County,37003-1-1,34,-81.328324,35.996583
37003,Alexander County,37003-1-1,35,-81.342878,35.923285
37003,Alexander County,37003-1-1,36,-81.339909,35.909195
37003,Alexander County,37003-1-1,37,-81.333373,35.878892
37003,Alexander County,37003-1-1,38,-81.337773,35.856948
37005,Alleghany County,37005-1-1,1,-81.353259,36.574723
37005,Alleghany County,37005-1-1,2,-81.353150,36.546077
37005,Alleghany County,37005-1-1,3,-81.326742,36.512552
37005,Alleghany County,37005-1-1,4,-81.324082,36.499691
37005,Alleghany County,37005-1-1,5,-81.272081,36.446848
37005,Alleghany County,37005-1-1,6,-81.266578,36.415248
37005,Alleghany County,37005-1-1,7,-81.244244,36.385105
37005,Alleghany County,37005-1-1,8,-81.253552,36.366622
37005,Alleghany County,37005-1-1,9,-81.238045,36.370415
37005,Alleghany County,37005-1-1,10,-81.189256,36.399351
37005,Alleghany County,37005-1-1,11,-81.162956,36.432515
37005,Alleghany County,37005-1-1,12,-81.138242,36.412479
37005,Alleghany County,37005-1-1,13,-81.128398,36.425899
37005,Alleghany County,37005-1-1,14,-81.099022,36.439358
37005,Alleghany County,37005-1-1,15,-81.077794,36.417806
37005,Alleghany County,37005-1-1,16,-81.044272,36.411063
37005,Alleghany County,37005-1-1,17,-81.043865,36.398336
37005,Alleghany County,37005-1-1,18,-81.026688,36.373195
37005,Alleghany County,37005-1-1,19,-80.981310,36.376492
37005,Alleghany County,37005-1-1,20,-80.984196,36.387855
37005,Alleghany County,37005-1-1,21,-80.967153,36.402020
37005,Alleghany County,37005-1-1,22,-80.947182,36.419074
37005,Alleghany County,37005-1-1,23,-80.961589,36.436891
37005,Alleghany County,37005-1-1,24,-80.973643,36.453474
37005,Alleghany County,37005-1-1,25,-80.926890,36.501258
37005,Alleghany County,37005-1-1,26,-80.901665,36.561748
37005,Alleghany County,37005-1-1,27,-80.901726,36.561751
37005,Alleghany County,37005-1-1,28,-80.944338,36.563058
37005,Alleghany County,37005-1-1,29,-80.945988,36.563196
37005,Alleghany County,37005-1-1,30,-81.003802,36.563629
37005,Alleghany County,37005-1-1,31,-81.011402,36.564429
37005,Alleghany County,37005-1-1,32,-81.058844,36.566976
37005,Alleghany County,37005-1-1,33,-81.061866,36.567020
37005,Alleghany County,37005-1-1,34,-81.069085,36.567124
37005,Alleghany County,37005-1-1,35,-81.083206,36.567328
37005,Alleghany County,37005-1-1,36,-81.085202,36.567419
37005,Alleghany County,37005-1-1,37,-81.103399,36.568250
37005,Alleghany County,37005-1-1,38,-81.124809,36.569227
37005,Alleghany County,37005-1-1,39,-81.141810,36.569527
37005,Alleghany County,37005-1-1,40,-81.153581,36.570127
37005,Alleghany County,37005-1-1,41,-81.153605,36.570128
37005,Alleghany County,37005-1-1,42,-81.171212,36.571026
37005,Alleghany County,37005-1-1,43,-81.176712,36.571926
37005,Alleghany County,37005-1-1,44,-81.249816,36.573225
37005,Alleghany County,37005-1-1,45,-81.262303,36.573924
37005,Alleghany County,37005-1-1,46,-81.307511,36.575024
37005,Alleghany County,37005-1-1,47,-81.323581,36.574918
37005,Alleghany County,37005-1-1,48,-81.353259,36.574723
37007,Anson County,37007-1-1,1,-80.310201,34.906453
37007,Anson County,37007-1-1,2,-80.320807,34.814081
37007,Anson County,37007-1-1,3,-80.304690,34.813868
37007,Anson County,37007-1-1,4,-80.293594,34.813721
37007,Anson County,37007-1-1,5,-80.283627,34.813589
37007,Anson County,37007-1-1,6,-80.233960,34.812931
37007,Anson County,37007-1-1,7,-80.229705,34.812843
37007,Anson County,37007-1-1,8,-80.159252,34.811390
37007,Anson County,37007-1-1,9,-80.148677,34.811172
37007,Anson County,37007-1-1,10,-80.131169,34.810811
37007,Anson County,37007-1-1,11,-80.098994,34.810147
37007,Anson County,37007-1-1,12,-80.098022,34.810147
37007,Anson County,37007-1-1,13,-80.077223,34.809716
37007,Anson County,37007-1-1,14,-80.072912,34.809736
37007,Anson County,37007-1-1,15,-80.042764,34.809097
37007,Anson County,37007-1-1,16,-80.027464,34.808726
37007,Anson County,37007-1-1,17,-80.000541,34.808141
37007,Anson County,37007-1-1,18,-79.994026,34.807999
37007,Anson County,37007-1-1,19,-79.928010,34.806564
37007,Anson County,37007-1-1,20,-79.927618,34.806555
37007,Anson County,37007-1-1,21,-79.927416,34.806551
37007,Anson County,37007-1-1,22,-79.913755,34.818922
37007,Anson County,37007-1-1,23,-79.899748,34.858451
37007,Anson County,37007-1-1,24,-79.890856,34.861844
37007,Anson County,37007-1-1,25,-79.863019,34.882479
37007,Anson County,37007-1-1,26,-79.849266,34.900657
37007,Anson County,37007-1-1,27,-79.851271,34.915359
37007,Anson County,37007-1-1,28,-79.872668,34.952838
37007,Anson County,37007-1-1,29,-79.864386,34.972726
37007,Anson County,37007-1-1,30,-79.867138,34.982260
37007,Anson County,37007-1-1,31,-79.899290,35.003674
37007,Anson County,37007-1-1,32,-79.892751,35.024399
37007,Anson County,37007-1-1,33,-79.877197,35.035310
37007,Anson County,37007-1-1,34,-79.883596,35.051722
37007,Anson County,37007-1-1,35,-79.908983,35.066963
37007,Anson County,37007-1-1,36,-79.912936,35.097127
37007,Anson County,37007-1-1,37,-79.929473,35.118404
37007,Anson County,37007-1-1,38,-79.946122,35.118593
37007,Anson County,37007-1-1,39,-79.975778,35.102972
37007,Anson County,37007-1-1,40,-79.986581,35.088808
37007,Anson County,37007-1-1,41,-80.022915,35.090044
37007,Anson County,37007-1-1,42,-80.068150,35.112041
37007,Anson County,37007-1-1,43,-80.075365,35.143081
37007,Anson County,37007-1-1,44,-80.107444,35.173664
37007,Anson County,37007-1-1,45,-80.113670,35.194170
37007,Anson County,37007-1-1,46,-80.129052,35.187581
37007,Anson County,37007-1-1,47,-80.136233,35.167486
37007,Anson County,37007-1-1,48,-80.157837,35.172788
37007,Anson County,37007-1-1,49,-80.160879,35.148700
37007,Anson County,37007-1-1,50,-80.178534,35.149964
37007,Anson County,37007-1-1,51,-80.194920,35.165381
37007,Anson County,37007-1-1,52,-80.225002,35.156241
37007,Anson County,37007-1-1,53,-80.242100,35.181573
37007,Anson County,37007-1-1,54,-80.253109,35.210851
37007,Anson County,37007-1-1,55,-80.263550,35.208557
37007,Anson County,37007-1-1,56,-80.276829,35.195722
37007,Anson County,37007-1-1,57,-80.297285,35.018699
37007,Anson County,37007-1-1,58,-80.302359,34.974598
37007,Anson County,37007-1-1,59,-80.309379,34.913550
37007,Anson County,37007-1-1,60,-80.310201,34.906453
37009,Ashe County,37009-1-1,1,-81.739648,36.406686
37009,Ashe County,37009-1-1,2,-81.739648,36.401599
37009,Ashe County,37009-1-1,3,-81.737952,36.397190
37009,Ashe County,37009-1-1,4,-81.733877,36.394570
37009,Ashe County,37009-1-1,5,-81.731509,36.392103
37009,Ashe County,37009-1-1,6,-81.730491,36.390407
37009,Ashe County,37009-1-1,7,-81.728138,36.391012
37009,Ashe County,37009-1-1,8,-81.648459,36.354277
37009,Ashe County,37009-1-1,9,-81.638186,36.349606
37009,Ashe County,37009-1-1,10,-81.594620,36.306918
37009,Ashe County,37009-1-1,11,-81.566349,36.272202
37009,Ashe County,37009-1-1,12,-81.552237,36.276387
37009,Ashe County,37009-1-1,13,-81.521685,36.255329
37009,Ashe County,37009-1-1,14,-81.502700,36.250231
37009,Ashe County,37009-1-1,15,-81.492785,36.244801
37009,Ashe County,37009-1-1,16,-81.482039,36.240767
37009,Ashe County,37009-1-1,17,-81.477516,36.240250
37009,Ashe County,37009-1-1,18,-81.475227,36.253119
37009,Ashe County,37009-1-1,19,-81.429724,36.266662
37009,Ashe County,37009-1-1,20,-81.415853,36.292230
37009,Ashe County,37009-1-1,21,-81.378643,36.277913
37009,Ashe County,37009-1-1,22,-81.366667,36.285884
37009,Ashe County,37009-1-1,23,-81.361574,36.313403
37009,Ashe County,37009-1-1,24,-81.354301,36.355608
37009,Ashe County,37009-1-1,25,-81.323639,36.376822
37009,Ashe County,37009-1-1,26,-81.266018,36.361106
37009,Ashe County,37009-1-1,27,-81.253552,36.366622
37009,Ashe County,37009-1-1,28,-81.244244,36.385105
37009,Ashe County,37009-1-1,29,-81.266578,36.415248
37009,Ashe County,37009-1-1,30,-81.272081,36.446848
37009,Ashe County,37009-1-1,31,-81.324082,36.499691
37009,Ashe County,37009-1-1,32,-81.326742,36.512552
37009,Ashe County,37009-1-1,33,-81.353150,36.546077
37009,Ashe County,37009-1-1,34,-81.353259,36.574723
37009,Ashe County,37009-1-1,35,-81.353322,36.574723
37009,Ashe County,37009-1-1,36,-81.374824,36.574673
37009,Ashe County,37009-1-1,37,-81.442228,36.576822
37009,Ashe County,37009-1-1,38,-81.476430,36.580421
37009,Ashe County,37009-1-1,39,-81.489387,36.579026
37009,Ashe County,37009-1-1,40,-81.496661,36.579579
37009,Ashe County,37009-1-1,41,-81.499831,36.579820
37009,Ashe County,37009-1-1,42,-81.521032,36.580520
37009,Ashe County,37009-1-1,43,-81.600934,36.587019
37009,Ashe County,37009-1-1,44,-81.617893,36.587262
37009,Ashe County,37009-1-1,45,-81.677535,36.588117
37009,Ashe County,37009-1-1,46,-81.680137,36.585518
37009,Ashe County,37009-1-1,47,-81.679036,36.578918
37009,Ashe County,37009-1-1,48,-81.677236,36.574406
37009,Ashe County,37009-1-1,49,-81.677036,36.570718
37009,Ashe County,37009-1-1,50,-81.679936,36.568618
37009,Ashe County,37009-1-1,51,-81.686436,36.567918
37009,Ashe County,37009-1-1,52,-81.690236,36.568718
37009,Ashe County,37009-1-1,53,-81.692506,36.565748
37009,Ashe County,37009-1-1,54,-81.692167,36.562695
37009,Ashe County,37009-1-1,55,-81.690132,36.559643
37009,Ashe County,37009-1-1,56,-81.689115,36.555912
37009,Ashe County,37009-1-1,57,-81.690030,36.552154
37009,Ashe County,37009-1-1,58,-81.693844,36.549083
37009,Ashe County,37009-1-1,59,-81.697539,36.544359
37009,Ashe County,37009-1-1,60,-81.699962,36.539714
37009,Ashe County,37009-1-1,61,-81.699962,36.536829
37009,Ashe County,37009-1-1,62,-81.707963,36.536209
37009,Ashe County,37009-1-1,63,-81.708262,36.532113
37009,Ashe County,37009-1-1,64,-81.707573,36.526101
37009,Ashe County,37009-1-1,65,-81.702543,36.520317
37009,Ashe County,37009-1-1,66,-81.700553,36.515190
37009,Ashe County,37009-1-1,67,-81.700093,36.514158
37009,Ashe County,37009-1-1,68,-81.699601,36.512883
37009,Ashe County,37009-1-1,69,-81.699446,36.511504
37009,Ashe County,37009-1-1,70,-81.697744,36.508448
37009,Ashe County,37009-1-1,71,-81.697829,36.507544
37009,Ashe County,37009-1-1,72,-81.697290,36.504887
37009,Ashe County,37009-1-1,73,-81.697970,36.504063
37009,Ashe County,37009-1-1,74,-81.699923,36.500865
37009,Ashe County,37009-1-1,75,-81.700238,36.500475
37009,Ashe County,37009-1-1,76,-81.699928,36.498018
37009,Ashe County,37009-1-1,77,-81.698265,36.497221
37009,Ashe County,37009-1-1,78,-81.697261,36.496141
37009,Ashe County,37009-1-1,79,-81.696835,36.493393
37009,Ashe County,37009-1-1,80,-81.695907,36.491580
37009,Ashe County,37009-1-1,81,-81.697287,36.484738
37009,Ashe County,37009-1-1,82,-81.696281,36.475499
37009,Ashe County,37009-1-1,83,-81.694829,36.474463
37009,Ashe County,37009-1-1,84,-81.694533,36.473283
37009,Ashe County,37009-1-1,85,-81.695311,36.467912
37009,Ashe County,37009-1-1,86,-81.697975,36.464741
37009,Ashe County,37009-1-1,87,-81.699223,36.463959
37009,Ashe County,37009-1-1,88,-81.701076,36.464212
37009,Ashe County,37009-1-1,89,-81.708247,36.462217
37009,Ashe County,37009-1-1,90,-81.714890,36.457220
37009,Ashe County,37009-1-1,91,-81.715082,36.453365
37009,Ashe County,37009-1-1,92,-81.714277,36.450978
37009,Ashe County,37009-1-1,93,-81.714212,36.447045
37009,Ashe County,37009-1-1,94,-81.715229,36.444332
37009,Ashe County,37009-1-1,95,-81.715569,36.441280
37009,Ashe County,37009-1-1,96,-81.715229,36.438567
37009,Ashe County,37009-1-1,97,-81.715229,36.436532
37009,Ashe County,37009-1-1,98,-81.716925,36.433140
37009,Ashe County,37009-1-1,99,-81.717939,36.428762
37009,Ashe County,37009-1-1,100,-81.720734,36.422537
37009,Ashe County,37009-1-1,101,-81.729924,36.415422
37009,Ashe County,37009-1-1,102,-81.734312,36.413342
37009,Ashe County,37009-1-1,103,-81.738292,36.410756
37009,Ashe County,37009-1-1,104,-81.739648,36.406686
37011,Avery County,37011-1-1,1,-82.080143,36.105720
37011,Avery County,37011-1-1,2,-82.080945,36.105761
37011,Avery County,37011-1-1,3,-82.071934,36.069874
37011,Avery County,37011-1-1,4,-82.058271,36.045043
37011,Avery County,37011-1-1,5,-82.039175,36.007774
37011,Avery County,37011-1-1,6,-82.059134,35.988346
37011,Avery County,37011-1-1,7,-82.034104,35.942057
37011,Avery County,37011-1-1,8,-81.981954,35.911361
37011,Avery County,37011-1-1,9,-81.954602,35.926649
37011,Avery County,37011-1-1,10,-81.962987,35.941783
37011,Avery County,37011-1-1,11,-81.943188,35.960050
37011,Avery County,37011-1-1,12,-81.900927,35.998938
37011,Avery County,37011-1-1,13,-81.881386,35.992932
37011,Avery County,37011-1-1,14,-81.873038,35.977548
37011,Avery County,37011-1-1,15,-81.844536,35.974976
37011,Avery County,37011-1-1,16,-81.807162,35.961955
37011,Avery County,37011-1-1,17,-81.735673,36.067584
37011,Avery County,37011-1-1,18,-81.758517,36.077164
37011,Avery County,37011-1-1,19,-81.774121,36.098648
37011,Avery County,37011-1-1,20,-81.810516,36.111511
37011,Avery County,37011-1-1,21,-81.812551,36.114837
37011,Avery County,37011-1-1,22,-81.818042,36.133104
37011,Avery County,37011-1-1,23,-81.829377,36.169011
37011,Avery County,37011-1-1,24,-81.843450,36.179481
37011,Avery County,37011-1-1,25,-81.857147,36.193675
37011,Avery County,37011-1-1,26,-81.885383,36.189451
37011,Avery County,37011-1-1,27,-81.888324,36.196607
37011,Avery County,37011-1-1,28,-81.901353,36.205680
37011,Avery County,37011-1-1,29,-81.909008,36.216392
37011,Avery County,37011-1-1,30,-81.911238,36.229502
37011,Avery County,37011-1-1,31,-81.907742,36.238638
37011,Avery County,37011-1-1,32,-81.898548,36.245365
37011,Avery County,37011-1-1,33,-81.903959,36.251149
37011,Avery County,37011-1-1,34,-81.897097,36.261796
37011,Avery County,37011-1-1,35,-81.899769,36.280422
37011,Avery County,37011-1-1,36,-81.918111,36.287113
37011,Avery County,37011-1-1,37,-81.932994,36.264881
37011,Avery County,37011-1-1,38,-81.933020,36.264843
37011,Avery County,37011-1-1,39,-81.938897,36.256067
37011,Avery County,37011-1-1,40,-81.960101,36.228131
37011,Avery County,37011-1-1,41,-81.975723,36.205144
37011,Avery County,37011-1-1,42,-81.989701,36.184576
37011,Avery County,37011-1-1,43,-82.026640,36.130222
37011,Avery County,37011-1-1,44,-82.026340,36.129222
37011,Avery County,37011-1-1,45,-82.028740,36.124322
37011,Avery County,37011-1-1,46,-82.033141,36.120422
37011,Avery County,37011-1-1,47,-82.037941,36.121122
37011,Avery County,37011-1-1,48,-82.043941,36.125421
37011,Avery County,37011-1-1,49,-82.054142,36.126821
37011,Avery County,37011-1-1,50,-82.056042,36.123921
37011,Avery County,37011-1-1,51,-82.056042,36.120721
37011,Avery County,37011-1-1,52,-82.061342,36.113121
37011,Avery County,37011-1-1,53,-82.067142,36.112020
37011,Avery County,37011-1-1,54,-82.079743,36.106520
37011,Avery County,37011-1-1,55,-82.080143,36.105720
37013,Beaufort County,37013-1-1,1,-77.185706,35.719715
37013,Beaufort County,37013-1-1,2,-77.195772,35.699779
37013,Beaufort County,37013-1-1,3,-77.169849,35.684339
37013,Beaufort County,37013-1-1,4,-77.167093,35.672622
37013,Beaufort County,37013-1-1,5,-77.180683,35.664536
37013,Beaufort County,37013-1-1,6,-77.172766,35.639100
37013,Beaufort County,37013-1-1,7,-77.142390,35.617880
37013,Beaufort County,37013-1-1,8,-77.140792,35.605155
37013,Beaufort County,37013-1-1,9,-77.150757,35.602750
37013,Beaufort County,37013-1-1,10,-77.109897,35.583123
37013,Beaufort County,37013-1-1,11,-77.110453,35.569630
37013,Beaufort County,37013-1-1,12,-77.087435,35.564119
37013,Beaufort County,37013-1-1,13,-77.084643,35.552601
37013,Beaufort County,37013-1-1,14,-77.100803,35.551455
37013,Beaufort County,37013-1-1,15,-77.113178,35.549738
37013,Beaufort County,37013-1-1,16,-77.127396,35.553763
37013,Beaufort County,37013-1-1,17,-77.176178,35.518812
37013,Beaufort County,37013-1-1,18,-77.182168,35.449295
37013,Beaufort County,37013-1-1,19,-77.191230,35.435026
37013,Beaufort County,37013-1-1,20,-77.189115,35.418362
37013,Beaufort County,37013-1-1,21,-77.099485,35.372769
37013,Beaufort County,37013-1-1,22,-76.958786,35.300937
37013,Beaufort County,37013-1-1,23,-76.935714,35.283677
37013,Beaufort County,37013-1-1,24,-76.895919,35.253889
37013,Beaufort County,37013-1-1,25,-76.845276,35.216080
37013,Beaufort County,37013-1-1,26,-76.774146,35.222756
37013,Beaufort County,37013-1-1,27,-76.632561,35.235324
37013,Beaufort County,37013-1-1,28,-76.612186,35.279320
37013,Beaufort County,37013-1-1,29,-76.618860,35.300143
37013,Beaufort County,37013-1-1,30,-76.617496,35.328893
37013,Beaufort County,37013-1-1,31,-76.608497,35.336529
37013,Beaufort County,37013-1-1,32,-76.618005,35.341468
37013,Beaufort County,37013-1-1,33,-76.664027,35.345696
37013,Beaufort County,37013-1-1,34,-76.819951,35.405868
37013,Beaufort County,37013-1-1,35,-76.891938,35.433649
37013,Beaufort County,37013-1-1,36,-76.966661,35.437810
37013,Beaufort County,37013-1-1,37,-76.991527,35.467061
37013,Beaufort County,37013-1-1,38,-77.028961,35.488920
37013,Beaufort County,37013-1-1,39,-77.028676,35.495566
37013,Beaufort County,37013-1-1,40,-77.027943,35.512675
37013,Beaufort County,37013-1-1,41,-77.022539,35.513685
37013,Beaufort County,37013-1-1,42,-77.011676,35.515714
37013,Beaufort County,37013-1-1,43,-76.976723,35.488003
37013,Beaufort County,37013-1-1,44,-76.956553,35.480571
37013,Beaufort County,37013-1-1,45,-76.909948,35.463398
37013,Beaufort County,37013-1-1,46,-76.830897,35.447949
37013,Beaufort County,37013-1-1,47,-76.823896,35.445112
37013,Beaufort County,37013-1-1,48,-76.759234,35.418906
37013,Beaufort County,37013-1-1,49,-76.710083,35.427155
37013,Beaufort County,37013-1-1,50,-76.606041,35.387113
37013,Beaufort County,37013-1-1,51,-76.580187,35.387113
37013,Beaufort County,37013-1-1,52,-76.601472,35.460838
37013,Beaufort County,37013-1-1,53,-76.634468,35.510332
37013,Beaufort County,37013-1-1,54,-76.630356,35.513738
37013,Beaufort County,37013-1-1,55,-76.614800,35.526623
37013,Beaufort County,37013-1-1,56,-76.600441,35.538516
37013,Beaufort County,37013-1-1,57,-76.556790,35.528892
37013,Beaufort County,37013-1-1,58,-76.483580,35.538172
37013,Beaufort County,37013-1-1,59,-76.471207,35.557420
37013,Beaufort County,37013-1-1,60,-76.467763,35.555818
37013,Beaufort County,37013-1-1,61,-76.492147,35.572908
37013,Beaufort County,37013-1-1,62,-76.501356,35.571612
37013,Beaufort County,37013-1-1,63,-76.519287,35.584839
37013,Beaufort County,37013-1-1,64,-76.539011,35.582937
37013,Beaufort County,37013-1-1,65,-76.534313,35.595594
37013,Beaufort County,37013-1-1,66,-76.551061,35.596632
37013,Beaufort County,37013-1-1,67,-76.578306,35.612037
37013,Beaufort County,37013-1-1,68,-76.606119,35.646733
37013,Beaufort County,37013-1-1,69,-76.601982,35.670055
37013,Beaufort County,37013-1-1,70,-76.637513,35.705215
37013,Beaufort County,37013-1-1,71,-76.763301,35.705523
37013,Beaufort County,37013-1-1,72,-76.829536,35.705632
37013,Beaufort County,37013-1-1,73,-76.844620,35.705719
37013,Beaufort County,37013-1-1,74,-76.847264,35.719982
37013,Beaufort County,37013-1-1,75,-76.985842,35.658848
37013,Beaufort County,37013-1-1,76,-77.008490,35.668863
37013,Beaufort County,37013-1-1,77,-77.034646,35.678952
37013,Beaufort County,37013-1-1,78,-77.163840,35.739473
37013,Beaufort County,37013-1-1,79,-77.174000,35.732831
37013,Beaufort County,37013-1-1,80,-77.173530,35.727888
37013,Beaufort County,37013-1-1,81,-77.173481,35.716038
37013,Beaufort County,37013-1-1,82,-77.185706,35.719715
37015,Bertie County,37015-1-1,1,-77.327569,36.071361
37015,Bertie County,37015-1-1,2,-77.320792,36.056479
37015,Bertie County,37015-1-1,3,-77.274470,36.033697
37015,Bertie County,37015-1-1,4,-77.230515,36.015577
37015,Bertie County,37015-1-1,5,-77.215841,36.014589
37015,Bertie County,37015-1-1,6,-77.205817,36.005323
37015,Bertie County,37015-1-1,7,-77.213328,35.992533
37015,Bertie County,37015-1-1,8,-77.196664,35.992917
37015,Bertie County,37015-1-1,9,-77.190268,35.973678
37015,Bertie County,37015-1-1,10,-77.195138,35.951717
37015,Bertie County,37015-1-1,11,-77.186393,35.931092
37015,Bertie County,37015-1-1,12,-77.170359,35.929737
37015,Bertie County,37015-1-1,13,-77.162831,35.937666
37015,Bertie County,37015-1-1,14,-77.140777,35.934022
37015,Bertie County,37015-1-1,15,-77.132110,35.940706
37015,Bertie County,37015-1-1,16,-77.119874,35.926151
37015,Bertie County,37015-1-1,17,-77.101172,35.932578
37015,Bertie County,37015-1-1,18,-77.094005,35.924790
37015,Bertie County,37015-1-1,19,-77.080455,35.937628
37015,Bertie County,37015-1-1,20,-77.071484,35.934704
37015,Bertie County,37015-1-1,21,-77.055842,35.944404
37015,Bertie County,37015-1-1,22,-77.042882,35.942278
37015,Bertie County,37015-1-1,23,-77.039292,35.931440
37015,Bertie County,37015-1-1,24,-77.027544,35.929683
37015,Bertie County,37015-1-1,25,-77.027254,35.917787
37015,Bertie County,37015-1-1,26,-77.022161,35.891082
37015,Bertie County,37015-1-1,27,-77.023365,35.890078
37015,Bertie County,37015-1-1,28,-77.025315,35.890653
37015,Bertie County,37015-1-1,29,-77.028127,35.892938
37015,Bertie County,37015-1-1,30,-77.029301,35.893117
37015,Bertie County,37015-1-1,31,-77.032142,35.892619
37015,Bertie County,37015-1-1,32,-77.034534,35.891186
37015,Bertie County,37015-1-1,33,-77.037659,35.890308
37015,Bertie County,37015-1-1,34,-77.037485,35.889378
37015,Bertie County,37015-1-1,35,-77.036527,35.886771
37015,Bertie County,37015-1-1,36,-77.035655,35.885478
37015,Bertie County,37015-1-1,37,-77.034385,35.884402
37015,Bertie County,37015-1-1,38,-77.031676,35.882727
37015,Bertie County,37015-1-1,39,-77.030952,35.881787
37015,Bertie County,37015-1-1,40,-77.031293,35.880705
37015,Bertie County,37015-1-1,41,-77.042282,35.875159
37015,Bertie County,37015-1-1,42,-77.044395,35.875538
37015,Bertie County,37015-1-1,43,-77.045460,35.874759
37015,Bertie County,37015-1-1,44,-77.045099,35.873442
37015,Bertie County,37015-1-1,45,-77.041056,35.870114
37015,Bertie County,37015-1-1,46,-77.040402,35.867928
37015,Bertie County,37015-1-1,47,-77.040962,35.865890
37015,Bertie County,37015-1-1,48,-77.044087,35.863525
37015,Bertie County,37015-1-1,49,-77.044648,35.862076
37015,Bertie County,37015-1-1,50,-77.044259,35.861676
37015,Bertie County,37015-1-1,51,-77.034571,35.857374
37015,Bertie County,37015-1-1,52,-77.014964,35.862655
37015,Bertie County,37015-1-1,53,-77.008071,35.860584
37015,Bertie County,37015-1-1,54,-76.991693,35.865088
37015,Bertie County,37015-1-1,55,-76.987969,35.875839
37015,Bertie County,37015-1-1,56,-76.961880,35.882380
