geo_id,county_fips,acs_adult_population,acs_adult_moe90,acs_65plus_population,acs_65plus_moe90,acs_65plus_share_adult_pct,acs_moe_status,acs_period,acs_table
0500000US01057,01057,12643,583,3509,305,27.8,reported,2020-2024,B01001
0500000US01059,01059,23914,952,5328,439,22.3,reported,2020-2024,B01001
0500000US01061,01061,20982,730,5452,436,26.0,reported,2020-2024,B01001
0500000US01063,01063,5822,497,1864,242,32.0,reported,2020-2024,B01001
0500000US01065,01065,11245,662,2965,291,26.4,reported,2020-2024,B01001
0500000US01067,01067,14045,593,4202,326,29.9,reported,2020-2024,B01001
0500000US01069,01069,83367,943,20206,567,24.2,reported,2020-2024,B01001
0500000US01071,01071,42018,1002,11082,587,26.4,reported,2020-2024,B01001
0500000US01073,01073,514572,3946,112068,2318,21.8,reported,2020-2024,B01001
0500000US01075,01075,10663,484,3069,300,28.8,reported,2020-2024,B01001
0500000US01077,01077,77246,1552,19645,811,25.4,reported,2020-2024,B01001
0500000US01079,01079,26036,789,6336,459,24.3,reported,2020-2024,B01001
0500000US01081,01081,143197,2397,24021,983,16.8,reported,2020-2024,B01001
0500000US01083,01083,86575,1864,17314,918,20.0,reported,2020-2024,B01001
0500000US01085,01085,7675,383,2023,204,26.4,reported,2020-2024,B01001
0500000US01087,01087,15804,649,3967,292,25.1,reported,2020-2024,B01001
0500000US01089,01089,318000,3212,63754,1754,20.0,reported,2020-2024,B01001
0500000US01091,01091,14697,715,3885,318,26.4,reported,2020-2024,B01001
0500000US01093,01093,23021,759,6251,474,27.2,reported,2020-2024,B01001
0500000US01095,01095,73807,1199,17050,673,23.1,reported,2020-2024,B01001
0500000US01097,01097,316551,,71563,1793,22.6,not available in one or more component cells,2020-2024,B01001
0500000US01099,01099,15287,664,4194,331,27.4,reported,2020-2024,B01001
0500000US01101,01101,172062,2345,36690,1332,21.3,reported,2020-2024,B01001
0500000US01103,01103,95365,1618,22372,947,23.5,reported,2020-2024,B01001
0500000US01105,01105,6322,609,1736,231,27.5,reported,2020-2024,B01001
0500000US01107,01107,15137,,3723,287,24.6,not available in one or more component cells,2020-2024,B01001
0500000US01109,01109,26629,915,5140,316,19.3,reported,2020-2024,B01001
0500000US01111,01111,17811,717,4921,436,27.6,reported,2020-2024,B01001
0500000US01113,01113,44513,1169,8979,556,20.2,reported,2020-2024,B01001
0500000US01115,01115,73226,1488,16832,845,23.0,reported,2020-2024,B01001
0500000US01117,01117,177832,,38766,1225,21.8,not available in one or more component cells,2020-2024,B01001
0500000US01119,01119,9585,,2354,265,24.6,not available in one or more component cells,2020-2024,B01001
0500000US01121,01121,64314,1364,15700,751,24.4,reported,2020-2024,B01001
0500000US01123,01123,32721,876,9534,565,29.1,reported,2020-2024,B01001
0500000US01125,01125,188935,,33117,1227,17.5,not available in one or more component cells,2020-2024,B01001
0500000US01127,01127,49972,1150,12743,660,25.5,reported,2020-2024,B01001
0500000US01129,01129,12114,661,3184,317,26.3,reported,2020-2024,B01001
0500000US01131,01131,7917,,2207,234,27.9,not available in one or more component cells,2020-2024,B01001
0500000US01133,01133,18798,605,5210,379,27.7,reported,2020-2024,B01001
0500000US02013,02013,3003,384,456,84,15.2,reported,2020-2024,B01001
0500000US02016,02016,4754,364,312,92,6.6,reported,2020-2024,B01001
0500000US02020,02020,220979,,37183,1269,16.8,not available in one or more component cells,2020-2024,B01001
0500000US02050,02050,12012,370,1538,140,12.8,reported,2020-2024,B01001
0500000US02060,02060,781,169,170,68,21.8,reported,2020-2024,B01001
0500000US02063,02063,5427,337,951,157,17.5,reported,2020-2024,B01001
0500000US02066,02066,1936,179,679,106,35.1,reported,2020-2024,B01001
0500000US02068,02068,1681,654,241,49,14.3,reported,2020-2024,B01001
0500000US02070,02070,3265,588,569,136,17.4,reported,2020-2024,B01001
0500000US02090,02090,72835,1625,12160,768,16.7,reported,2020-2024,B01001
0500000US02100,02100,1624,203,456,86,28.1,reported,2020-2024,B01001
0500000US02105,02105,1917,195,653,97,34.1,reported,2020-2024,B01001
0500000US02110,02110,25297,839,5084,462,20.1,reported,2020-2024,B01001
0500000US02122,02122,47131,954,12085,520,25.6,reported,2020-2024,B01001
0500000US02130,02130,10990,410,2433,191,22.1,reported,2020-2024,B01001
0500000US02150,02150,9747,727,1777,306,18.2,reported,2020-2024,B01001
0500000US02158,02158,4734,181,558,66,11.8,reported,2020-2024,B01001
0500000US02164,02164,778,198,108,26,13.9,reported,2020-2024,B01001
0500000US02170,02170,84001,1042,15498,570,18.4,reported,2020-2024,B01001
0500000US02180,02180,6540,239,875,78,13.4,reported,2020-2024,B01001
0500000US02185,02185,8028,539,875,178,10.9,reported,2020-2024,B01001
0500000US02188,02188,4664,208,630,54,13.5,reported,2020-2024,B01001
0500000US02195,02195,2776,264,802,105,28.9,reported,2020-2024,B01001
0500000US02198,02198,4509,170,1177,88,26.1,reported,2020-2024,B01001
0500000US02220,02220,6764,304,1479,161,21.9,reported,2020-2024,B01001
0500000US02230,02230,1039,197,227,48,21.8,reported,2020-2024,B01001
0500000US02240,02240,5348,292,1106,128,20.7,reported,2020-2024,B01001
0500000US02275,02275,1677,157,572,84,34.1,reported,2020-2024,B01001
0500000US02282,02282,463,126,141,48,30.5,reported,2020-2024,B01001
0500000US02290,02290,3827,246,899,73,23.5,reported,2020-2024,B01001
0500000US04001,04001,48358,951,11004,530,22.8,reported,2020-2024,B01001
0500000US04003,04003,99676,1627,31164,1059,31.3,reported,2020-2024,B01001
0500000US04005,04005,116274,1842,20960,850,18.0,reported,2020-2024,B01001
0500000US04007,04007,43767,1243,16621,783,38.0,reported,2020-2024,B01001
0500000US04009,04009,29108,827,5687,426,19.5,reported,2020-2024,B01001
0500000US04011,04011,7013,588,1329,230,19.0,reported,2020-2024,B01001
0500000US04012,04012,14175,765,7189,582,50.7,reported,2020-2024,B01001
0500000US04013,04013,3535491,,742814,5602,21.0,not available in one or more component cells,2020-2024,B01001
0500000US04015,04015,184919,2672,71936,1825,38.9,reported,2020-2024,B01001
0500000US04017,04017,81052,1385,21823,835,26.9,reported,2020-2024,B01001
0500000US04019,04019,852768,5092,228992,2932,26.9,reported,2020-2024,B01001
0500000US04021,04021,368097,3510,101036,2228,27.4,reported,2020-2024,B01001
0500000US04023,04023,36320,931,9427,520,26.0,reported,2020-2024,B01001
0500000US04025,04025,207699,2655,83800,1799,40.3,reported,2020-2024,B01001
0500000US04027,04027,159745,2263,43769,1337,27.4,reported,2020-2024,B01001
0500000US05001,05001,12689,602,3324,317,26.2,reported,2020-2024,B01001
0500000US05003,05003,14288,608,3963,331,27.7,reported,2020-2024,B01001
0500000US05005,05005,34898,1010,13140,702,37.7,reported,2020-2024,B01001
0500000US05007,05007,226382,2416,41759,1329,18.4,reported,2020-2024,B01001
0500000US05009,05009,29552,931,8083,551,27.4,reported,2020-2024,B01001
0500000US05011,05011,7703,440,1935,217,25.1,reported,2020-2024,B01001
0500000US05013,05013,3801,329,1118,170,29.4,reported,2020-2024,B01001
0500000US05015,05015,22422,807,6705,487,29.9,reported,2020-2024,B01001
0500000US05017,05017,7648,485,2179,231,28.5,reported,2020-2024,B01001
0500000US05019,05019,16885,646,3470,300,20.6,reported,2020-2024,B01001
0500000US05021,05021,11213,433,3112,268,27.8,reported,2020-2024,B01001
0500000US05023,05023,20413,675,6910,424,33.9,reported,2020-2024,B01001
0500000US05025,05025,5858,364,1580,191,27.0,reported,2020-2024,B01001
0500000US05027,05027,17553,723,3905,342,22.2,reported,2020-2024,B01001
0500000US05029,05029,16296,662,4158,360,25.5,reported,2020-2024,B01001
0500000US05031,05031,84696,1692,15723,908,18.6,reported,2020-2024,B01001
0500000US05033,05033,46503,1222,10954,670,23.6,reported,2020-2024,B01001
0500000US05035,05035,34507,827,7221,437,20.9,reported,2020-2024,B01001
0500000US05037,05037,12618,509,3123,275,24.8,reported,2020-2024,B01001
0500000US05039,05039,4986,398,1590,209,31.9,reported,2020-2024,B01001
0500000US05041,05041,8096,438,2168,214,26.8,reported,2020-2024,B01001
0500000US05043,05043,13303,711,3107,351,23.4,reported,2020-2024,B01001
0500000US05045,05045,98823,1755,17545,728,17.8,reported,2020-2024,B01001
0500000US05047,05047,13455,552,3583,332,26.6,reported,2020-2024,B01001
0500000US05049,05049,9761,472,3200,305,32.8,reported,2020-2024,B01001
0500000US05051,05051,80214,1592,24702,933,30.8,reported,2020-2024,B01001
0500000US05053,05053,14395,587,3369,337,23.4,reported,2020-2024,B01001
0500000US05055,05055,35309,972,7533,520,21.3,reported,2020-2024,B01001
0500000US05057,05057,14575,670,3641,338,25.0,reported,2020-2024,B01001
0500000US05059,05059,26641,866,6653,460,25.0,reported,2020-2024,B01001
0500000US05061,05061,9349,483,2371,253,25.4,reported,2020-2024,B01001
0500000US05063,05063,28892,946,6708,501,23.2,reported,2020-2024,B01001
0500000US05065,05065,11519,470,3523,282,30.6,reported,2020-2024,B01001
0500000US05067,05067,13376,515,2998,266,22.4,reported,2020-2024,B01001
0500000US05069,05069,50896,1124,12051,641,23.7,reported,2020-2024,B01001
0500000US05071,05071,19704,719,4422,355,22.4,reported,2020-2024,B01001
0500000US05073,05073,5016,324,1584,190,31.6,reported,2020-2024,B01001
0500000US05075,05075,12614,415,3077,252,24.4,reported,2020-2024,B01001
0500000US05077,05077,6778,510,1707,220,25.2,reported,2020-2024,B01001
0500000US05079,05079,10912,517,1914,196,17.5,reported,2020-2024,B01001
0500000US05081,05081,9232,480,2521,262,27.3,reported,2020-2024,B01001
0500000US05083,05083,16687,605,4242,302,25.4,reported,2020-2024,B01001
0500000US05085,05085,56685,1237,11028,617,19.5,reported,2020-2024,B01001
0500000US05087,05087,13377,657,3415,364,25.5,reported,2020-2024,B01001
0500000US05089,05089,14031,604,4993,449,35.6,reported,2020-2024,B01001
0500000US05091,05091,32461,999,7246,515,22.3,reported,2020-2024,B01001
0500000US05093,05093,29000,854,6085,426,21.0,reported,2020-2024,B01001
0500000US05095,05095,5037,361,1546,191,30.7,reported,2020-2024,B01001
0500000US05097,05097,6952,363,2331,227,33.5,reported,2020-2024,B01001
0500000US05099,05099,6352,468,1770,228,27.9,reported,2020-2024,B01001
0500000US05101,05101,5780,372,1972,221,34.1,reported,2020-2024,B01001
0500000US05103,05103,17176,653,4719,378,27.5,reported,2020-2024,B01001
0500000US05105,05105,7899,363,2130,214,27.0,reported,2020-2024,B01001
0500000US05107,05107,11396,586,3200,337,28.1,reported,2020-2024,B01001
0500000US05109,05109,7862,364,2123,184,27.0,reported,2020-2024,B01001
0500000US05111,05111,17088,544,4170,338,24.4,reported,2020-2024,B01001
0500000US05113,05113,15001,577,4399,316,29.3,reported,2020-2024,B01001
0500000US05115,05115,49315,1258,10574,647,21.4,reported,2020-2024,B01001
0500000US05117,05117,6404,360,1900,217,29.7,reported,2020-2024,B01001
0500000US05119,05119,306640,3099,66665,1788,21.7,reported,2020-2024,B01001
0500000US05121,05121,14225,541,3641,336,25.6,reported,2020-2024,B01001
0500000US05123,05123,17647,600,4008,325,22.7,reported,2020-2024,B01001
0500000US05125,05125,97836,1793,23444,1043,24.0,reported,2020-2024,B01001
0500000US05127,05127,7598,495,1978,249,26.0,reported,2020-2024,B01001
0500000US05129,05129,6265,343,2008,226,32.1,reported,2020-2024,B01001
0500000US05131,05131,98272,1624,21959,971,22.3,reported,2020-2024,B01001
0500000US05133,05133,11256,656,2459,312,21.8,reported,2020-2024,B01001
0500000US05135,05135,14151,532,4531,346,32.0,reported,2020-2024,B01001
0500000US05137,05137,10097,574,3547,382,35.1,reported,2020-2024,B01001
0500000US05139,05139,28916,894,7288,481,25.2,reported,2020-2024,B01001
0500000US05141,05141,12922,546,4337,331,33.6,reported,2020-2024,B01001
0500000US05143,05143,196461,,31687,1180,16.1,not available in one or more component cells,2020-2024,B01001
0500000US05145,05145,59799,1416,13200,723,22.1,reported,2020-2024,B01001
0500000US05147,05147,4723,,1495,181,31.7,not available in one or more component cells,2020-2024,B01001
0500000US05149,05149,15299,623,3558,311,23.3,reported,2020-2024,B01001
0500000US06001,06001,1323197,,254161,3112,19.2,not available in one or more component cells,2020-2024,B01001
0500000US06003,06003,1295,197,341,76,26.3,reported,2020-2024,B01001
0500000US06005,06005,35039,1112,11423,699,32.6,reported,2020-2024,B01001
0500000US06007,06007,165477,2184,38227,1156,23.1,reported,2020-2024,B01001
0500000US06009,06009,38415,1228,13517,827,35.2,reported,2020-2024,B01001
0500000US06011,06011,16070,757,3410,320,21.2,reported,2020-2024,B01001
0500000US06013,06013,909012,,199270,2706,21.9,not available in one or more component cells,2020-2024,B01001
0500000US06015,06015,21450,818,5552,465,25.9,reported,2020-2024,B01001
0500000US06017,06017,155029,2147,45254,1294,29.2,reported,2020-2024,B01001
0500000US06019,06019,734206,4394,131488,2300,17.9,reported,2020-2024,B01001
0500000US06021,06021,20872,684,4893,379,23.4,reported,2020-2024,B01001
0500000US06023,06023,109240,1784,26660,958,24.4,reported,2020-2024,B01001
0500000US06025,06025,129148,2141,24701,1115,19.1,reported,2020-2024,B01001
0500000US06027,06027,14958,691,4675,393,31.3,reported,2020-2024,B01001
0500000US06029,06029,653585,4324,108560,2247,16.6,reported,2020-2024,B01001
0500000US06031,06031,112172,1769,16584,836,14.8,reported,2020-2024,B01001
0500000US06033,06033,53218,1352,16290,779,30.6,reported,2020-2024,B01001
0500000US06035,06035,24745,711,5012,367,20.3,reported,2020-2024,B01001
0500000US06037,06037,7789527,,1487700,8173,19.1,not available in one or more component cells,2020-2024,B01001
0500000US06039,06039,117268,1893,23148,954,19.7,reported,2020-2024,B01001
0500000US06041,06041,207983,2313,61345,1499,29.5,reported,2020-2024,B01001
0500000US06043,06043,14141,700,5073,480,35.9,reported,2020-2024,B01001
0500000US06045,06045,71347,1471,22154,955,31.1,reported,2020-2024,B01001
0500000US06047,06047,206871,2329,34001,1190,16.4,reported,2020-2024,B01001
0500000US06049,06049,6961,555,2722,407,39.1,reported,2020-2024,B01001
0500000US06051,06051,10819,923,2297,340,21.2,reported,2020-2024,B01001
0500000US06053,06053,325339,2792,65068,1494,20.0,reported,2020-2024,B01001
0500000US06055,06055,108643,2466,28455,1960,26.2,reported,2020-2024,B01001
0500000US06057,06057,85070,1736,30033,1181,35.3,reported,2020-2024,B01001
0500000US06059,06059,2500687,,514824,4592,20.6,not available in one or more component cells,2020-2024,B01001
0500000US06061,06061,327869,2756,85822,1681,26.2,reported,2020-2024,B01001
0500000US06063,06063,16087,821,6114,511,38.0,reported,2020-2024,B01001
0500000US06065,06065,1881231,,382888,4003,20.4,not available in one or more component cells,2020-2024,B01001
0500000US06067,06067,1229481,,243370,3111,19.8,not available in one or more component cells,2020-2024,B01001
0500000US06069,06069,50274,1030,9234,505,18.4,reported,2020-2024,B01001
0500000US06071,06071,1636726,,276984,3406,16.9,not available in one or more component cells,2020-2024,B01001
0500000US06073,06073,2601457,,507734,4334,19.5,not available in one or more component cells,2020-2024,B01001
0500000US06075,06075,716727,4071,146510,2457,20.4,reported,2020-2024,B01001
0500000US06077,06077,588510,4013,107730,2122,18.3,reported,2020-2024,B01001
0500000US06079,06079,232311,2753,62338,1608,26.8,reported,2020-2024,B01001
0500000US06081,06081,597245,,132242,2067,22.1,not available in one or more component cells,2020-2024,B01001
0500000US06083,06083,344302,2992,73710,1565,21.4,reported,2020-2024,B01001
0500000US06085,06085,1511971,,282010,3226,18.7,not available in one or more component cells,2020-2024,B01001
0500000US06087,06087,216213,2476,50275,1335,23.3,reported,2020-2024,B01001
0500000US06089,06089,142288,1955,39009,1171,27.4,reported,2020-2024,B01001
0500000US06091,06091,2349,299,963,152,41.0,reported,2020-2024,B01001
0500000US06093,06093,34776,834,12101,526,34.8,reported,2020-2024,B01001
0500000US06095,06095,353088,,78738,1768,22.3,not available in one or more component cells,2020-2024,B01001
0500000US06097,06097,392643,3199,104389,1945,26.6,reported,2020-2024,B01001
0500000US06099,06099,406611,,76271,1715,18.8,not available in one or more component cells,2020-2024,B01001
0500000US06101,06101,73983,1414,16216,799,21.9,reported,2020-2024,B01001
0500000US06103,06103,49471,1200,13085,742,26.4,reported,2020-2024,B01001
0500000US06105,06105,13133,1040,4795,569,36.5,reported,2020-2024,B01001
0500000US06107,06107,336272,3095,57101,1596,17.0,reported,2020-2024,B01001
0500000US06109,06109,45193,1241,15339,781,33.9,reported,2020-2024,B01001
0500000US06111,06111,654762,4031,145793,2393,22.3,reported,2020-2024,B01001
0500000US06113,06113,176281,2387,29712,938,16.9,reported,2020-2024,B01001
0500000US06115,06115,61543,1353,11060,646,18.0,reported,2020-2024,B01001
0500000US08001,08001,398386,3254,59925,1582,15.0,reported,2020-2024,B01001
0500000US08003,08003,12642,755,2507,300,19.8,reported,2020-2024,B01001
0500000US08005,08005,510782,3338,95133,1862,18.6,reported,2020-2024,B01001
0500000US08007,08007,11579,640,3997,386,34.5,reported,2020-2024,B01001
0500000US08009,08009,2660,164,884,108,33.2,reported,2020-2024,B01001
0500000US08011,08011,4660,327,1048,135,22.5,reported,2020-2024,B01001
0500000US08013,08013,271246,2746,53942,1414,19.9,reported,2020-2024,B01001
0500000US08014,08014,60689,984,11901,545,19.6,reported,2020-2024,B01001
0500000US08015,08015,17374,887,5307,501,30.5,reported,2020-2024,B01001
0500000US08017,08017,1355,147,342,59,25.2,reported,2020-2024,B01001
0500000US08019,08019,7892,491,2102,343,26.6,reported,2020-2024,B01001
0500000US08021,08021,5627,285,1549,149,27.5,reported,2020-2024,B01001
0500000US08023,08023,2936,233,1029,134,35.0,reported,2020-2024,B01001
0500000US08025,08025,4912,347,874,114,17.8,reported,2020-2024,B01001
0500000US08027,08027,4528,405,1738,240,38.4,reported,2020-2024,B01001
0500000US08029,08029,25569,821,8973,542,35.1,reported,2020-2024,B01001
0500000US08031,08031,589362,3794,89711,2023,15.2,reported,2020-2024,B01001
0500000US08033,08033,2092,331,777,205,37.1,reported,2020-2024,B01001
0500000US08035,08035,288852,2584,52473,1315,18.2,reported,2020-2024,B01001
0500000US08037,08037,43867,1716,7871,807,17.9,reported,2020-2024,B01001
0500000US08039,08039,21955,674,5246,337,23.9,reported,2020-2024,B01001
0500000US08041,08041,571272,3664,104287,2063,18.3,reported,2020-2024,B01001
0500000US08043,08043,41698,1046,11371,566,27.3,reported,2020-2024,B01001
0500000US08045,08045,47140,1138,9222,559,19.6,reported,2020-2024,B01001
0500000US08047,08047,4934,572,1315,270,26.7,reported,2020-2024,B01001
0500000US08049,08049,13360,666,3325,364,24.9,reported,2020-2024,B01001
0500000US08051,08051,14627,764,2603,248,17.8,reported,2020-2024,B01001
0500000US08053,08053,819,145,311,81,38.0,reported,2020-2024,B01001
0500000US08055,08055,5884,464,2424,264,41.2,reported,2020-2024,B01001
0500000US08057,08057,1140,188,447,117,39.2,reported,2020-2024,B01001
0500000US08059,08059,472407,3123,103643,1798,21.9,reported,2020-2024,B01001
0500000US08061,08061,1078,128,303,63,28.1,reported,2020-2024,B01001
0500000US08063,08063,5188,293,1394,151,26.9,reported,2020-2024,B01001
0500000US08065,08065,6011,582,1116,293,18.6,reported,2020-2024,B01001
0500000US08067,08067,46464,1059,11728,613,25.2,reported,2020-2024,B01001
0500000US08069,08069,300029,2943,63764,1550,21.3,reported,2020-2024,B01001
0500000US08071,08071,11821,431,3751,251,31.7,reported,2020-2024,B01001
0500000US08073,08073,4586,284,1014,109,22.1,reported,2020-2024,B01001
0500000US08075,08075,17135,651,3992,289,23.3,reported,2020-2024,B01001
0500000US08077,08077,126191,1885,33412,1142,26.5,reported,2020-2024,B01001
0500000US08079,08079,643,107,238,52,37.0,reported,2020-2024,B01001
0500000US08081,08081,10010,501,2194,294,21.9,reported,2020-2024,B01001
0500000US08083,08083,20944,878,6599,453,31.5,reported,2020-2024,B01001
0500000US08085,08085,35032,1024,11400,589,32.5,reported,2020-2024,B01001
0500000US08087,08087,22152,863,4736,380,21.4,reported,2020-2024,B01001
0500000US08089,08089,14089,636,3894,340,27.6,reported,2020-2024,B01001
0500000US08091,08091,4448,347,1820,216,40.9,reported,2020-2024,B01001
0500000US08093,08093,15353,751,4262,413,27.8,reported,2020-2024,B01001
0500000US08095,08095,3351,304,924,142,27.6,reported,2020-2024,B01001
0500000US08097,08097,14501,812,3875,464,26.7,reported,2020-2024,B01001
0500000US08099,08099,8803,450,2241,239,25.5,reported,2020-2024,B01001
0500000US08101,08101,132452,1717,33407,991,25.2,reported,2020-2024,B01001
0500000US08103,08103,4955,378,1143,167,23.1,reported,2020-2024,B01001
0500000US08105,08105,9040,587,2578,274,28.5,reported,2020-2024,B01001
0500000US08107,08107,20772,799,4637,401,22.3,reported,2020-2024,B01001
0500000US08109,08109,5406,426,1754,226,32.4,reported,2020-2024,B01001
0500000US08111,08111,631,135,134,57,21.2,reported,2020-2024,B01001
0500000US08113,08113,6543,421,1481,203,22.6,reported,2020-2024,B01001
0500000US08115,08115,1794,153,557,69,31.0,reported,2020-2024,B01001
0500000US08117,08117,25971,1112,4874,538,18.8,reported,2020-2024,B01001
0500000US08119,08119,20936,839,6224,467,29.7,reported,2020-2024,B01001
0500000US08121,08121,3760,176,1086,108,28.9,reported,2020-2024,B01001
0500000US08123,08123,261124,2556,45353,1246,17.4,reported,2020-2024,B01001
0500000US08125,08125,7203,484,1840,220,25.5,reported,2020-2024,B01001
0500000US09110,09110,780266,4549,176305,2590,22.6,reported,2020-2024,B01001
0500000US09120,09120,256480,2710,52801,1426,20.6,reported,2020-2024,B01001
0500000US09130,09130,146455,1951,39070,1120,26.7,reported,2020-2024,B01001
0500000US09140,09140,362719,3449,87273,1998,24.1,reported,2020-2024,B01001
0500000US09150,09150,78558,1430,19034,803,24.2,reported,2020-2024,B01001
0500000US09160,09160,93041,1544,26115,914,28.1,reported,2020-2024,B01001
0500000US09170,09170,458975,3615,106066,2020,23.1,reported,2020-2024,B01001
0500000US09180,09180,225847,,54676,1409,24.2,not available in one or more component cells,2020-2024,B01001
0500000US09190,09190,490581,3596,109217,2050,22.3,reported,2020-2024,B01001
0500000US10001,10001,144883,2102,34294,1232,23.7,reported,2020-2024,B01001
0500000US10003,10003,455266,3680,98558,2004,21.6,reported,2020-2024,B01001
0500000US10005,10005,209370,,77249,1605,36.9,not available in one or more component cells,2020-2024,B01001
0500000US11001,11001,553980,3895,87159,2181,15.7,reported,2020-2024,B01001
0500000US12001,12001,234712,,43645,1445,18.6,not available in one or more component cells,2020-2024,B01001
0500000US12003,12003,21535,987,4335,486,20.1,reported,2020-2024,B01001
0500000US12005,12005,147011,2079,34078,1204,23.2,reported,2020-2024,B01001
0500000US12007,12007,22170,874,5068,451,22.9,reported,2020-2024,B01001
0500000US12009,12009,518525,4295,155030,2725,29.9,reported,2020-2024,B01001
0500000US12011,12011,1566792,7553,354411,4517,22.6,reported,2020-2024,B01001
0500000US12013,12013,10824,541,2506,272,23.2,reported,2020-2024,B01001
0500000US12015,12015,177416,2683,81528,1956,46.0,reported,2020-2024,B01001
0500000US12017,12017,138536,2300,59271,1612,42.8,reported,2020-2024,B01001
0500000US12019,12019,175585,2668,39006,1500,22.2,reported,2020-2024,B01001
0500000US12021,12021,333375,3812,134721,2836,40.4,reported,2020-2024,B01001
0500000US12023,12023,55882,1502,14552,771,26.0,reported,2020-2024,B01001
0500000US12027,12027,29037,1181,8417,644,29.0,reported,2020-2024,B01001
0500000US12029,12029,14004,687,4081,369,29.1,reported,2020-2024,B01001
0500000US12031,12031,794100,5363,156682,2721,19.7,reported,2020-2024,B01001
0500000US12033,12033,257834,2691,58359,1571,22.6,reported,2020-2024,B01001
0500000US12035,12035,106193,2012,39628,1336,37.3,reported,2020-2024,B01001
0500000US12037,12037,10615,540,3326,305,31.3,reported,2020-2024,B01001
0500000US12039,12039,34067,,8702,608,25.5,not available in one or more component cells,2020-2024,B01001
0500000US12041,12041,15003,635,3851,366,25.7,reported,2020-2024,B01001
0500000US12043,12043,10901,754,3261,329,29.9,reported,2020-2024,B01001
0500000US12045,12045,12849,641,3592,364,28.0,reported,2020-2024,B01001
0500000US12047,12047,10816,599,2681,278,24.8,reported,2020-2024,B01001
0500000US12049,12049,19405,737,4138,379,21.3,reported,2020-2024,B01001
0500000US12051,12051,31810,1246,5853,652,18.4,reported,2020-2024,B01001
0500000US12053,12053,168665,2294,54596,1460,32.4,reported,2020-2024,B01001
0500000US12055,12055,88071,1790,38051,1291,43.2,reported,2020-2024,B01001
0500000US12057,12057,1193557,6079,229164,3393,19.2,reported,2020-2024,B01001
0500000US12059,12059,15522,618,4139,375,26.7,reported,2020-2024,B01001
0500000US12061,12061,141850,2415,58171,1564,41.0,reported,2020-2024,B01001
0500000US12063,12063,39115,961,10078,570,25.8,reported,2020-2024,B01001
0500000US12065,12065,12502,615,3694,345,29.5,reported,2020-2024,B01001
0500000US12067,12067,6747,562,1748,274,25.9,reported,2020-2024,B01001
0500000US12069,12069,334459,3702,109863,2364,32.8,reported,2020-2024,B01001
0500000US12071,12071,677356,4904,236549,3311,34.9,reported,2020-2024,B01001
0500000US12073,12073,242488,2921,44008,1202,18.1,reported,2020-2024,B01001
0500000US12075,12075,36590,1112,11401,639,31.2,reported,2020-2024,B01001
0500000US12077,12077,6181,398,1085,173,17.6,reported,2020-2024,B01001
0500000US12079,12079,14893,748,4143,369,27.8,reported,2020-2024,B01001
0500000US12081,12081,354610,3615,122539,2417,34.6,reported,2020-2024,B01001
0500000US12083,12083,325035,3649,114789,2484,35.3,reported,2020-2024,B01001
0500000US12085,12085,136042,2308,52205,1532,38.4,reported,2020-2024,B01001
