shift_id,date,shift_name,week_index,arrivals,completed_encounters,left_before_seen,left_before_seen_percent,return_within_72h,return_within_72h_percent,valid_event_sequences,valid_event_sequence_percent,clinician_time_available,median_arrival_to_triage_minutes,median_arrival_to_clinician_minutes,median_arrival_to_departure_minutes,clinician_staff_hours,total_staff_hours,overtime_hours,absence_hours,clinician_staff_hours_per_arrival,completed_encounters_per_clinician_hour,mean_queue_end,max_queue_end,median_queue_end,queue_clinician_hours,holiday_flag,synthetic_special_event_flag,synthetic_flag
20240109-day,2024-01-09,day,2,51,50,1,1.9608,0,0.0,51,100.0,50,12.0,94.0,292.0,56.0,160.0,0.0,0.0,1.098,0.8929,9.6875,11,10.0,56.0,0,0,1
20240109-evening,2024-01-09,evening,2,42,40,2,4.7619,0,0.0,42,100.0,40,13.0,92.5,320.5,40.0,128.0,0.0,0.0,0.9524,1.0,8.4375,10,9.0,40.0,0,0,1
20240110-night,2024-01-10,night,2,33,29,4,12.1212,0,0.0,33,100.0,29,15.0,108.0,311.0,24.0,84.0,4.0,0.0,0.7273,1.2083,7.4375,10,7.0,24.0,0,0,1
20240110-day,2024-01-10,day,2,48,46,2,4.1667,0,0.0,48,100.0,46,12.0,88.0,296.0,58.0,162.0,2.0,0.0,1.2083,0.7931,8.8125,11,9.0,56.0,0,0,1
20240110-evening,2024-01-10,evening,2,50,44,6,12.0,0,0.0,50,100.0,44,13.5,109.0,294.5,40.0,132.0,4.0,0.0,0.8,1.1,11.0625,13,11.0,40.0,0,0,1
20240111-night,2024-01-11,night,2,27,25,2,7.4074,0,0.0,27,100.0,25,14.0,104.0,288.0,24.0,80.0,0.0,0.0,0.8889,1.0417,6.5,9,6.0,24.0,0,0,1
20240111-day,2024-01-11,day,2,42,39,3,7.1429,0,0.0,42,100.0,39,11.0,78.0,290.5,56.0,160.0,0.0,0.0,1.3333,0.6964,7.3125,9,7.0,56.0,0,0,1
20240111-evening,2024-01-11,evening,2,48,44,4,8.3333,0,0.0,48,100.0,44,13.5,104.0,327.0,40.0,128.0,0.0,0.0,0.8333,1.1,9.5,11,10.0,40.0,0,0,1
20240112-night,2024-01-12,night,2,25,22,3,12.0,0,0.0,25,100.0,22,13.0,98.5,283.0,24.0,80.0,0.0,0.0,0.96,0.9167,5.9375,9,6.0,24.0,0,0,1
20240112-day,2024-01-12,day,2,55,50,5,9.0909,0,0.0,55,100.0,50,13.0,93.0,290.0,56.0,160.0,0.0,0.0,1.0182,0.8929,9.8125,12,10.0,56.0,0,0,1
20240112-evening,2024-01-12,evening,2,50,45,5,10.0,0,0.0,50,100.0,45,14.0,107.0,308.5,40.0,128.0,0.0,0.0,0.8,1.125,10.875,13,11.0,40.0,0,0,1
20240113-night,2024-01-13,night,2,21,19,2,9.5238,0,0.0,21,100.0,19,11.0,86.0,283.0,24.0,80.0,0.0,0.0,1.1429,0.7917,4.3125,9,4.0,24.0,0,0,1
20240113-day,2024-01-13,day,2,45,42,3,6.6667,0,0.0,45,100.0,42,12.0,93.0,308.0,48.0,152.0,0.0,8.0,1.0667,0.875,8.1875,10,8.0,48.0,0,0,1
20240113-evening,2024-01-13,evening,2,48,41,7,14.5833,0,0.0,48,100.0,41,14.0,104.0,309.0,40.0,128.0,0.0,0.0,0.8333,1.025,10.1875,12,10.0,40.0,0,0,1
20240114-night,2024-01-14,night,2,24,21,3,12.5,0,0.0,24,100.0,21,13.0,92.0,304.5,24.0,80.0,0.0,0.0,1.0,0.875,5.125,7,5.0,24.0,0,0,1
20240114-day,2024-01-14,day,2,46,40,6,13.0435,0,0.0,46,100.0,40,11.0,90.0,289.5,56.0,160.0,0.0,0.0,1.2174,0.7143,8.0625,11,8.0,56.0,0,0,1
20240114-evening,2024-01-14,evening,2,48,43,5,10.4167,0,0.0,48,100.0,43,14.0,103.0,295.0,40.0,136.0,8.0,0.0,0.8333,1.075,10.125,12,10.0,40.0,0,0,1
20240115-night,2024-01-15,night,3,25,22,3,12.0,0,0.0,25,100.0,22,13.0,92.0,311.0,24.0,80.0,0.0,0.0,0.96,0.9167,5.375,8,5.0,24.0,0,0,1
20240115-day,2024-01-15,day,3,56,50,6,10.7143,0,0.0,56,100.0,50,12.5,97.0,280.5,56.0,160.0,0.0,0.0,1.0,0.8929,10.6875,12,11.0,56.0,0,0,1
20240115-evening,2024-01-15,evening,3,45,38,7,15.5556,0,0.0,45,100.0,38,13.0,98.0,302.0,40.0,132.0,4.0,0.0,0.8889,0.95,9.0625,11,9.0,40.0,0,0,1
20240116-night,2024-01-16,night,3,30,27,3,10.0,0,0.0,30,100.0,27,14.0,102.0,324.0,28.0,84.0,4.0,0.0,0.9333,0.9643,6.875,9,7.0,24.0,0,0,1
20240116-day,2024-01-16,day,3,60,59,1,1.6667,0,0.0,60,100.0,59,13.0,93.0,321.5,56.0,160.0,0.0,0.0,0.9333,1.0536,11.375,15,11.0,56.0,0,0,1
20240116-evening,2024-01-16,evening,3,33,31,2,6.0606,0,0.0,33,100.0,31,11.0,89.0,296.0,40.0,128.0,0.0,0.0,1.2121,0.775,6.25,10,6.0,40.0,0,0,1
20240117-night,2024-01-17,night,3,29,26,3,10.3448,0,0.0,29,100.0,26,13.0,100.5,303.0,24.0,72.0,0.0,8.0,0.8276,1.0833,6.0,8,6.0,24.0,0,0,1
20240117-day,2024-01-17,day,3,45,42,3,6.6667,0,0.0,45,100.0,42,12.0,80.5,295.0,56.0,164.0,4.0,0.0,1.2444,0.75,7.625,9,8.0,56.0,0,0,1
20240117-evening,2024-01-17,evening,3,40,36,4,10.0,0,0.0,40,100.0,36,12.0,92.5,305.0,42.0,130.0,2.0,0.0,1.05,0.8571,7.6875,10,8.0,40.0,0,0,1
20240118-night,2024-01-18,night,3,29,28,1,3.4483,0,0.0,29,100.0,28,14.0,101.5,322.0,24.0,80.0,0.0,0.0,0.8276,1.1667,6.4375,8,6.5,24.0,0,0,1
20240118-day,2024-01-18,day,3,62,56,6,9.6774,0,0.0,62,100.0,56,13.0,100.5,304.5,56.0,160.0,0.0,0.0,0.9032,1.0,12.25,14,12.0,56.0,0,0,1
20240118-evening,2024-01-18,evening,3,43,40,3,6.9767,0,0.0,43,100.0,40,12.0,100.0,313.0,40.0,132.0,4.0,0.0,0.9302,1.0,9.3125,13,9.0,40.0,0,0,1
20240119-night,2024-01-19,night,3,38,32,6,15.7895,0,0.0,38,100.0,32,17.0,121.0,328.5,24.0,84.0,4.0,8.0,0.6316,1.3333,9.5625,11,9.5,24.0,0,0,1
20240119-day,2024-01-19,day,3,79,71,8,10.1266,0,0.0,79,100.0,71,16.0,110.0,310.0,56.0,160.0,0.0,0.0,0.7089,1.2679,17.375,20,18.0,56.0,0,0,1
20240119-evening,2024-01-19,evening,3,53,49,4,7.5472,0,0.0,53,100.0,49,14.0,108.0,305.0,40.0,124.0,4.0,8.0,0.7547,1.225,12.5625,15,12.5,40.0,0,0,1
20240120-night,2024-01-20,night,3,27,24,3,11.1111,0,0.0,27,100.0,24,13.0,101.0,312.0,24.0,72.0,0.0,8.0,0.8889,1.0,6.0,10,6.0,24.0,0,0,1
20240120-day,2024-01-20,day,3,48,47,1,2.0833,0,0.0,48,100.0,47,12.0,90.0,302.5,56.0,156.0,4.0,8.0,1.1667,0.8393,9.125,11,9.0,56.0,0,0,1
20240120-evening,2024-01-20,evening,3,35,33,2,5.7143,0,0.0,35,100.0,33,11.0,87.0,302.0,40.0,128.0,0.0,0.0,1.1429,0.825,6.625,10,6.5,40.0,0,0,1
20240121-night,2024-01-21,night,3,24,24,0,0.0,0,0.0,24,100.0,24,12.5,89.5,311.5,24.0,72.0,0.0,8.0,1.0,1.0,4.875,7,5.0,24.0,0,0,1
20240121-day,2024-01-21,day,3,51,50,1,1.9608,0,0.0,51,100.0,50,12.0,90.5,298.0,56.0,160.0,0.0,0.0,1.098,0.8929,9.0,11,9.0,56.0,0,0,1
20240121-evening,2024-01-21,evening,3,36,34,2,5.5556,0,0.0,36,100.0,34,12.0,93.0,294.0,42.0,130.0,2.0,0.0,1.1667,0.8095,7.1875,9,7.0,40.0,0,0,1
20240122-night,2024-01-22,night,4,33,31,2,6.0606,0,0.0,33,100.0,31,15.0,113.0,331.0,24.0,80.0,0.0,0.0,0.7273,1.2917,7.25,9,7.0,24.0,0,0,1
20240122-day,2024-01-22,day,4,65,58,7,10.7692,0,0.0,65,100.0,58,14.0,103.5,301.0,58.0,162.0,2.0,0.0,0.8923,1.0,13.75,17,14.0,56.0,0,0,1
20240122-evening,2024-01-22,evening,4,56,55,1,1.7857,0,0.0,56,100.0,55,16.0,114.0,320.0,40.0,128.0,0.0,0.0,0.7143,1.375,12.75,16,13.0,40.0,0,0,1
20240123-night,2024-01-23,night,4,28,24,4,14.2857,0,0.0,28,100.0,24,13.0,99.5,303.0,24.0,80.0,0.0,0.0,0.8571,1.0,6.5625,10,6.0,24.0,0,0,1
20240123-day,2024-01-23,day,4,67,60,7,10.4478,0,0.0,67,100.0,60,14.0,101.0,327.0,56.0,160.0,0.0,0.0,0.8358,1.0714,13.5,17,13.5,56.0,0,0,1
20240123-evening,2024-01-23,evening,4,48,48,0,0.0,0,0.0,48,100.0,48,14.0,104.5,301.0,40.0,128.0,0.0,0.0,0.8333,1.2,10.8125,13,11.0,40.0,0,0,1
20240124-night,2024-01-24,night,4,33,30,3,9.0909,0,0.0,33,100.0,30,16.0,111.0,343.0,24.0,80.0,0.0,0.0,0.7273,1.25,7.8125,11,8.0,24.0,0,0,1
20240124-day,2024-01-24,day,4,60,57,3,5.0,0,0.0,60,100.0,57,13.0,101.0,301.5,58.0,166.0,6.0,0.0,0.9667,0.9828,12.375,15,13.0,56.0,0,0,1
20240124-evening,2024-01-24,evening,4,36,33,3,8.3333,0,0.0,36,100.0,33,11.0,92.0,287.5,40.0,128.0,0.0,0.0,1.1111,0.825,7.4375,12,7.0,40.0,0,0,1
20240125-night,2024-01-25,night,4,27,26,1,3.7037,0,0.0,27,100.0,26,13.0,101.5,315.0,24.0,72.0,0.0,8.0,0.8889,1.0833,5.5625,7,6.0,24.0,0,0,1
20240125-day,2024-01-25,day,4,61,56,5,8.1967,0,0.0,61,100.0,56,13.0,93.5,313.0,58.0,162.0,2.0,0.0,0.9508,0.9655,11.4375,14,11.0,56.0,0,0,1
20240125-evening,2024-01-25,evening,4,62,54,8,12.9032,0,0.0,62,100.0,54,17.0,119.0,332.5,40.0,128.0,0.0,0.0,0.6452,1.35,14.6875,17,15.0,40.0,0,0,1
20240126-night,2024-01-26,night,4,36,32,4,11.1111,0,0.0,36,100.0,32,16.5,119.0,335.0,24.0,80.0,0.0,0.0,0.6667,1.3333,9.4375,14,9.0,24.0,0,0,1
20240126-day,2024-01-26,day,4,66,63,3,4.5455,0,0.0,66,100.0,63,13.0,101.0,329.5,56.0,152.0,0.0,8.0,0.8485,1.125,14.125,16,14.5,56.0,0,0,1
20240126-evening,2024-01-26,evening,4,51,47,4,7.8431,0,0.0,51,100.0,47,15.0,108.0,310.0,40.0,132.0,4.0,0.0,0.7843,1.175,11.6875,14,12.0,40.0,0,0,1
20240127-night,2024-01-27,night,4,37,32,5,13.5135,0,0.0,37,100.0,32,16.0,112.5,307.0,24.0,80.0,0.0,0.0,0.6486,1.3333,8.875,13,9.0,24.0,0,0,1
20240127-day,2024-01-27,day,4,58,54,4,6.8966,0,0.0,58,100.0,54,13.0,91.0,289.5,56.0,160.0,0.0,0.0,0.9655,0.9643,11.3125,14,11.0,56.0,0,0,1
20240127-evening,2024-01-27,evening,4,48,47,1,2.0833,0,0.0,48,100.0,47,14.0,105.0,319.5,42.0,130.0,2.0,0.0,0.875,1.119,10.25,13,10.0,40.0,0,0,1
20240128-night,2024-01-28,night,4,27,27,0,0.0,0,0.0,27,100.0,27,13.0,104.0,315.0,26.0,86.0,6.0,0.0,0.963,1.0385,6.1875,8,6.0,24.0,0,0,1
20240128-day,2024-01-28,day,4,35,32,3,8.5714,0,0.0,35,100.0,32,10.0,79.0,281.0,56.0,160.0,0.0,0.0,1.6,0.5714,6.375,8,6.0,56.0,0,0,1
20240128-evening,2024-01-28,evening,4,35,31,4,11.4286,0,0.0,35,100.0,31,12.0,85.0,291.0,40.0,128.0,0.0,0.0,1.1429,0.775,6.125,8,6.0,40.0,0,0,1
20240129-night,2024-01-29,night,5,30,28,2,6.6667,0,0.0,30,100.0,28,14.0,108.0,326.5,24.0,80.0,0.0,0.0,0.8,1.1667,6.625,8,7.0,24.0,0,0,1
20240129-day,2024-01-29,day,5,63,61,2,3.1746,0,0.0,63,100.0,61,14.0,99.0,305.0,56.0,160.0,0.0,0.0,0.8889,1.0893,12.6875,15,13.0,56.0,0,0,1
20240129-evening,2024-01-29,evening,5,46,43,3,6.5217,0,0.0,46,100.0,43,13.0,99.0,326.5,42.0,134.0,6.0,0.0,0.913,1.0238,10.0,14,10.0,40.0,0,0,1
20240130-night,2024-01-30,night,5,18,18,0,0.0,0,0.0,18,100.0,18,11.0,87.0,333.5,24.0,80.0,0.0,0.0,1.3333,0.75,3.6875,8,3.0,24.0,0,0,1
20240130-day,2024-01-30,day,5,51,50,1,1.9608,0,0.0,51,100.0,50,11.0,89.5,278.0,56.0,160.0,0.0,0.0,1.098,0.8929,9.3125,12,9.0,56.0,0,0,1
20240130-evening,2024-01-30,evening,5,42,35,7,16.6667,0,0.0,42,100.0,35,13.0,98.0,285.5,40.0,132.0,4.0,0.0,0.9524,0.875,8.3125,10,8.5,40.0,0,0,1
20240131-night,2024-01-31,night,5,32,29,3,9.375,0,0.0,32,100.0,29,15.0,105.0,341.0,24.0,80.0,0.0,0.0,0.75,1.2083,6.75,8,7.0,24.0,0,0,1
20240131-day,2024-01-31,day,5,43,41,2,4.6512,0,0.0,43,100.0,41,11.0,84.0,305.0,56.0,160.0,0.0,0.0,1.3023,0.7321,7.6875,9,8.0,56.0,0,0,1
20240131-evening,2024-01-31,evening,5,40,34,6,15.0,0,0.0,40,100.0,34,13.0,99.0,283.0,40.0,128.0,0.0,0.0,1.0,0.85,8.25,10,8.0,40.0,0,0,1
20240201-night,2024-02-01,night,5,36,32,4,11.1111,0,0.0,36,100.0,32,16.0,111.5,322.5,24.0,72.0,0.0,8.0,0.6667,1.3333,7.9375,10,8.0,24.0,0,0,1
20240201-day,2024-02-01,day,5,67,64,3,4.4776,0,0.0,67,100.0,64,14.0,103.0,307.0,58.0,162.0,2.0,0.0,0.8657,1.1034,13.875,16,14.0,56.0,0,0,1
20240201-evening,2024-02-01,evening,5,50,43,7,14.0,0,0.0,50,100.0,43,15.0,109.0,306.5,40.0,128.0,0.0,0.0,0.8,1.075,11.375,15,11.5,40.0,0,0,1
20240202-night,2024-02-02,night,5,33,33,0,0.0,0,0.0,33,100.0,33,16.0,112.0,325.0,24.0,80.0,0.0,0.0,0.7273,1.375,8.1875,11,8.0,24.0,0,0,1
20240202-day,2024-02-02,day,5,47,41,6,12.766,0,0.0,47,100.0,41,11.0,86.0,295.0,58.0,162.0,2.0,0.0,1.234,0.7069,8.4375,10,8.5,56.0,0,0,1
20240202-evening,2024-02-02,evening,5,54,43,11,20.3704,0,0.0,54,100.0,43,15.0,110.0,287.5,40.0,128.0,0.0,0.0,0.7407,1.075,11.8125,13,12.0,40.0,0,0,1
20240203-night,2024-02-03,night,5,39,35,4,10.2564,0,0.0,39,100.0,35,17.0,121.0,340.0,24.0,80.0,0.0,0.0,0.6154,1.4583,10.0,12,10.0,24.0,0,0,1
20240203-day,2024-02-03,day,5,52,51,1,1.9231,0,0.0,52,100.0,51,13.0,92.0,299.5,56.0,160.0,0.0,0.0,1.0769,0.9107,10.4375,12,10.5,56.0,0,0,1
20240203-evening,2024-02-03,evening,5,29,27,2,6.8966,0,0.0,29,100.0,27,10.0,80.0,283.0,40.0,120.0,0.0,8.0,1.3793,0.675,5.75,8,6.0,40.0,0,0,1
20240204-night,2024-02-04,night,5,28,28,0,0.0,0,0.0,28,100.0,28,14.0,93.5,324.5,24.0,80.0,0.0,0.0,0.8571,1.1667,5.3125,6,5.0,24.0,0,0,1
20240204-day,2024-02-04,day,5,53,52,1,1.8868,0,0.0,53,100.0,52,12.0,90.0,303.0,56.0,164.0,4.0,0.0,1.0566,0.9286,9.8125,12,10.5,56.0,0,0,1
20240204-evening,2024-02-04,evening,5,53,47,6,11.3208,0,0.0,53,100.0,47,15.0,110.0,337.0,40.0,128.0,0.0,0.0,0.7547,1.175,11.5625,14,12.0,40.0,0,0,1
20240205-night,2024-02-05,night,6,33,30,3,9.0909,0,0.0,33,100.0,30,15.0,111.0,302.0,24.0,80.0,0.0,0.0,0.7273,1.25,7.75,10,8.0,24.0,0,0,1
20240205-day,2024-02-05,day,6,50,45,5,10.0,0,0.0,50,100.0,45,11.0,86.0,305.0,56.0,160.0,0.0,0.0,1.12,0.8036,8.6875,10,9.0,56.0,0,0,1
20240205-evening,2024-02-05,evening,6,47,44,3,6.383,0,0.0,47,100.0,44,14.0,103.0,326.0,40.0,128.0,0.0,0.0,0.8511,1.1,10.0625,12,10.0,40.0,0,0,1
20240206-night,2024-02-06,night,6,32,28,4,12.5,0,0.0,32,100.0,28,14.5,113.0,313.5,26.0,82.0,2.0,0.0,0.8125,1.0769,7.5625,10,7.5,24.0,0,0,1
20240206-day,2024-02-06,day,6,60,53,7,11.6667,0,0.0,60,100.0,53,13.0,95.0,299.5,56.0,164.0,4.0,0.0,0.9333,0.9464,11.5625,14,11.5,56.0,0,0,1
20240206-evening,2024-02-06,evening,6,56,47,9,16.0714,0,0.0,56,100.0,47,16.0,113.0,308.0,40.0,128.0,0.0,0.0,0.7143,1.175,12.625,14,12.0,40.0,0,0,1
20240207-night,2024-02-07,night,6,40,32,8,20.0,0,0.0,40,100.0,32,17.0,122.0,325.0,24.0,80.0,0.0,0.0,0.6,1.3333,10.0,12,10.0,24.0,0,0,1
20240207-day,2024-02-07,day,6,66,60,6,9.0909,0,0.0,66,100.0,60,14.0,105.0,312.5,58.0,162.0,2.0,0.0,0.8788,1.0345,13.3125,15,13.5,56.0,0,0,1
20240207-evening,2024-02-07,evening,6,53,46,7,13.2075,0,0.0,53,100.0,46,15.0,107.5,317.0,40.0,128.0,0.0,0.0,0.7547,1.15,12.0,15,12.0,40.0,0,0,1
20240208-night,2024-02-08,night,6,24,23,1,4.1667,0,0.0,24,100.0,23,12.0,89.0,292.5,26.0,82.0,2.0,8.0,1.0833,0.8846,5.125,10,5.0,24.0,0,0,1
20240208-day,2024-02-08,day,6,49,45,4,8.1633,0,0.0,49,100.0,45,13.0,91.0,279.0,56.0,168.0,8.0,0.0,1.1429,0.8036,9.125,11,9.0,56.0,0,0,1
20240208-evening,2024-02-08,evening,6,55,45,10,18.1818,0,0.0,55,100.0,45,15.0,113.0,305.0,40.0,128.0,0.0,0.0,0.7273,1.125,12.0,14,12.0,40.0,0,0,1
20240209-night,2024-02-09,night,6,24,22,2,8.3333,0,0.0,24,100.0,22,13.0,95.0,311.5,24.0,80.0,0.0,0.0,1.0,0.9167,5.75,12,5.0,24.0,0,0,1
20240209-day,2024-02-09,day,6,52,47,5,9.6154,0,0.0,52,100.0,47,12.0,91.0,298.0,56.0,164.0,4.0,0.0,1.0769,0.8393,9.125,11,9.0,56.0,0,0,1
20240209-evening,2024-02-09,evening,6,43,39,4,9.3023,0,0.0,43,100.0,39,13.0,99.0,313.0,42.0,130.0,2.0,0.0,0.9767,0.9286,9.1875,11,9.0,40.0,0,0,1
20240210-night,2024-02-10,night,6,38,31,7,18.4211,0,0.0,38,100.0,31,17.0,115.0,342.5,24.0,80.0,0.0,0.0,0.6316,1.2917,8.75,10,9.0,24.0,0,0,1
20240210-day,2024-02-10,day,6,38,37,1,2.6316,0,0.0,38,100.0,37,10.0,78.0,290.5,56.0,160.0,0.0,0.0,1.4737,0.6607,6.75,9,7.0,56.0,0,0,1
20240210-evening,2024-02-10,evening,6,36,35,1,2.7778,0,0.0,36,100.0,35,12.0,93.0,289.0,40.0,132.0,4.0,0.0,1.1111,0.875,6.9375,9,7.0,40.0,0,0,1
20240211-night,2024-02-11,night,6,29,26,3,10.3448,0,0.0,29,100.0,26,14.0,100.0,316.0,24.0,80.0,0.0,0.0,0.8276,1.0833,5.9375,7,6.0,24.0,0,0,1
20240211-day,2024-02-11,day,6,41,38,3,7.3171,0,0.0,41,100.0,38,11.0,78.5,266.0,56.0,160.0,0.0,0.0,1.3659,0.6786,7.0,9,7.0,56.0,0,0,1
20240211-evening,2024-02-11,evening,6,47,41,6,12.766,0,0.0,47,100.0,41,14.0,102.0,302.0,40.0,128.0,0.0,0.0,0.8511,1.025,9.625,11,9.5,40.0,0,0,1
20240212-night,2024-02-12,night,7,33,29,4,12.1212,0,0.0,33,100.0,29,15.0,107.0,330.0,24.0,84.0,4.0,0.0,0.7273,1.2083,7.25,9,7.5,24.0,0,0,1
20240212-day,2024-02-12,day,7,66,59,7,10.6061,0,0.0,66,100.0,59,14.0,101.0,310.0,56.0,160.0,0.0,0.0,0.8485,1.0536,13.1875,16,13.5,56.0,0,0,1
20240212-evening,2024-02-12,evening,7,42,39,3,7.1429,0,0.0,42,100.0,39,13.0,94.0,311.5,42.0,130.0,2.0,0.0,1.0,0.9286,8.75,13,8.0,40.0,0,0,1
20240213-night,2024-02-13,night,7,31,28,3,9.6774,0,0.0,31,100.0,28,14.0,108.0,336.0,24.0,80.0,0.0,0.0,0.7742,1.1667,6.875,9,7.0,24.0,0,0,1
20240213-day,2024-02-13,day,7,64,57,7,10.9375,0,0.0,64,100.0,57,14.0,100.0,322.0,56.0,160.0,0.0,0.0,0.875,1.0179,12.8125,15,13.5,56.0,0,0,1
20240213-evening,2024-02-13,evening,7,40,37,3,7.5,0,0.0,40,100.0,37,13.0,97.0,286.5,40.0,128.0,0.0,0.0,1.0,0.925,8.375,11,8.0,40.0,0,0,1
20240214-night,2024-02-14,night,7,26,25,1,3.8462,0,0.0,26,100.0,25,13.0,90.0,325.0,24.0,80.0,0.0,0.0,0.9231,1.0417,5.1875,6,5.0,24.0,0,0,1
20240214-day,2024-02-14,day,7,58,56,2,3.4483,0,0.0,58,100.0,56,13.0,93.0,293.5,58.0,162.0,2.0,0.0,1.0,0.9655,10.75,13,11.0,56.0,0,0,1
