year,stateabbr,statedesc,locationname,locationid,measureid,measure,data_value_type,datavaluetypeid,data_value,low_confidence_limit,high_confidence_limit,totalpopulation,totalpop18plus,data_value_footnote_symbol,data_value_footnote
2022,AL,Alabama,Houston,01069,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,17.8,15.6,20.2,108079,83692,,
2022,AL,Alabama,Jackson,01071,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,20.7,18.1,23.4,52891,42087,,
2022,AL,Alabama,Jackson,01071,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,20.2,17.7,23.0,52891,42087,,
2022,AL,Alabama,Jefferson,01073,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,15.0,13.2,17.0,665409,515688,,
2022,AL,Alabama,Jefferson,01073,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,14.6,12.9,16.6,665409,515688,,
2022,AL,Alabama,Lamar,01075,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,19.0,16.6,21.5,13705,10722,,
2022,AL,Alabama,Lamar,01075,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,18.2,15.8,20.7,13705,10722,,
2022,AL,Alabama,Lauderdale,01077,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,16.3,14.3,18.6,95878,77472,,
2022,AL,Alabama,Lauderdale,01077,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,14.7,12.9,16.8,95878,77472,,
2022,AL,Alabama,Lawrence,01079,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,20.5,18.1,23.2,33214,26022,,
2022,AL,Alabama,Lawrence,01079,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,20.1,17.7,22.7,33214,26022,,
2022,AL,Alabama,Lee,01081,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,15.9,13.9,17.9,180773,143546,,
2022,AL,Alabama,Lee,01081,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,15.2,13.2,17.2,180773,143546,,
2022,AL,Alabama,Limestone,01083,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,15.5,13.6,17.6,110900,86794,,
2022,AL,Alabama,Limestone,01083,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,15.6,13.7,17.7,110900,86794,,
2022,AL,Alabama,Lowndes,01085,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,21.9,19.0,24.6,9777,7650,,
2022,AL,Alabama,Lowndes,01085,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,21.6,18.8,24.4,9777,7650,,
2022,AL,Alabama,Macon,01087,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,19.2,16.9,21.6,18516,15413,,
2022,AL,Alabama,Macon,01087,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,17.6,15.4,19.9,18516,15413,,
2022,AL,Alabama,Madison,01089,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,13.8,12.2,15.7,403565,317999,,
2022,AL,Alabama,Madison,01089,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,13.2,11.6,14.9,403565,317999,,
2022,AL,Alabama,Marengo,01091,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,19.9,17.5,22.5,18745,14573,,
2022,AL,Alabama,Marengo,01091,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,19.9,17.5,22.5,18745,14573,,
2022,AL,Alabama,Marion,01093,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,18.8,16.4,21.3,29156,23044,,
2022,AL,Alabama,Marion,01093,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,19.1,16.7,21.7,29156,23044,,
2022,AL,Alabama,Marshall,01095,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,17.1,14.9,19.4,99423,74082,,
2022,AL,Alabama,Marshall,01095,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,16.2,14.1,18.5,99423,74082,,
2022,AL,Alabama,Mobile,01097,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,19.1,17.0,21.3,411411,316433,,
2022,AL,Alabama,Mobile,01097,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,18.8,16.7,21.0,411411,316433,,
2022,AL,Alabama,Monroe,01099,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,20.8,18.3,23.6,19404,15344,,
2022,AL,Alabama,Monroe,01099,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,19.5,17.1,22.2,19404,15344,,
2022,AL,Alabama,Montgomery,01101,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,18.1,15.9,20.5,226361,172697,,
2022,AL,Alabama,Montgomery,01101,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,17.4,15.4,19.9,226361,172697,,
2022,AL,Alabama,Morgan,01103,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,17.5,15.4,19.8,124211,95875,,
2022,AL,Alabama,Morgan,01103,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,17.3,15.2,19.5,124211,95875,,
2022,AL,Alabama,Perry,01105,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,23.5,20.8,26.5,8035,6354,,
2022,AL,Alabama,Perry,01105,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,21.1,18.5,23.8,8035,6354,,
2022,AL,Alabama,Pickens,01107,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,19.6,17.2,22.3,18697,15176,,
2022,AL,Alabama,Pickens,01107,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,19.4,17.0,22.0,18697,15176,,
2022,AL,Alabama,Pike,01109,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,16.4,14.4,18.6,33014,26725,,
2022,AL,Alabama,Pike,01109,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,14.3,12.5,16.3,33014,26725,,
2022,AL,Alabama,Randolph,01111,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,20.4,17.9,23.1,22479,17785,,
2022,AL,Alabama,Randolph,01111,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,18.9,16.5,21.5,22479,17785,,
2022,AL,Alabama,Russell,01113,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,20.3,17.8,23.0,58555,44348,,
2022,AL,Alabama,Russell,01113,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,20.3,17.9,23.1,58555,44348,,
2022,AL,Alabama,St. Clair,01115,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,15.2,13.2,17.3,93932,73225,,
2022,AL,Alabama,St. Clair,01115,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,15.3,13.3,17.5,93932,73225,,
2022,AL,Alabama,Shelby,01117,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,11.2,9.7,12.8,230115,179068,,
2022,AL,Alabama,Shelby,01117,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,10.7,9.2,12.2,230115,179068,,
2022,AL,Alabama,Sumter,01119,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,20.7,18.2,23.5,11853,9573,,
2022,AL,Alabama,Sumter,01119,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,17.9,15.7,20.4,11853,9573,,
2022,AL,Alabama,Talladega,01121,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,18.5,16.2,21.0,80704,64258,,
2022,AL,Alabama,Talladega,01121,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,18.2,16.0,20.7,80704,64258,,
2022,AL,Alabama,Tallapoosa,01123,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,17.6,15.4,19.9,40977,32936,,
2022,AL,Alabama,Tallapoosa,01123,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,17.3,15.1,19.5,40977,32936,,
2022,AL,Alabama,Tuscaloosa,01125,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,17.6,15.4,19.8,236780,189291,,
2022,AL,Alabama,Tuscaloosa,01125,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,16.2,14.1,18.2,236780,189291,,
2022,AL,Alabama,Walker,01127,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,21.8,19.3,24.5,64339,49952,,
2022,AL,Alabama,Walker,01127,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,21.2,18.7,23.8,64339,49952,,
2022,AL,Alabama,Washington,01129,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,21.2,18.7,23.9,15122,11883,,
2022,AL,Alabama,Washington,01129,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,20.3,17.8,23.0,15122,11883,,
2022,AL,Alabama,Wilcox,01131,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,25.0,22.0,28.1,10059,7838,,
2022,AL,Alabama,Wilcox,01131,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,23.6,20.8,26.6,10059,7838,,
2022,AL,Alabama,Winston,01133,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,17.8,15.6,20.2,23755,18962,,
2022,AL,Alabama,Winston,01133,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,17.6,15.4,20.0,23755,18962,,
2022,AK,Alaska,Aleutians East,02013,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,17.2,15.1,19.4,3398,3204,,
2022,AK,Alaska,Aleutians East,02013,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,18.2,16.0,20.5,3398,3204,,
2022,AK,Alaska,Aleutians West,02016,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,16.3,14.4,18.7,5122,4630,,
2022,AK,Alaska,Aleutians West,02016,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,17.5,15.5,20.1,5122,4630,,
2022,AK,Alaska,Anchorage,02020,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,13.6,12.1,15.1,287145,219637,,
2022,AK,Alaska,Anchorage,02020,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,13.4,12.0,14.9,287145,219637,,
2022,AK,Alaska,Bethel,02050,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,33.8,30.7,37.0,18257,11844,,
2022,AK,Alaska,Bethel,02050,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,33.3,30.3,36.5,18257,11844,,
2022,AK,Alaska,Bristol Bay,02060,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,18.0,15.9,20.2,865,680,,
2022,AK,Alaska,Bristol Bay,02060,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,17.4,15.3,19.5,865,680,,
2022,AK,Alaska,Chugach,02063,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,14.9,13.1,17.0,6874,5338,,
2022,AK,Alaska,Chugach,02063,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,15.3,13.4,17.4,6874,5338,,
2022,AK,Alaska,Copper River,02066,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,17.5,15.3,19.8,2589,1955,,
2022,AK,Alaska,Copper River,02066,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,17.6,15.5,19.9,2589,1955,,
2022,AK,Alaska,Denali,02068,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,15.1,13.2,17.1,1585,1306,,
2022,AK,Alaska,Denali,02068,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,16.3,14.2,18.4,1585,1306,,
2022,AK,Alaska,Dillingham,02070,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,27.4,24.5,30.4,4723,3253,,
2022,AK,Alaska,Dillingham,02070,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,27.7,24.7,30.8,4723,3253,,
2022,AK,Alaska,Fairbanks North Star,02090,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,13.9,12.3,15.7,95356,73021,,
2022,AK,Alaska,Fairbanks North Star,02090,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,14.0,12.3,15.8,95356,73021,,
2022,AK,Alaska,Haines,02100,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,15.7,13.7,17.9,2056,1705,,
2022,AK,Alaska,Haines,02100,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,14.7,12.7,16.7,2056,1705,,
2022,AK,Alaska,Hoonah-Angoon,02105,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,20.6,18.2,23.2,2287,1905,,
2022,AK,Alaska,Hoonah-Angoon,02105,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,19.9,17.6,22.5,2287,1905,,
2022,AK,Alaska,Juneau,02110,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,14.8,12.9,16.6,31685,25234,,
2022,AK,Alaska,Juneau,02110,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,15.0,13.1,16.9,31685,25234,,
2022,AK,Alaska,Kenai Peninsula,02122,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,16.3,14.3,18.0,60690,47342,,
2022,AK,Alaska,Kenai Peninsula,02122,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,15.9,14.0,17.7,60690,47342,,
2022,AK,Alaska,Ketchikan Gateway,02130,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,15.3,13.6,17.4,13741,10954,,
2022,AK,Alaska,Ketchikan Gateway,02130,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,15.0,13.3,17.0,13741,10954,,
2022,AK,Alaska,Kodiak Island,02150,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,16.8,14.7,19.0,12720,9749,,
2022,AK,Alaska,Kodiak Island,02150,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,16.7,14.6,18.9,12720,9749,,
2022,AK,Alaska,Kusilvak,02158,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,38.3,34.7,41.9,8278,4793,,
2022,AK,Alaska,Kusilvak,02158,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,38.2,34.6,41.9,8278,4793,,
2022,AK,Alaska,Lake and Peninsula,02164,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,23.5,20.8,26.2,1381,976,,
2022,AK,Alaska,Lake and Peninsula,02164,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,23.9,21.2,26.6,1381,976,,
2022,AK,Alaska,Matanuska-Susitna,02170,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,19.5,17.6,21.6,113325,84362,,
2022,AK,Alaska,Matanuska-Susitna,02170,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,19.7,17.7,21.8,113325,84362,,
2022,AK,Alaska,Nome,02180,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,32.9,29.7,36.5,9835,6518,,
2022,AK,Alaska,Nome,02180,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,33.3,29.9,36.9,9835,6518,,
2022,AK,Alaska,North Slope,02185,CSMOKING,Current cigarette smoking among adults,Age-adjusted prevalence,AgeAdjPrv,22.3,19.7,25.1,10805,8035,,
2022,AK,Alaska,North Slope,02185,CSMOKING,Current cigarette smoking among adults,Crude prevalence,CrdPrv,23.5,20.8,26.4,10805,8035,,
