county_fips,county_name,state_abbr,state_name,measure_id,measure_name,measure_label,measure_year,adult_population,crude_prevalence_pct,crude_low_ci_pct,crude_high_ci_pct,age_adjusted_prevalence_pct,age_adjusted_low_ci_pct,age_adjusted_high_ci_pct,national_age_adjusted_pct,national_age_adjusted_low_ci_pct,national_age_adjusted_high_ci_pct,difference_from_national_pct_points,rank_descending_point_estimate,counties_compared,point_estimate_above_national,measures_above_national,largest_gap_measure_id,largest_gap_pct_points,profile_order,source_footnote
37007,Anson,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,17846,30.3,25.5,35.3,29.0,24.4,33.9,23.0,22.7,23.3,6.0,12,100,yes,5,OBESITY,9.7,4,
37007,Anson,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,17846,42.7,34.2,51.3,43.1,34.5,51.7,33.4,33.1,33.7,9.7,3,100,yes,5,OBESITY,9.7,4,
37095,Hyde,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,3862,22.1,19.4,25.0,22.1,19.4,25.0,13.2,13.0,13.4,8.9,3,100,yes,5,CSMOKING,8.9,5,
37095,Hyde,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,3862,17.0,14.7,19.4,13.5,11.7,15.6,10.4,10.2,10.6,3.1,15,100,yes,5,CSMOKING,8.9,5,
37095,Hyde,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,3862,27.8,25.0,30.9,25.4,22.7,28.3,17.0,16.8,17.3,8.4,2,100,yes,5,CSMOKING,8.9,5,
37095,Hyde,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,3862,32.8,27.9,38.1,30.5,25.8,35.6,23.0,22.7,23.3,7.5,5,100,yes,5,CSMOKING,8.9,5,
37095,Hyde,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,3862,39.5,31.0,48.4,39.2,30.8,48.1,33.4,33.1,33.7,5.8,21,100,yes,5,CSMOKING,8.9,5,
37127,Nash,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,74919,17.1,15.0,19.6,18.1,15.8,20.6,13.2,13.0,13.4,4.9,38,100,yes,5,OBESITY,8.7,6,
37127,Nash,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,74919,14.6,12.6,16.8,12.2,10.5,14.0,10.4,10.2,10.6,1.8,25,100,yes,5,OBESITY,8.7,6,
37127,Nash,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,74919,21.9,19.5,24.5,20.9,18.6,23.5,17.0,16.8,17.3,3.9,28,100,yes,5,OBESITY,8.7,6,
37127,Nash,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,74919,27.9,23.6,32.7,27.2,23.0,31.8,23.0,22.7,23.3,4.2,26,100,yes,5,OBESITY,8.7,6,
37127,Nash,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,74919,42.0,34.1,49.9,42.1,34.2,50.1,33.4,33.1,33.7,8.7,4,100,yes,5,OBESITY,8.7,6,
37185,Warren,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,15455,19.1,16.7,21.5,21.7,19.0,24.4,13.2,13.0,13.4,8.5,4,100,yes,5,OBESITY,8.6,7,
37185,Warren,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,15455,19.1,16.6,21.6,14.5,12.5,16.5,10.4,10.2,10.6,4.1,5,100,yes,5,OBESITY,8.6,7,
37185,Warren,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,15455,26.4,23.6,29.2,25.2,22.4,27.9,17.0,16.8,17.3,8.2,5,100,yes,5,OBESITY,8.6,7,
37185,Warren,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,15455,31.7,26.6,36.6,30.6,25.6,35.4,23.0,22.7,23.3,7.6,3,100,yes,5,OBESITY,8.6,7,
37185,Warren,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,15455,41.1,32.3,49.5,42.0,33.2,50.5,33.4,33.1,33.7,8.6,5,100,yes,5,OBESITY,8.6,7,
37047,Columbus,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,39531,20.5,18.0,23.1,21.6,19.0,24.3,13.2,13.0,13.4,8.4,5,100,yes,5,CSMOKING,8.4,8,
37047,Columbus,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,39531,16.2,14.1,18.3,13.4,11.6,15.2,10.4,10.2,10.6,3.0,16,100,yes,5,CSMOKING,8.4,8,
37047,Columbus,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,39531,25.6,22.9,28.3,24.1,21.6,26.8,17.0,16.8,17.3,7.1,11,100,yes,5,CSMOKING,8.4,8,
37047,Columbus,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,39531,30.2,25.5,35.0,28.9,24.3,33.6,23.0,22.7,23.3,5.9,13,100,yes,5,CSMOKING,8.4,8,
37047,Columbus,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,39531,38.8,31.2,46.7,39.2,31.4,47.1,33.4,33.1,33.7,5.8,21,100,yes,5,CSMOKING,8.4,8,
37165,Scotland,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,26314,20.5,18.0,23.2,21.3,18.7,24.0,13.2,13.0,13.4,8.1,6,100,yes,5,GHLTH,8.4,9,
37165,Scotland,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,26314,16.9,14.8,19.1,14.8,12.9,16.8,10.4,10.2,10.6,4.4,4,100,yes,5,GHLTH,8.4,9,
37165,Scotland,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,26314,26.6,23.8,29.3,25.4,22.7,28.0,17.0,16.8,17.3,8.4,2,100,yes,5,GHLTH,8.4,9,
37165,Scotland,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,26314,31.3,26.6,36.2,30.3,25.6,35.1,23.0,22.7,23.3,7.3,6,100,yes,5,GHLTH,8.4,9,
37165,Scotland,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,26314,40.8,32.7,49.5,41.1,33.0,49.8,33.4,33.1,33.7,7.7,10,100,yes,5,GHLTH,8.4,9,
37083,Halifax,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,37624,19.9,17.7,22.8,20.0,17.8,22.9,13.2,13.0,13.4,6.8,16,100,yes,5,GHLTH,8.2,10,
37083,Halifax,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,37624,18.6,16.4,21.3,14.5,12.7,16.7,10.4,10.2,10.6,4.1,5,100,yes,5,GHLTH,8.2,10,
37083,Halifax,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,37624,28.2,25.6,31.4,25.2,22.8,28.2,17.0,16.8,17.3,8.2,5,100,yes,5,GHLTH,8.2,10,
37083,Halifax,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,37624,32.4,27.9,37.9,29.8,25.5,35.2,23.0,22.7,23.3,6.8,10,100,yes,5,GHLTH,8.2,10,
37083,Halifax,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,37624,41.2,33.8,50.2,41.2,33.8,50.3,33.4,33.1,33.7,7.8,7,100,yes,5,GHLTH,8.2,10,
37173,Swain,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,10864,20.1,17.7,22.8,21.3,18.8,24.1,13.2,13.0,13.4,8.1,6,100,yes,5,CSMOKING,8.1,11,
37173,Swain,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,10864,14.3,12.4,16.5,12.0,10.3,13.8,10.4,10.2,10.6,1.6,30,100,yes,5,CSMOKING,8.1,11,
37173,Swain,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,10864,23.2,20.7,25.9,22.3,19.9,24.9,17.0,16.8,17.3,5.3,21,100,yes,5,CSMOKING,8.1,11,
37173,Swain,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,10864,28.0,23.5,32.9,27.0,22.7,31.8,23.0,22.7,23.3,4.0,29,100,yes,5,CSMOKING,8.1,11,
37173,Swain,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,10864,36.7,28.6,45.4,36.8,28.7,45.4,33.4,33.1,33.7,3.4,40,100,yes,5,CSMOKING,8.1,11,
37163,Sampson,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,44784,19.0,16.7,21.4,19.7,17.4,22.3,13.2,13.0,13.4,6.5,18,100,yes,5,LPA,7.9,12,
37163,Sampson,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,44784,15.7,13.7,17.8,13.3,11.5,15.1,10.4,10.2,10.6,2.9,17,100,yes,5,LPA,7.9,12,
37163,Sampson,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,44784,24.8,22.3,27.4,23.4,21.0,26.0,17.0,16.8,17.3,6.4,12,100,yes,5,LPA,7.9,12,
37163,Sampson,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,44784,31.7,27.1,36.5,30.9,26.3,35.7,23.0,22.7,23.3,7.9,2,100,yes,5,LPA,7.9,12,
37163,Sampson,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,44784,38.3,30.9,46.0,38.5,31.1,46.3,33.4,33.1,33.7,5.1,26,100,yes,5,LPA,7.9,12,
37079,Greene,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,16362,19.9,17.4,22.5,20.4,17.8,23.1,13.2,13.0,13.4,7.2,12,100,yes,5,OBESITY,7.8,13,
37079,Greene,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,16362,15.3,13.2,17.4,13.8,12.0,15.8,10.4,10.2,10.6,3.4,10,100,yes,5,OBESITY,7.8,13,
37079,Greene,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,16362,25.3,22.7,28.1,24.7,22.1,27.5,17.0,16.8,17.3,7.7,8,100,yes,5,OBESITY,7.8,13,
37079,Greene,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,16362,29.9,25.3,34.9,29.5,24.9,34.4,23.0,22.7,23.3,6.5,11,100,yes,5,OBESITY,7.8,13,
37079,Greene,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,16362,41.1,32.8,49.9,41.2,32.8,50.0,33.4,33.1,33.7,7.8,7,100,yes,5,OBESITY,7.8,13,
37181,Vance,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,32110,18.0,15.7,20.3,19.1,16.7,21.5,13.2,13.0,13.4,5.9,24,100,yes,5,OBESITY,7.8,14,
37181,Vance,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,32110,16.2,14.1,18.3,13.6,11.7,15.4,10.4,10.2,10.6,3.2,13,100,yes,5,OBESITY,7.8,14,
37181,Vance,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,32110,23.9,21.4,26.5,23.1,20.6,25.6,17.0,16.8,17.3,6.1,17,100,yes,5,OBESITY,7.8,14,
37181,Vance,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,32110,29.2,24.8,33.9,28.5,24.2,33.1,23.0,22.7,23.3,5.5,15,100,yes,5,OBESITY,7.8,14,
37181,Vance,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,32110,41.0,33.5,48.9,41.2,33.7,49.0,33.4,33.1,33.7,7.8,7,100,yes,5,OBESITY,7.8,14,
37187,Washington,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,8655,18.1,15.8,20.5,20.1,17.5,22.7,13.2,13.0,13.4,6.9,13,100,yes,5,OBESITY,7.6,15,
37187,Washington,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,8655,18.9,16.5,21.4,13.8,11.9,15.7,10.4,10.2,10.6,3.4,10,100,yes,5,OBESITY,7.6,15,
37187,Washington,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,8655,26.7,24.0,29.5,24.4,21.7,27.1,17.0,16.8,17.3,7.4,9,100,yes,5,OBESITY,7.6,15,
37187,Washington,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,8655,32.0,27.0,36.9,30.0,25.2,35.0,23.0,22.7,23.3,7.0,7,100,yes,5,OBESITY,7.6,15,
37187,Washington,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,8655,40.4,32.0,49.1,41.0,32.5,49.8,33.4,33.1,33.7,7.6,11,100,yes,5,OBESITY,7.6,15,
37195,Wilson,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,60652,19.8,17.4,22.3,20.8,18.3,23.5,13.2,13.0,13.4,7.6,9,100,yes,5,CSMOKING,7.6,16,
37195,Wilson,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,60652,16.4,14.3,18.6,13.7,11.9,15.7,10.4,10.2,10.6,3.3,12,100,yes,5,CSMOKING,7.6,16,
37195,Wilson,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,60652,25.6,23.0,28.3,24.3,21.7,26.9,17.0,16.8,17.3,7.3,10,100,yes,5,CSMOKING,7.6,16,
37195,Wilson,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,60652,30.8,26.3,35.9,30.0,25.5,35.0,23.0,22.7,23.3,7.0,7,100,yes,5,CSMOKING,7.6,16,
37195,Wilson,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,60652,38.9,31.5,47.0,39.2,31.8,47.5,33.4,33.1,33.7,5.8,21,100,yes,5,CSMOKING,7.6,16,
37045,Cleveland,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,78292,19.7,17.4,22.3,20.6,18.2,23.2,13.2,13.0,13.4,7.4,11,100,yes,5,CSMOKING,7.4,17,
37045,Cleveland,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,78292,13.6,11.8,15.5,11.3,9.7,13.0,10.4,10.2,10.6,0.9,42,100,yes,5,CSMOKING,7.4,17,
37045,Cleveland,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,78292,22.0,19.7,24.6,20.9,18.7,23.3,17.0,16.8,17.3,3.9,28,100,yes,5,CSMOKING,7.4,17,
37045,Cleveland,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,78292,28.1,23.6,32.9,27.2,22.8,32.0,23.0,22.7,23.3,4.2,26,100,yes,5,CSMOKING,7.4,17,
37045,Cleveland,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,78292,37.6,29.9,45.8,37.8,30.1,46.0,33.4,33.1,33.7,4.4,33,100,yes,5,CSMOKING,7.4,17,
37065,Edgecombe,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,37386,17.8,15.6,20.1,18.9,16.6,21.3,13.2,13.0,13.4,5.7,26,100,yes,5,OBESITY,7.1,18,
37065,Edgecombe,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,37386,17.5,15.3,19.9,14.3,12.4,16.3,10.4,10.2,10.6,3.9,7,100,yes,5,OBESITY,7.1,18,
37065,Edgecombe,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,37386,24.4,21.9,27.0,23.0,20.7,25.5,17.0,16.8,17.3,6.0,18,100,yes,5,OBESITY,7.1,18,
37065,Edgecombe,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,37386,29.8,25.3,34.6,28.6,24.2,33.3,23.0,22.7,23.3,5.6,14,100,yes,5,OBESITY,7.1,18,
37065,Edgecombe,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,37386,40.2,32.3,48.2,40.5,32.7,48.5,33.4,33.1,33.7,7.1,12,100,yes,5,OBESITY,7.1,18,
37145,Person,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,31351,18.8,16.5,21.3,20.1,17.6,22.7,13.2,13.0,13.4,6.9,13,100,yes,5,OBESITY,7.1,19,
37145,Person,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,31351,14.9,13.0,17.1,11.9,10.3,13.6,10.4,10.2,10.6,1.5,31,100,yes,5,OBESITY,7.1,19,
37145,Person,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,31351,23.1,20.7,25.6,21.7,19.3,24.1,17.0,16.8,17.3,4.7,23,100,yes,5,OBESITY,7.1,19,
37145,Person,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,31351,28.7,24.3,33.5,27.3,23.1,32.0,23.0,22.7,23.3,4.3,24,100,yes,5,OBESITY,7.1,19,
37145,Person,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,31351,40.6,32.7,49.0,40.5,32.6,48.8,33.4,33.1,33.7,7.1,12,100,yes,5,OBESITY,7.1,19,
37107,Lenoir,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,42248,18.2,15.9,20.7,19.2,16.8,21.8,13.2,13.0,13.4,6.0,22,100,yes,5,OBESITY,7.0,20,
37107,Lenoir,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,42248,17.2,14.9,19.6,13.6,11.8,15.6,10.4,10.2,10.6,3.2,13,100,yes,5,OBESITY,7.0,20,
37107,Lenoir,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,42248,25.3,22.6,28.1,23.3,20.7,25.9,17.0,16.8,17.3,6.3,14,100,yes,5,OBESITY,7.0,20,
37107,Lenoir,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,42248,30.4,25.8,35.4,28.5,24.1,33.4,23.0,22.7,23.3,5.5,15,100,yes,5,OBESITY,7.0,20,
37107,Lenoir,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,42248,40.1,32.1,48.6,40.4,32.4,48.9,33.4,33.1,33.7,7.0,14,100,yes,5,OBESITY,7.0,20,
37131,Northampton,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,13851,17.9,15.7,20.1,18.2,15.9,20.4,13.2,13.0,13.4,5.0,36,100,yes,5,OBESITY,6.9,21,
37131,Northampton,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,13851,20.0,17.5,22.4,13.9,12.1,15.7,10.4,10.2,10.6,3.5,8,100,yes,5,OBESITY,6.9,21,
37131,Northampton,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,13851,26.8,24.1,29.4,22.5,20.2,24.8,17.0,16.8,17.3,5.5,20,100,yes,5,OBESITY,6.9,21,
37131,Northampton,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,13851,31.5,26.6,36.4,27.3,22.8,31.7,23.0,22.7,23.3,4.3,24,100,yes,5,OBESITY,6.9,21,
37131,Northampton,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,13851,40.3,32.0,48.7,40.3,32.0,48.7,33.4,33.1,33.7,6.9,15,100,yes,5,OBESITY,6.9,21,
37161,Rutherford,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,52036,19.5,17.1,22.0,19.8,17.4,22.3,13.2,13.0,13.4,6.6,17,100,yes,5,CSMOKING,6.6,22,
37161,Rutherford,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,52036,14.4,12.5,16.4,11.0,9.5,12.6,10.4,10.2,10.6,0.6,48,100,yes,5,CSMOKING,6.6,22,
37161,Rutherford,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,52036,22.7,20.3,25.3,20.6,18.3,22.9,17.0,16.8,17.3,3.6,35,100,yes,5,CSMOKING,6.6,22,
37161,Rutherford,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,52036,28.2,23.8,32.7,25.9,21.8,30.3,23.0,22.7,23.3,2.9,34,100,yes,5,CSMOKING,6.6,22,
37161,Rutherford,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,52036,36.9,29.6,44.9,36.7,29.4,44.7,33.4,33.1,33.7,3.3,41,100,yes,5,CSMOKING,6.6,22,
37117,Martin,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,17181,19.2,16.8,21.7,19.7,17.2,22.3,13.2,13.0,13.4,6.5,18,100,yes,5,CSMOKING,6.5,23,
37117,Martin,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,17181,18.2,15.8,20.6,13.3,11.5,15.2,10.4,10.2,10.6,2.9,17,100,yes,5,CSMOKING,6.5,23,
37117,Martin,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,17181,26.8,24.1,29.5,23.3,20.9,25.8,17.0,16.8,17.3,6.3,14,100,yes,5,CSMOKING,6.5,23,
37117,Martin,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,17181,31.5,26.7,36.6,28.4,23.9,33.2,23.0,22.7,23.3,5.4,17,100,yes,5,CSMOKING,6.5,23,
37117,Martin,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,17181,38.5,30.4,46.8,38.5,30.4,46.8,33.4,33.1,33.7,5.1,26,100,yes,5,CSMOKING,6.5,23,
37005,Alleghany,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,9346,18.0,15.7,20.4,19.6,17.1,22.2,13.2,13.0,13.4,6.4,20,100,yes,5,CSMOKING,6.4,24,
37005,Alleghany,NC,North Carolina,DIABETES,Diagnosed diabetes among adults,Diagnosed diabetes,2022,9346,15.7,13.6,18.0,11.1,9.5,12.8,10.4,10.2,10.6,0.7,46,100,yes,5,CSMOKING,6.4,24,
37005,Alleghany,NC,North Carolina,GHLTH,Fair or poor self-rated health status among adults,Fair or poor health,2022,9346,23.6,21.0,26.3,21.1,18.7,23.5,17.0,16.8,17.3,4.1,26,100,yes,5,CSMOKING,6.4,24,
37005,Alleghany,NC,North Carolina,LPA,No leisure-time physical activity among adults,No leisure activity,2022,9346,29.7,25.0,34.4,27.2,22.7,31.7,23.0,22.7,23.3,4.2,26,100,yes,5,CSMOKING,6.4,24,
37005,Alleghany,NC,North Carolina,OBESITY,Obesity among adults,Obesity,2022,9346,36.2,28.2,44.5,36.6,28.5,44.9,33.4,33.1,33.7,3.2,42,100,yes,5,CSMOKING,6.4,24,
37153,Richmond,NC,North Carolina,CSMOKING,Current cigarette smoking among adults,Current smoking,2022,32808,17.6,15.3,19.9,19.2,16.8,21.7,13.2,13.0,13.4,6.0,22,100,yes,5,OBESITY,6.4,25,
