tract_fips,synthetic_event_count,adult_denominator_estimate,adult_denominator_moe90,rate_multiplier,crude_rate_per_100k,crude_rate_low_95,crude_rate_high_95,positive_denominator_age_bands,minimum_age_band_denominator,direct_standardized_rate_per_100k,direct_rate_low_95,direct_rate_high_95,direct_support_state,guided_indirect_required,claim_limit
25001012800,218,3181,384.97,100000,6853.1908205,6026.21658247,7784.2497942,5,395,5892.68140753,5084.3664106,6700.99640447,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001012900,223,3817,519.907,100000,5842.28451664,5141.6734608,6631.68755585,5,631,5017.12828938,4347.01034803,5687.24623074,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001013002,151,2869,348.311,100000,5263.15789474,4504.25483379,6141.70190293,5,324,3631.37008452,2970.7983985,4291.94177053,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001013100,327,5152,623.883,100000,6347.04968944,5713.28455314,7045.8637658,5,473,5920.10036834,5293.10982181,6547.09091486,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001013200,339,4893,705.46,100000,6928.26486818,6250.01961037,7674.08768521,5,735,5915.08294781,5281.4113846,6548.75451103,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001013300,185,2656,319.822,100000,6965.36144578,6058.10099843,7996.92688983,5,249,5008.58171067,4079.54319593,5937.62022541,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001013400,263,3532,438.135,100000,7446.20611552,6625.9045595,8358.97145916,5,464,6226.38492487,5427.18456273,7025.58528701,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001013500,295,5869,680.361,100000,5026.40995059,4496.2562911,5615.3985694,5,360,4439.97894973,3923.193878,4956.76402145,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001013600,270,4916,648.05,100000,5492.27013832,4889.45163548,6164.59275544,5,507,4900.05679742,4307.90135168,5492.21224316,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001013700,218,3755,404.584,100000,5805.59254328,5101.81648809,6599.70015312,5,500,4972.8845217,4306.1562849,5639.61275851,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001013800,316,4411,558.282,100000,7163.90841079,6439.55005436,7962.81217657,5,471,6216.02480982,5512.26058959,6919.78903006,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001013900,287,4570,620.012,100000,6280.08752735,5612.7660672,7020.8475817,5,661,5090.8214578,4464.6322242,5717.0106914,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001014002,251,3928,564.927,100000,6390.0203666,5666.96819408,7198.28754216,5,478,5004.36438551,4321.00113852,5687.7276325,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001014100,19,674,157.639,100000,2818.99109792,1811.99851504,4360.75151023,3,0,,,,direct_unavailable_zero_denominator,yes,direct rate is a relative teaching index under one common standard age distribution
25001014300,207,3160,423.86,100000,6550.63291139,5739.64986735,7467.12627042,5,461,5000.07486319,4224.12854322,5776.02118317,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001014402,316,5992,653.984,100000,5273.69826435,4735.88979141,5868.81787452,5,613,4510.02155461,4017.31466602,5002.72844319,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001014500,271,5169,646.324,100000,5242.79357709,4667.72775595,5884.33464855,5,769,4391.86428662,3864.55995033,4919.16862292,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001014600,203,3878,470.511,100000,5234.65703971,4576.91253642,5981.00084485,5,454,4269.31139614,3632.50936149,4906.1134308,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001014700,202,3542,444.626,100000,5702.99265951,4986.18693577,6515.77849493,5,312,4537.87527361,3835.43114901,5240.3193982,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001014800,250,3312,443.38,100000,7548.30917874,6696.9934021,8497.98696948,5,286,5867.25657793,4967.94748989,6766.56566598,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001014900,174,3251,357.664,100000,5352.19932329,4629.87782449,6179.9100952,5,209,3359.61220761,2710.75141539,4008.47299982,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001015001,204,3943,423.288,100000,5173.72558965,4524.9611295,5909.74883079,5,493,4477.54947921,3837.73452108,5117.36443733,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001015002,244,3541,474.643,100000,6890.70883931,6102.2864798,7772.56418797,5,526,5370.76909021,4643.82213012,6097.71605031,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001015100,185,3280,407.356,100000,5640.24390244,4901.39109169,6482.88136813,5,344,4254.82863799,3582.28845722,4927.36881876,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001015200,179,2361,315.222,100000,7581.53324862,6581.36116805,8719.51481545,5,259,6273.09376989,5186.88224143,7359.30529835,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25001015300,168,3050,486.802,100000,5508.19672131,4753.08466197,6375.24218156,5,382,4446.39293828,3769.6623964,5123.12348017,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003900100,164,2840,479.948,100000,5774.64788732,4974.99040406,6693.78451274,5,227,6017.95430089,5115.80340404,6920.10519775,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003900200,175,3544,602.532,100000,4937.92325056,4272.12532868,5701.30395016,5,281,5474.23383306,4680.81058866,6267.65707745,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003900300,135,2142,358.395,100000,6302.5210084,5349.59324344,7411.90214547,5,201,6462.42848093,5417.47204356,7507.38491829,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003900400,184,4280,619.613,100000,4299.06542056,3731.2635668,4948.83027876,5,310,4122.70050771,3534.51621575,4710.88479967,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003900500,154,2807,386.563,100000,5486.28428928,4703.10933964,6391.12928567,5,449,4479.85393134,3739.2630871,5220.44477558,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003900600,131,2953,432.821,100000,4436.16661023,3750.86681389,5239.85732614,5,242,4596.17940079,3830.30714966,5362.05165192,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003900700,136,2304,325.261,100000,5902.77777778,5011.85359355,6940.50378206,5,197,5475.33652382,4573.88213136,6376.79091629,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003900800,200,3870,507.825,100000,5167.95865633,4513.86906912,5910.96279645,5,465,4566.31431371,3919.92141312,5212.7072143,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003900900,194,4201,602.939,100000,4617.94810759,4023.70160879,5295.11487117,5,339,4812.27357472,4139.72473192,5484.82241752,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003901100,137,3024,375.502,100000,4530.42328042,3845.09819406,5331.12396286,5,432,3899.47510223,3250.29727078,4548.65293368,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003911100,161,2453,337.966,100000,6563.39176519,5649.73139539,7612.88502826,5,328,5537.92614677,4647.96662267,6427.88567088,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003912100,317,4969,588.753,100000,6379.55323003,5733.16947206,7093.32950448,5,760,5291.85841277,4695.51959756,5888.19722798,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003913100,272,4401,617.774,100000,6180.41354238,5506.48971116,6930.76742833,5,600,4465.16367589,3879.97618159,5050.35117019,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003914100,358,4999,610.667,100000,7161.43228646,6479.06662788,7909.58559598,5,710,5984.79250934,5313.88675613,6655.69826255,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003920101,161,4776,475.716,100000,3371.02177554,2895.47263234,3921.52039196,5,459,3746.86864354,3165.73111152,4328.00617555,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003920102,203,2954,343.047,100000,6872.03791469,6014.64861272,7841.45099662,5,303,5860.33643334,4981.25589836,6739.41696832,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003921300,185,4087,601.028,100000,4526.54758992,3930.77948891,5207.71836254,5,171,5338.39076055,4554.21082865,6122.57069244,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003921400,70,1210,199.048,100000,5785.12396694,4604.26013131,7245.84251393,5,152,5042.2504639,3851.58915579,6232.91177201,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003921500,130,2241,318.975,100000,5800.9817046,4906.6572986,6846.57622192,5,190,5548.36335404,4572.89332247,6523.83338561,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003922100,81,2034,293.427,100000,3982.30088496,3215.63111518,4922.46314642,5,229,3541.47970404,2781.25613119,4301.70327689,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003922200,139,3195,392.94,100000,4350.54773083,3696.33397472,5114.40148838,5,381,3735.66990291,3118.03245263,4353.30735318,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003922300,84,1580,207.314,100000,5316.4556962,4314.58445902,6535.07842004,5,205,4890.38986891,3842.94457394,5937.83516389,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003923100,164,2723,342.254,100000,6022.76900477,5189.62479045,6979.81974206,5,263,5145.5633813,4322.14677749,5968.97998512,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003924100,130,1883,330.583,100000,6903.87679235,5844.3448532,8138.88927531,5,183,4516.97011369,3603.48122991,5430.45899748,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003925101,85,1255,262.65,100000,6772.90836653,5510.4642038,8299.17461946,5,169,5522.73557712,4300.19796708,6745.27318716,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003925102,292,4872,550.713,100000,5993.4318555,5360.94662756,6695.25872254,5,783,5317.44942999,4696.71275315,5938.18610682,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003926100,122,2886,378.048,100000,4227.3042273,3552.02343154,5024.27607666,5,283,3813.97706829,3149.37870181,4478.57543476,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003931100,72,1376,132.522,100000,5232.55813953,4175.64648934,6538.73362119,5,155,4215.71210886,3251.03025279,5180.39396492,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003931300,75,1274,104.394,100000,5886.97017268,4722.22116107,7316.94518142,5,150,4630.50398436,3579.45241517,5681.55555356,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003931400,91,1424,133.907,100000,6390.4494382,5233.73575589,7781.81703343,5,82,5907.73325031,4667.30630742,7148.1601932,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003932200,112,2117,245.258,100000,5290.50543222,4415.38845235,6327.58612848,5,198,4759.24132099,3851.76241053,5666.72023145,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003932300,75,1581,239.41,100000,4743.83301708,3801.22968155,5905.82700633,5,205,4579.18447954,3525.53453945,5632.83441962,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003933200,90,1298,193.794,100000,6933.74422188,5675.07980519,8446.56746415,5,151,5839.83502081,4477.29844219,7202.37159943,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003933300,90,1249,135.163,100000,7205.76461169,5899.12041507,8774.83992735,5,177,5879.06385965,4627.2915016,7130.8362177,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003933400,126,2234,218.007,100000,5640.10743062,4757.41834323,6675.0921151,5,337,4763.38566263,3928.83907753,5597.93224774,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003934200,71,1040,136.946,100000,6826.92307692,5447.58778985,8524.02232281,5,77,4913.54427355,3598.29609066,6228.79245644,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003934300,87,1669,201.571,100000,5212.7022169,4245.4062858,6385.6943414,5,249,3826.550611,3015.77588111,4637.32534088,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003935100,132,2072,157.848,100000,6370.65637066,5397.66888534,7505.12085723,5,277,4550.91427416,3746.72948985,5355.09905847,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003935200,186,3862,558.954,100000,4816.15743138,4184.63561583,5537.47696494,5,241,4725.96087678,4041.807912,5410.11384156,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25003935300,147,3089,406.73,100000,4758.82162512,4062.61832261,5567.40839509,5,464,3913.40478944,3270.37593058,4556.4336483,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005600100,193,3496,429.03,100000,5520.59496568,4811.20929951,6327.62265638,5,540,4281.74824225,3647.57943306,4915.91705144,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005600202,269,4329,543.258,100000,6213.90621391,5532.87046568,6972.58268718,5,517,5754.51431672,5080.36988377,6428.65874968,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005600203,328,4844,548.377,100000,6771.26341866,6097.42169573,7513.61456496,5,638,6058.17903431,5390.35636382,6726.00170481,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005600204,202,3051,328.141,100000,6620.78007211,5791.91799409,7558.74076573,5,248,6307.95056465,5456.24056128,7159.66056802,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005610100,194,4362,605.981,100000,4447.50114626,3874.77477899,5100.38986033,5,352,4687.43108791,4045.03928863,5329.82288719,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005610202,189,4377,493.912,100000,4318.02604524,3754.84834651,4961.31868235,5,341,4099.06734956,3524.74279038,4673.39190875,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005610203,262,5361,593.515,100000,4887.14792016,4341.62519035,5497.27616158,5,365,4546.13800797,3996.16762253,5096.10839342,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005610204,260,4480,533.661,100000,5803.57142857,5156.02422239,6526.84778884,5,123,6045.59552424,5241.55728944,6849.63375905,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005611101,235,4097,420.01,100000,5735.90432023,5064.48023585,6490.25709254,5,381,5645.51465454,4942.50378145,6348.52552762,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005611102,233,4606,431.746,100000,5058.61919236,4462.33341914,5729.80579037,5,227,6175.49158921,5352.7134438,6998.26973462,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005611201,172,2598,398.038,100000,6620.47729022,5726.99567817,7642.05329449,5,148,6119.27914554,5201.00182116,7037.55646992,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005611202,274,4601,495.833,100000,5955.22712454,5307.45390836,6676.48655421,5,491,5368.21137683,4736.10887148,6000.31388218,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005612100,230,3921,406.842,100000,5865.85054833,5172.62879557,6645.4653539,5,419,5304.37132022,4626.9959033,5981.74673714,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005612201,124,3172,451.874,100000,3909.20554855,3288.58662998,4641.32618482,5,262,3855.12455187,3174.28182067,4535.96728308,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005612202,347,5250,586.398,100000,6609.52380952,5968.69171722,7313.80765568,5,611,6248.27618383,5599.95774683,6896.59462082,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005613100,245,6240,793.952,100000,3926.28205128,3472.05241281,4437.20444577,5,638,3658.73427035,3205.86491706,4111.60362364,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005613300,335,6019,628.336,100000,5565.70858947,5014.36436415,6173.73453283,5,579,5165.22067903,4623.9853108,5706.45604726,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005613400,146,2991,374.19,100000,4881.31059846,4165.29242748,5713.07552249,5,212,4523.16828482,3792.992484,5253.34408564,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005613600,141,3072,414.334,100000,4589.84375,3904.84448798,5388.26969387,5,159,5326.57885215,4458.30388052,6194.85382378,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005613700,175,3823,506.409,100000,4577.55689249,3959.41410619,5286.89156464,5,332,4721.81696984,4043.67328831,5399.96065137,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005613800,230,3946,620.517,100000,5828.68727826,5139.74553118,6603.54755176,5,244,5910.45948543,5164.9793962,6655.93957465,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005613901,108,2532,408.51,100000,4265.4028436,3545.1339849,5124.23523202,5,176,4719.06672847,3849.69260478,5588.44085216,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005613902,213,4152,653.104,100000,5130.05780347,4499.52794877,5843.53886645,5,297,5350.71709411,4622.61343161,6078.82075661,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005614000,127,3382,434.551,100000,3755.17445299,3165.14468009,4450.13979075,5,207,4029.54075377,3316.35815168,4742.72335586,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005614101,293,5532,731.223,100000,5296.45697758,4736.68994413,5918.26582381,5,283,5800.5164106,5140.80967165,6460.22314955,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005614102,348,5678,636.22,100000,6128.91863332,5534.19533411,6782.96388078,5,450,6119.19484217,5489.9087393,6748.48094503,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005615100,382,6475,622.643,100000,5899.61389961,5351.43736693,6500.08676283,5,386,5809.63270072,5233.26824862,6385.99715281,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005616100,267,5383,600.775,100000,4960.05944641,4411.49026045,5572.86630419,5,466,4578.15883472,4020.5199179,5135.79775154,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005617101,231,3871,391.99,100000,5967.45027125,5263.97171202,6758.23522912,5,288,5767.17301053,5039.36776814,6494.97825293,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005617102,208,3455,358.773,100000,6020.26049204,5274.90426745,6863.30628135,5,241,6074.24376907,5271.85122959,6876.63630854,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005630101,117,2771,384.574,100000,4222.3024179,3534.76619315,5036.58688595,5,116,4939.39998335,4023.39749304,5855.40247366,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005630102,202,4311,649.129,100000,4685.68777546,4094.174179,5357.88710096,5,160,4927.92783625,4215.91726482,5639.93840769,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005630201,144,2587,366.928,100000,5566.29300348,4746.89611839,6517.45422722,5,276,4958.48543297,4153.29091786,5763.67994808,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005630202,188,3889,484.591,100000,4834.14759578,4203.46921244,5553.96537201,5,380,4404.68842771,3788.42159394,5020.95526148,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005630301,251,4346,516.29,100000,5775.42567879,5120.1393042,6508.82381111,5,254,5835.65703625,5115.1200296,6556.19404291,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005630302,104,2435,352.777,100000,4271.04722793,3537.34947664,5148.80181271,5,173,4196.90101854,3400.38732517,4993.41471191,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005630400,171,4317,560.689,100000,3961.08408617,3419.01645579,4585.01382666,5,453,3722.27687084,3181.02865783,4263.52508385,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005631101,151,2809,428.62,100000,5375.57849769,4600.82691157,6272.21599888,5,246,5126.32922567,4320.10242975,5932.5560216,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005631102,164,3913,523.119,100000,4191.15767953,3606.9265044,4865.24328622,5,228,4185.81066737,3552.57080058,4819.05053417,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005631200,314,5844,696.926,100000,5373.03216975,4823.68498954,5981.01043987,5,462,5519.0429857,4929.18517184,6108.90079955,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005631300,259,4538,600.027,100000,5707.36007052,5069.11747877,6420.52749348,5,277,5846.77094695,5150.55402743,6542.98786647,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005631400,138,2600,402.793,100000,5307.69230769,4510.01146747,6237.24266632,5,122,6064.70624811,5046.94891274,7082.46358348,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005631500,132,2429,389.954,100000,5434.33511733,4601.15424716,6408.25443624,5,219,5780.41551379,4832.24323804,6728.58778954,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005631600,153,2842,398.409,100000,5383.53272343,4612.37308503,6275.14343,5,101,6409.62353322,5368.90768935,7450.33937709,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005631700,218,5154,548.388,100000,4229.72448584,3713.48696614,4814.13960657,5,507,4103.35842855,3563.83415718,4642.88269992,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005631800,379,6390,675.007,100000,5931.14241002,5378.03988456,6537.1986106,5,536,5500.86285714,4956.90352937,6044.82218491,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005632100,326,5544,601.557,100000,5880.23088023,5290.9800366,6530.5809018,5,511,5489.90925713,4888.82531866,6090.9931956,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
25005632200,423,7063,762.734,100000,5988.95653405,5459.14015059,6566.62077489,5,481,5622.79389622,5087.01750965,6158.5702828,complete_for_module02,no,direct rate is a relative teaching index under one common standard age distribution
