tract_fips,acs_present,places_present,svi_present,three_source_intersection,measure_eligible,unmatched_state
25005600203,1,1,1,1,1,complete three-source intersection
25005600204,1,1,1,1,1,complete three-source intersection
25005610100,1,1,1,1,1,complete three-source intersection
25005610202,1,1,1,1,1,complete three-source intersection
25005610203,1,1,1,1,1,complete three-source intersection
25005610204,1,1,1,1,1,complete three-source intersection
25005611101,1,1,1,1,1,complete three-source intersection
25005611102,1,1,1,1,1,complete three-source intersection
25005611201,1,1,1,1,1,complete three-source intersection
25005611202,1,1,1,1,1,complete three-source intersection
25005612100,1,1,1,1,1,complete three-source intersection
25005612201,1,1,1,1,1,complete three-source intersection
25005612202,1,1,1,1,1,complete three-source intersection
25005613100,1,1,1,1,1,complete three-source intersection
25005613300,1,1,1,1,1,complete three-source intersection
25005613400,1,1,1,1,1,complete three-source intersection
25005613600,1,1,1,1,1,complete three-source intersection
25005613700,1,1,1,1,1,complete three-source intersection
25005613800,1,1,1,1,1,complete three-source intersection
25005613901,1,1,1,1,1,complete three-source intersection
25005613902,1,1,1,1,1,complete three-source intersection
25005614000,1,1,1,1,1,complete three-source intersection
25005614101,1,1,1,1,1,complete three-source intersection
25005614102,1,1,1,1,1,complete three-source intersection
25005615100,1,1,1,1,1,complete three-source intersection
25005616100,1,1,1,1,1,complete three-source intersection
25005617101,1,1,1,1,1,complete three-source intersection
25005617102,1,1,1,1,1,complete three-source intersection
25005630101,1,1,1,1,1,complete three-source intersection
25005630102,1,1,1,1,1,complete three-source intersection
25005630201,1,1,1,1,1,complete three-source intersection
25005630202,1,1,1,1,1,complete three-source intersection
25005630301,1,1,1,1,1,complete three-source intersection
25005630302,1,1,1,1,1,complete three-source intersection
25005630400,1,1,1,1,1,complete three-source intersection
25005631101,1,1,1,1,1,complete three-source intersection
25005631102,1,1,1,1,1,complete three-source intersection
25005631200,1,1,1,1,1,complete three-source intersection
25005631300,1,1,1,1,1,complete three-source intersection
25005631400,1,1,1,1,1,complete three-source intersection
25005631500,1,1,1,1,1,complete three-source intersection
25005631600,1,1,1,1,1,complete three-source intersection
25005631700,1,1,1,1,1,complete three-source intersection
25005631800,1,1,1,1,1,complete three-source intersection
25005632100,1,1,1,1,1,complete three-source intersection
25005632200,1,1,1,1,1,complete three-source intersection
25005633100,1,1,1,1,1,complete three-source intersection
25005633200,1,1,1,1,1,complete three-source intersection
25005640100,1,1,1,1,1,complete three-source intersection
25005640201,1,1,1,1,1,complete three-source intersection
25005640202,1,1,1,1,1,complete three-source intersection
25005640300,1,1,1,1,1,complete three-source intersection
25005640400,1,1,1,1,1,complete three-source intersection
25005640500,1,1,1,1,1,complete three-source intersection
25005640600,1,1,1,1,1,complete three-source intersection
25005640700,1,1,1,1,1,complete three-source intersection
25005640800,1,1,1,1,1,complete three-source intersection
25005640901,1,1,1,1,1,complete three-source intersection
25005641000,1,1,1,1,1,complete three-source intersection
25005641101,1,1,1,1,1,complete three-source intersection
25005641200,1,1,1,1,1,complete three-source intersection
25005641300,1,1,1,1,1,complete three-source intersection
25005641400,1,1,1,1,1,complete three-source intersection
25005641500,1,1,1,1,1,complete three-source intersection
25005641600,1,1,1,1,1,complete three-source intersection
25005641700,1,1,1,1,1,complete three-source intersection
25005641800,1,1,1,1,1,complete three-source intersection
25005641900,1,1,1,1,1,complete three-source intersection
25005642000,1,1,1,1,1,complete three-source intersection
25005642100,1,1,1,1,1,complete three-source intersection
25005642200,1,1,1,1,1,complete three-source intersection
25005642300,1,1,1,1,1,complete three-source intersection
25005642400,1,1,1,1,1,complete three-source intersection
25005642500,1,1,1,1,1,complete three-source intersection
25005644101,1,1,1,1,1,complete three-source intersection
25005644102,1,1,1,1,1,complete three-source intersection
25005644200,1,1,1,1,1,complete three-source intersection
25005645101,1,1,1,1,1,complete three-source intersection
25005645102,1,1,1,1,1,complete three-source intersection
25005645103,1,1,1,1,1,complete three-source intersection
25005646101,1,1,1,1,1,complete three-source intersection
25005646103,1,1,1,1,1,complete three-source intersection
25005646104,1,1,1,1,1,complete three-source intersection
25005650101,1,1,1,1,1,complete three-source intersection
25005650102,1,1,1,1,1,complete three-source intersection
25005650201,1,1,1,1,1,complete three-source intersection
25005650202,1,1,1,1,1,complete three-source intersection
25005650300,1,1,1,1,1,complete three-source intersection
25005650400,1,1,1,1,1,complete three-source intersection
25005650500,1,1,1,1,1,complete three-source intersection
25005650600,1,1,1,1,1,complete three-source intersection
25005650700,1,1,1,1,1,complete three-source intersection
25005650800,1,1,1,1,1,complete three-source intersection
25005650900,1,1,1,1,1,complete three-source intersection
25005651001,1,1,1,1,1,complete three-source intersection
25005651002,1,1,1,1,1,complete three-source intersection
25005651100,1,1,1,1,1,complete three-source intersection
25005651200,1,1,1,1,1,complete three-source intersection
25005651300,1,1,1,1,1,complete three-source intersection
25005651400,1,1,1,1,1,complete three-source intersection
25005651500,1,1,1,1,1,complete three-source intersection
25005651600,1,1,1,1,1,complete three-source intersection
25005651700,1,1,1,1,1,complete three-source intersection
25005651800,1,1,1,1,1,complete three-source intersection
25005651900,1,1,1,1,1,complete three-source intersection
25005652000,1,1,1,1,1,complete three-source intersection
25005652100,1,1,1,1,1,complete three-source intersection
25005652200,1,1,1,1,1,complete three-source intersection
25005652300,1,1,1,1,1,complete three-source intersection
25005652400,1,1,1,1,1,complete three-source intersection
25005652500,1,1,1,1,1,complete three-source intersection
25005652600,1,1,1,1,1,complete three-source intersection
25005652700,1,1,1,1,1,complete three-source intersection
25005652800,1,1,1,1,1,complete three-source intersection
25005653101,1,1,1,1,1,complete three-source intersection
25005653102,1,1,1,1,1,complete three-source intersection
25005653203,1,1,1,1,1,complete three-source intersection
25005653204,1,1,1,1,1,complete three-source intersection
25005653301,1,1,1,1,1,complete three-source intersection
25005653304,1,1,1,1,1,complete three-source intersection
25005654100,1,1,1,1,1,complete three-source intersection
25005654200,1,1,1,1,1,complete three-source intersection
25005655100,1,1,1,1,1,complete three-source intersection
25005655200,1,1,1,1,1,complete three-source intersection
25005655300,1,1,1,1,1,complete three-source intersection
25005655400,1,1,1,1,1,complete three-source intersection
25005985500,1,1,1,1,1,complete three-source intersection
25005985600,1,1,1,1,1,complete three-source intersection
25005990000,1,0,0,0,0,ACS only; no PLACES or SVI row
25007200100,1,1,1,1,1,complete three-source intersection
25007200200,1,1,1,1,1,complete three-source intersection
25007200300,1,1,1,1,1,complete three-source intersection
25007200400,1,1,1,1,1,complete three-source intersection
25007990000,1,0,0,0,0,ACS only; no PLACES or SVI row
25009201100,1,1,1,1,1,complete three-source intersection
25009202101,1,1,1,1,1,complete three-source intersection
25009202103,1,1,1,1,1,complete three-source intersection
25009202104,1,1,1,1,1,complete three-source intersection
25009202200,1,1,1,1,1,complete three-source intersection
25009203100,1,1,1,1,1,complete three-source intersection
25009203200,1,1,1,1,1,complete three-source intersection
25009203301,1,1,1,1,1,complete three-source intersection
25009203302,1,1,1,1,1,complete three-source intersection
25009204101,1,1,1,1,1,complete three-source intersection
25009204102,1,1,1,1,1,complete three-source intersection
25009204200,1,1,1,1,1,complete three-source intersection
25009204300,1,1,1,1,1,complete three-source intersection
25009204400,1,1,1,1,1,complete three-source intersection
25009204500,1,1,1,1,1,complete three-source intersection
25009204600,1,1,1,1,1,complete three-source intersection
25009204701,1,1,1,1,1,complete three-source intersection
25009204702,1,1,1,1,1,complete three-source intersection
25009205100,1,1,1,1,1,complete three-source intersection
25009205200,1,1,1,1,1,complete three-source intersection
25009205300,1,1,1,1,1,complete three-source intersection
25009205400,1,1,1,1,1,complete three-source intersection
25009205500,1,1,1,1,1,complete three-source intersection
25009205600,1,1,1,1,1,complete three-source intersection
25009205700,1,1,1,1,1,complete three-source intersection
25009205800,1,1,1,1,1,complete three-source intersection
25009205900,1,1,1,1,1,complete three-source intersection
25009206000,1,1,1,1,1,complete three-source intersection
25009206100,1,1,1,1,1,complete three-source intersection
25009206200,1,1,1,1,1,complete three-source intersection
25009206300,1,1,1,1,1,complete three-source intersection
25009206400,1,1,1,1,1,complete three-source intersection
25009206500,1,1,1,1,1,complete three-source intersection
25009206600,1,1,1,1,1,complete three-source intersection
25009206700,1,1,1,1,1,complete three-source intersection
25009206800,1,1,1,1,1,complete three-source intersection
25009206900,1,1,1,1,1,complete three-source intersection
25009207000,1,1,1,1,1,complete three-source intersection
25009207100,1,1,1,1,1,complete three-source intersection
25009207200,1,1,1,1,1,complete three-source intersection
25009208101,1,1,1,1,1,complete three-source intersection
25009208102,1,1,1,1,1,complete three-source intersection
25009208200,1,1,1,1,1,complete three-source intersection
25009208301,1,1,1,1,1,complete three-source intersection
25009208302,1,1,1,1,1,complete three-source intersection
25009208401,1,1,1,1,1,complete three-source intersection
25009208402,1,1,1,1,1,complete three-source intersection
25009209100,1,1,1,1,1,complete three-source intersection
25009209200,1,1,1,1,1,complete three-source intersection
25009210100,1,1,1,1,1,complete three-source intersection
25009210200,1,1,1,1,1,complete three-source intersection
25009210301,1,1,1,1,1,complete three-source intersection
25009210302,1,1,1,1,1,complete three-source intersection
25009210401,1,1,1,1,1,complete three-source intersection
25009210402,1,1,1,1,1,complete three-source intersection
25009210500,1,1,1,1,1,complete three-source intersection
25009210600,1,1,1,1,1,complete three-source intersection
25009210700,1,1,1,1,1,complete three-source intersection
25009210800,1,1,1,1,1,complete three-source intersection
25009210900,1,1,1,1,1,complete three-source intersection
25009211100,1,1,1,1,1,complete three-source intersection
25009211201,1,1,1,1,1,complete three-source intersection
25009211202,1,1,1,1,1,complete three-source intersection
25009211300,1,1,1,1,1,complete three-source intersection
25009211401,1,1,1,1,1,complete three-source intersection
25009211402,1,1,1,1,1,complete three-source intersection
25009212101,1,1,1,1,1,complete three-source intersection
25009212102,1,1,1,1,1,complete three-source intersection
25009213100,1,1,1,1,1,complete three-source intersection
25009214100,1,1,1,1,1,complete three-source intersection
25009215101,1,1,1,1,1,complete three-source intersection
25009215102,1,1,1,1,1,complete three-source intersection
25009216100,1,1,1,1,1,complete three-source intersection
25009217101,1,1,1,1,1,complete three-source intersection
25009217102,1,1,1,1,1,complete three-source intersection
25009217201,1,1,1,1,1,complete three-source intersection
25009217202,1,1,1,1,1,complete three-source intersection
25009217300,1,1,1,1,1,complete three-source intersection
25009217401,1,1,1,1,1,complete three-source intersection
25009217402,1,1,1,1,1,complete three-source intersection
25009217500,1,1,1,1,1,complete three-source intersection
25009217601,1,1,1,1,1,complete three-source intersection
25009217602,1,1,1,1,1,complete three-source intersection
25009218100,1,1,1,1,1,complete three-source intersection
25009220101,1,1,1,1,1,complete three-source intersection
25009220102,1,1,1,1,1,complete three-source intersection
25009221100,1,1,1,1,1,complete three-source intersection
25009221300,1,1,1,1,1,complete three-source intersection
25009221400,1,1,1,1,1,complete three-source intersection
25009221500,1,1,1,1,1,complete three-source intersection
25009221600,1,1,1,1,1,complete three-source intersection
25009221700,1,1,1,1,1,complete three-source intersection
25009221800,1,1,1,1,1,complete three-source intersection
25009221901,1,1,1,1,1,complete three-source intersection
25009221902,1,1,1,1,1,complete three-source intersection
25009222100,1,1,1,1,1,complete three-source intersection
25009223100,1,1,1,1,1,complete three-source intersection
25009223200,1,1,1,1,1,complete three-source intersection
25009223300,1,1,1,1,1,complete three-source intersection
25009250100,1,1,1,1,1,complete three-source intersection
25009250200,1,1,1,1,1,complete three-source intersection
25009250300,1,1,1,1,1,complete three-source intersection
25009250400,1,1,1,1,1,complete three-source intersection
25009250500,1,1,1,1,1,complete three-source intersection
25009250600,1,1,1,1,1,complete three-source intersection
25009250700,1,1,1,1,1,complete three-source intersection
25009250800,1,1,1,1,1,complete three-source intersection
25009250900,1,1,1,1,1,complete three-source intersection
25009251000,1,1,1,1,1,complete three-source intersection
25009251100,1,1,1,1,1,complete three-source intersection
25009251200,1,1,1,1,1,complete three-source intersection
25009251300,1,1,1,1,1,complete three-source intersection
25009251400,1,1,1,1,1,complete three-source intersection
25009251500,1,1,1,1,1,complete three-source intersection
25009251600,1,1,1,1,1,complete three-source intersection
25009251700,1,1,1,1,1,complete three-source intersection
25009251800,1,1,1,1,1,complete three-source intersection
25009252101,1,1,1,1,1,complete three-source intersection
25009252102,1,1,1,1,1,complete three-source intersection
25009252201,1,1,1,1,1,complete three-source intersection
25009252202,1,1,1,1,1,complete three-source intersection
25009252300,1,1,1,1,1,complete three-source intersection
25009252400,1,1,1,1,1,complete three-source intersection
25009252501,1,1,1,1,1,complete three-source intersection
25009252502,1,1,1,1,1,complete three-source intersection
25009252601,1,1,1,1,1,complete three-source intersection
25009252602,1,1,1,1,1,complete three-source intersection
25009252603,1,1,1,1,1,complete three-source intersection
25009253100,1,1,1,1,1,complete three-source intersection
25009253201,1,1,1,1,1,complete three-source intersection
25009253202,1,1,1,1,1,complete three-source intersection
25009253203,1,1,1,1,1,complete three-source intersection
25009253204,1,1,1,1,1,complete three-source intersection
25009253205,1,1,1,1,1,complete three-source intersection
25009254100,1,1,1,1,1,complete three-source intersection
25009254200,1,1,1,1,1,complete three-source intersection
25009254301,1,1,1,1,1,complete three-source intersection
25009254302,1,1,1,1,1,complete three-source intersection
25009254401,1,1,1,1,1,complete three-source intersection
25009254402,1,1,1,1,1,complete three-source intersection
25009254403,1,1,1,1,1,complete three-source intersection
25009260100,1,1,1,1,1,complete three-source intersection
25009260200,1,1,1,1,1,complete three-source intersection
25009260301,1,1,1,1,1,complete three-source intersection
25009260302,1,1,1,1,1,complete three-source intersection
25009260401,1,1,1,1,1,complete three-source intersection
25009260402,1,1,1,1,1,complete three-source intersection
25009260500,1,1,1,1,1,complete three-source intersection
25009260600,1,1,1,1,1,complete three-source intersection
25009260700,1,1,1,1,1,complete three-source intersection
25009260800,1,1,1,1,1,complete three-source intersection
25009260900,1,1,1,1,1,complete three-source intersection
25009261000,1,1,1,1,1,complete three-source intersection
25009261101,1,1,1,1,1,complete three-source intersection
25009261102,1,1,1,1,1,complete three-source intersection
25009262100,1,1,1,1,1,complete three-source intersection
25009263100,1,1,1,1,1,complete three-source intersection
25009264100,1,1,1,1,1,complete three-source intersection
25009265101,1,1,1,1,1,complete three-source intersection
25009265102,1,1,1,1,1,complete three-source intersection
25009266100,1,1,1,1,1,complete three-source intersection
25009266200,1,1,1,1,1,complete three-source intersection
25009266300,1,1,1,1,1,complete three-source intersection
25009266400,1,1,1,1,1,complete three-source intersection
25009267102,1,1,1,1,1,complete three-source intersection
25009267103,1,1,1,1,1,complete three-source intersection
25009267104,1,1,1,1,1,complete three-source intersection
25009268100,1,1,1,1,1,complete three-source intersection
25009268200,1,1,1,1,1,complete three-source intersection
25009268300,1,1,1,1,1,complete three-source intersection
25009268400,1,1,1,1,1,complete three-source intersection
25009269100,1,1,1,1,1,complete three-source intersection
25009270100,1,1,1,1,1,complete three-source intersection
25009990100,1,0,0,0,0,ACS only; no PLACES or SVI row
25011040100,1,1,1,1,1,complete three-source intersection
25011040200,1,1,1,1,1,complete three-source intersection
25011040300,1,1,1,1,1,complete three-source intersection
25011040400,1,1,1,1,1,complete three-source intersection
25011040501,1,1,1,1,1,complete three-source intersection
25011040502,1,1,1,1,1,complete three-source intersection
25011040600,1,1,1,1,1,complete three-source intersection
25011040701,1,1,1,1,1,complete three-source intersection
25011040702,1,1,1,1,1,complete three-source intersection
25011040800,1,1,1,1,1,complete three-source intersection
25011040900,1,1,1,1,1,complete three-source intersection
25011041000,1,1,1,1,1,complete three-source intersection
25011041100,1,1,1,1,1,complete three-source intersection
25011041200,1,1,1,1,1,complete three-source intersection
25011041301,1,1,1,1,1,complete three-source intersection
25011041302,1,1,1,1,1,complete three-source intersection
25011041400,1,1,1,1,1,complete three-source intersection
25011041501,1,1,1,1,1,complete three-source intersection
25011041502,1,1,1,1,1,complete three-source intersection
25013800101,1,1,1,1,1,complete three-source intersection
25013800102,1,1,1,1,1,complete three-source intersection
25013800201,1,1,1,1,1,complete three-source intersection
25013800202,1,1,1,1,1,complete three-source intersection
25013800300,1,1,1,1,1,complete three-source intersection
25013800400,1,1,1,1,1,complete three-source intersection
25013800500,1,1,1,1,1,complete three-source intersection
25013800600,1,1,1,1,1,complete three-source intersection
25013800700,1,1,1,1,1,complete three-source intersection
25013800800,1,1,1,1,1,complete three-source intersection
25013800900,1,1,1,1,1,complete three-source intersection
25013801101,1,1,1,1,1,complete three-source intersection
25013801102,1,1,1,1,1,complete three-source intersection
25013801200,1,1,1,1,1,complete three-source intersection
25013801300,1,1,1,1,1,complete three-source intersection
25013801401,1,1,1,1,1,complete three-source intersection
25013801402,1,1,1,1,1,complete three-source intersection
25013801501,1,1,1,1,1,complete three-source intersection
25013801502,1,1,1,1,1,complete three-source intersection
25013801503,1,1,1,1,1,complete three-source intersection
25013801601,1,1,1,1,1,complete three-source intersection
25013801602,1,1,1,1,1,complete three-source intersection
25013801603,1,1,1,1,1,complete three-source intersection
25013801604,1,1,1,1,1,complete three-source intersection
25013801605,1,1,1,1,1,complete three-source intersection
25013801700,1,1,1,1,1,complete three-source intersection
25013801800,1,1,1,1,1,complete three-source intersection
25013801901,1,1,1,1,1,complete three-source intersection
25013801902,1,1,1,1,1,complete three-source intersection
25013802000,1,1,1,1,1,complete three-source intersection
25013802101,1,1,1,1,1,complete three-source intersection
25013802200,1,1,1,1,1,complete three-source intersection
25013802300,1,1,1,1,1,complete three-source intersection
25013802400,1,1,1,1,1,complete three-source intersection
25013802500,1,1,1,1,1,complete three-source intersection
25013802601,1,1,1,1,1,complete three-source intersection
25013802602,1,1,1,1,1,complete three-source intersection
25013810100,1,1,1,1,1,complete three-source intersection
25013810200,1,1,1,1,1,complete three-source intersection
25013810300,1,1,1,1,1,complete three-source intersection
25013810403,1,1,1,1,1,complete three-source intersection
25013810404,1,1,1,1,1,complete three-source intersection
25013810412,1,1,1,1,1,complete three-source intersection
25013810414,1,1,1,1,1,complete three-source intersection
25013810601,1,1,1,1,1,complete three-source intersection
25013810602,1,1,1,1,1,complete three-source intersection
25013810700,1,1,1,1,1,complete three-source intersection
25013810800,1,1,1,1,1,complete three-source intersection
25013810901,1,1,1,1,1,complete three-source intersection
25013810902,1,1,1,1,1,complete three-source intersection
25013811000,1,1,1,1,1,complete three-source intersection
25013811101,1,1,1,1,1,complete three-source intersection
25013811102,1,1,1,1,1,complete three-source intersection
25013811200,1,1,1,1,1,complete three-source intersection
25013811301,1,1,1,1,1,complete three-source intersection
25013811302,1,1,1,1,1,complete three-source intersection
25013811400,1,1,1,1,1,complete three-source intersection
25013811500,1,1,1,1,1,complete three-source intersection
25013811600,1,1,1,1,1,complete three-source intersection
25013811700,1,1,1,1,1,complete three-source intersection
25013811800,1,1,1,1,1,complete three-source intersection
25013811900,1,1,1,1,1,complete three-source intersection
25013812001,1,1,1,1,1,complete three-source intersection
25013812002,1,1,1,1,1,complete three-source intersection
25013812101,1,1,1,1,1,complete three-source intersection
25013812103,1,1,1,1,1,complete three-source intersection
25013812104,1,1,1,1,1,complete three-source intersection
25013812201,1,1,1,1,1,complete three-source intersection
25013812202,1,1,1,1,1,complete three-source intersection
25013812300,1,1,1,1,1,complete three-source intersection
25013812401,1,1,1,1,1,complete three-source intersection
25013812403,1,1,1,1,1,complete three-source intersection
25013812404,1,1,1,1,1,complete three-source intersection
25013812500,1,1,1,1,1,complete three-source intersection
25013812600,1,1,1,1,1,complete three-source intersection
25013812701,1,1,1,1,1,complete three-source intersection
25013812702,1,1,1,1,1,complete three-source intersection
25013812800,1,1,1,1,1,complete three-source intersection
25013812901,1,1,1,1,1,complete three-source intersection
25013812902,1,1,1,1,1,complete three-source intersection
25013812903,1,1,1,1,1,complete three-source intersection
25013813001,1,1,1,1,1,complete three-source intersection
25013813002,1,1,1,1,1,complete three-source intersection
25013813101,1,1,1,1,1,complete three-source intersection
25013813102,1,1,1,1,1,complete three-source intersection
25013813204,1,1,1,1,1,complete three-source intersection
25013813205,1,1,1,1,1,complete three-source intersection
25013813206,1,1,1,1,1,complete three-source intersection
25013813207,1,1,1,1,1,complete three-source intersection
25013813208,1,1,1,1,1,complete three-source intersection
25013813209,1,1,1,1,1,complete three-source intersection
25013813301,1,1,1,1,1,complete three-source intersection
25013813303,1,1,1,1,1,complete three-source intersection
25013813304,1,1,1,1,1,complete three-source intersection
25013813401,1,1,1,1,1,complete three-source intersection
25013813403,1,1,1,1,1,complete three-source intersection
25013813404,1,1,1,1,1,complete three-source intersection
25013813500,1,1,1,1,1,complete three-source intersection
25013813601,1,1,1,1,1,complete three-source intersection
25013813602,1,1,1,1,1,complete three-source intersection
25013813701,1,1,1,1,1,complete three-source intersection
25013813702,1,1,1,1,1,complete three-source intersection
25013813801,1,1,1,1,1,complete three-source intersection
25013813802,1,1,1,1,1,complete three-source intersection
25015820101,1,1,1,1,1,complete three-source intersection
25015820102,1,1,1,1,1,complete three-source intersection
25015820205,1,1,1,1,1,complete three-source intersection
25015820206,1,1,1,1,1,complete three-source intersection
25015820207,1,1,1,1,1,complete three-source intersection
25015820300,1,1,1,1,1,complete three-source intersection
25015820400,1,1,1,1,1,complete three-source intersection
25015820500,1,1,1,1,1,complete three-source intersection
25015820600,1,1,1,1,1,complete three-source intersection
25015820700,1,1,1,1,1,complete three-source intersection
25015820801,1,1,1,1,1,complete three-source intersection
25015820802,1,1,1,1,1,complete three-source intersection
25015820900,1,1,1,1,1,complete three-source intersection
25015821000,1,1,1,1,1,complete three-source intersection
25015821101,1,1,1,1,1,complete three-source intersection
25015821200,1,1,1,1,1,complete three-source intersection
25015821300,1,1,1,1,1,complete three-source intersection
25015821400,1,1,1,1,1,complete three-source intersection
25015821500,1,1,1,1,1,complete three-source intersection
25015821601,1,1,1,1,1,complete three-source intersection
25015821602,1,1,1,1,1,complete three-source intersection
25015821700,1,1,1,1,1,complete three-source intersection
25015821901,1,1,1,1,1,complete three-source intersection
25015821903,1,1,1,1,1,complete three-source intersection
25015821904,1,1,1,1,1,complete three-source intersection
25015822000,1,1,1,1,1,complete three-source intersection
25015822200,1,1,1,1,1,complete three-source intersection
25015822300,1,1,1,1,1,complete three-source intersection
25015822401,1,1,1,1,1,complete three-source intersection
25015822402,1,1,1,1,1,complete three-source intersection
25015822500,1,1,1,1,1,complete three-source intersection
25015822601,1,1,1,1,1,complete three-source intersection
25015822603,1,1,1,1,1,complete three-source intersection
25015822607,1,1,1,1,1,complete three-source intersection
25015822700,1,1,1,1,1,complete three-source intersection
25017300100,1,1,1,1,1,complete three-source intersection
25017301101,1,1,1,1,1,complete three-source intersection
25017301102,1,1,1,1,1,complete three-source intersection
25017310101,1,1,1,1,1,complete three-source intersection
25017310102,1,1,1,1,1,complete three-source intersection
25017310200,1,1,1,1,1,complete three-source intersection
25017310300,1,1,1,1,1,complete three-source intersection
25017310400,1,1,1,1,1,complete three-source intersection
25017310500,1,1,1,1,1,complete three-source intersection
25017310601,1,1,1,1,1,complete three-source intersection
25017310602,1,1,1,1,1,complete three-source intersection
25017310700,1,1,1,1,1,complete three-source intersection
25017311100,1,1,1,1,1,complete three-source intersection
