source_id,relative_path,source_type,mode,language,pages,bytes,sha256,direct_url,teaching_role
SRC15,data/raw/instruments/web/spanish.pdf,instrument_pdf,web,Spanish,20,319532,7fcf3025927344ffa93e2905a9cc1fa907d90e21604e0e0c3d011b22312b6fc7,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/web/effective-january-1-2025-discharges-and-forward/2025_final_survey-instruments_spanish_web_updated.pdf,current instrument
SRC16,data/raw/instruments/web/chinese.pdf,instrument_pdf,web,Chinese,20,946807,66bc69bf2a4b2051d43465861ec31993410442c0f58f192d7db4d7e4c8f81fcb,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/web/effective-january-1-2025-discharges-and-forward/2025_final_survey-instruments_chinese_web_updateda.pdf,current instrument
SRC17,data/raw/instruments/web/russian.pdf,instrument_pdf,web,Russian,22,430090,064d4b1de2a07754f67ec3a2e22dac361c6bf45b616689ff12b083fe9ca7c567,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/web/effective-january-1-2025-discharges-and-forward/2025_final_survey-instruments_russian_web_updated.pdf,current instrument
SRC18,data/raw/instruments/web/vietnamese.pdf,instrument_pdf,web,Vietnamese,22,394951,9aba2e99d5391c374a0883b670816454e3de2e0d80803de261b5c40a0406e953,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/web/effective-january-1-2025-discharges-and-forward/2025_final_survey-instruments_vietnamese_web_updated.pdf,current instrument
SRC19,data/raw/instruments/web/portuguese.pdf,instrument_pdf,web,Portuguese,20,326973,5e4e51610183f16e308d3ec7be2d6b057fbda59f465ed5c995d4bd796748b7b8,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/web/effective-january-1-2025-discharges-and-forward/2025_final_survey-instruments_portuguese_web_updateda.pdf,current instrument
SRC20,data/raw/instruments/web/german.pdf,instrument_pdf,web,German,20,383951,ef1c7121442b530b3c130119530297d97aedd53eaf7f8fe9d25af663bcc95e5f,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/web/effective-january-1-2025-discharges-and-forward/2025_final_survey-instruments_german_web_updateda.pdf,current instrument
SRC21,data/raw/instruments/web/tagalog.pdf,instrument_pdf,web,Tagalog,22,392941,832d958c6ba730d8db7597c6eac6f07c95e824f281e431974b219d8332fdd1d4,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/web/effective-january-1-2025-discharges-and-forward/2025_final_survey-instruments_tagalog_web_updated.pdf,current instrument
SRC22,data/raw/instruments/web/arabic.pdf,instrument_pdf,web,Arabic,20,836733,7e4866ecd76c3cbdd4ca599830adbb513a39529f506eb0860201d4109421cf2f,https://www.hcahpsonline.org/globalassets/hcahps/survey-instruments/web/effective-january-1-2025-discharges-and-forward/2025_final_survey-instruments_arabic_web_updatedb.pdf,current instrument
SRC23,data/raw/guidance/qag-v19.0.pdf,guidance_pdf,guidance,English,902,11199601,1113aaa8f5abc3bb78eed733064890e4cce2f87dfeabe89a7d1933599f67e959,https://www.hcahpsonline.org/globalassets/hcahps/quality-assurance/october_2024_final_qag_v19.0.pdf,scoring administration and reliability guidance
SRC24,data/raw/guidance/qag-v19.0-addendum.pdf,guidance_pdf,guidance,English,8,236057,250aa04df523ab703ff1e5a6d4b77e8d767b0d41fa9d9641bde26fa89ff477e2,https://www.hcahpsonline.org/globalassets/hcahps/quality-assurance/april_2026_qag_v19.0_addendum.pdf,current addendum
SRC25,data/raw/guidance/qag-v19.0-summary-of-changes.pdf,guidance_pdf,guidance,English,2,171274,63a88072810a2a8687d6775109ba6fd3f090ec3c71a1857a2ef0c5fb0caffa4c,https://www.hcahpsonline.org/globalassets/hcahps/quality-assurance/final-summary-of-changes-hcahps-qag-v19.0.pdf,version summary
SRC26,data/raw/guidance/legacy-to-updated-crosswalk.pdf,guidance_pdf,guidance,English,3,266798,75304189e77c2036bf93eba7ad9904dfa4b4bcce000061759a0469439edbce68,https://www.hcahpsonline.org/globalassets/hcahps/updated-hcahps-survey/crosswalk-of-hcahps-survey-to-updated-hcahps-survey.pdf,question version crosswalk
SRC27,data/raw/guidance/updated-to-public-measures-crosswalk.pdf,guidance_pdf,guidance,English,2,185487,d7c0d898c4a89f7402d94ddbd1500d659efcfcded1b747e3e2fdc8d5b2e75650,https://www.hcahpsonline.org/globalassets/hcahps/updated-hcahps-survey/crosswalk-of-updated-hcahps-survey-questions-to-sub-measures-.pdf,public measure crosswalk
SRC28,data/raw/HCAHPS-Hospital.csv.gz,dataset_gzip,dataset,not_applicable,0,2195547,56c6c11f1d61820f367417a00b1e2abaaf02d0b7104d7a5429031e750332503c,https://data.cms.gov/provider-data/sites/default/files/resources/78a50346fbe828ea0ce2837847af6a7c_1785189950/HCAHPS-Hospital.csv,public adjusted hospital measures
