dimension,group,reference_group,measure,valid_n,positive_n,negative_n,contributing_psus,weighted_denominator,weighted_percent,survey_se_pp,ci95_low_percent,ci95_high_percent,support_status,support_reason
insurance_coverage,public insurance only,any private insurance,after_hours_difficult,414,210,204,200,5328987.279969,48.24854216,3.16548333,42.04419484,54.45288948,supported,reportable_teaching_support
insurance_coverage,public insurance only,any private insurance,involved_usually_always,537,380,157,220,7107072.027681,72.46942585,2.45866269,67.65044698,77.28840471,supported,reportable_teaching_support
insurance_coverage,public insurance only,any private insurance,any_telehealth_event,695,133,562,238,9268176.771584,18.40534372,1.73870940,14.99747330,21.81321413,supported,reportable_teaching_support
insurance_coverage,uninsured,any private insurance,delayed_for_cost,17,5,12,15,,,,,,suppressed,valid n below 50; positive n below 10
insurance_coverage,uninsured,any private insurance,after_hours_difficult,4,2,2,4,,,,,,suppressed,valid n below 50; positive n below 10; negative n below 10
insurance_coverage,uninsured,any private insurance,involved_usually_always,5,4,1,5,,,,,,suppressed,valid n below 50; positive n below 10; negative n below 10
insurance_coverage,uninsured,any private insurance,any_telehealth_event,17,0,17,15,,,,,,suppressed,valid n below 50; positive n below 10
race_ethnicity,non-Hispanic White only,non-Hispanic White only,delayed_for_cost,820,62,758,237,12738350.474768,7.50885213,1.09572137,5.36123824,9.65646602,supported,reportable_teaching_support
race_ethnicity,non-Hispanic White only,non-Hispanic White only,after_hours_difficult,462,235,227,199,6895152.838273,51.17736560,2.86098668,45.56983171,56.78489950,supported,reportable_teaching_support
race_ethnicity,non-Hispanic White only,non-Hispanic White only,involved_usually_always,658,511,147,219,9815729.143082,76.97386698,2.04254076,72.97048709,80.97724687,supported,reportable_teaching_support
race_ethnicity,non-Hispanic White only,non-Hispanic White only,any_telehealth_event,822,191,631,237,12759738.333581,23.63371387,1.87993020,19.94905068,27.31837707,supported,reportable_teaching_support
race_ethnicity,Hispanic,non-Hispanic White only,delayed_for_cost,180,17,163,96,2475928.009598,10.87767746,2.72684769,5.53305600,16.22229893,supported,reportable_teaching_support
race_ethnicity,Hispanic,non-Hispanic White only,after_hours_difficult,93,52,41,60,1245807.941820,57.12377603,6.22827530,44.91635645,69.33119561,supported,reportable_teaching_support
race_ethnicity,Hispanic,non-Hispanic White only,involved_usually_always,110,71,39,72,1517911.503031,68.01356266,4.35662915,59.47456952,76.55255580,supported,reportable_teaching_support
race_ethnicity,Hispanic,non-Hispanic White only,any_telehealth_event,180,27,153,96,2475928.009598,13.62306135,2.76883934,8.19613625,19.04998646,supported,reportable_teaching_support
race_ethnicity,non-Hispanic Black only,non-Hispanic White only,delayed_for_cost,175,6,169,101,,,,,,suppressed,positive n below 10
race_ethnicity,non-Hispanic Black only,non-Hispanic White only,after_hours_difficult,105,46,59,76,1378511.707730,43.14598005,6.78707063,29.84332161,56.44863849,supported,reportable_teaching_support
race_ethnicity,non-Hispanic Black only,non-Hispanic White only,involved_usually_always,132,81,51,86,1774961.255078,69.72734580,4.91504541,60.09385680,79.36083479,supported,reportable_teaching_support
race_ethnicity,non-Hispanic Black only,non-Hispanic White only,any_telehealth_event,176,31,145,101,2296843.142234,18.53634213,3.66448088,11.35395961,25.71872466,supported,reportable_teaching_support
race_ethnicity,non-Hispanic Asian only,non-Hispanic White only,delayed_for_cost,34,4,30,28,,,,,,suppressed,valid n below 50; positive n below 10
race_ethnicity,non-Hispanic Asian only,non-Hispanic White only,after_hours_difficult,19,11,8,18,,,,,,suppressed,valid n below 50; negative n below 10
race_ethnicity,non-Hispanic Asian only,non-Hispanic White only,involved_usually_always,24,18,6,22,,,,,,suppressed,valid n below 50; negative n below 10
race_ethnicity,non-Hispanic Asian only,non-Hispanic White only,any_telehealth_event,34,8,26,28,,,,,,suppressed,valid n below 50; positive n below 10
race_ethnicity,non-Hispanic other or multiple races,non-Hispanic White only,delayed_for_cost,43,5,38,34,,,,,,suppressed,valid n below 50; positive n below 10
race_ethnicity,non-Hispanic other or multiple races,non-Hispanic White only,after_hours_difficult,29,21,8,26,,,,,,suppressed,valid n below 50; negative n below 10
race_ethnicity,non-Hispanic other or multiple races,non-Hispanic White only,involved_usually_always,33,23,10,29,,,,,,suppressed,valid n below 50
race_ethnicity,non-Hispanic other or multiple races,non-Hispanic White only,any_telehealth_event,43,11,32,34,,,,,,suppressed,valid n below 50
