facility_id,facility_name,city,county,measure_id,measure_name,denominator,score,lower_estimate,higher_estimate,start_date,end_date,estimate_status,source_comparison_group,display_status,display_label,display_symbol,display_shape,display_shape_code,display_line_type,display_color_hex,contrast_on_white,contrast_on_black,reading_order,short_alt_row,footnote_text,source_release
220077,BAYSTATE MEDICAL CENTER,SPRINGFIELD,HAMPDEN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1971,22.9,19.4,26.7,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,15,"BAYSTATE MEDICAL CENTER: score 22.9, source interval 19.4 to 26.7, denominator 1971, no different from national.",,2026-08-13
220046,BERKSHIRE MEDICAL CENTER,PITTSFIELD,BERKSHIRE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,705,22.9,19.3,27.1,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,16,"BERKSHIRE MEDICAL CENTER: score 22.9, source interval 19.3 to 27.1, denominator 705, no different from national.",,2026-08-13
220066,MERCY MEDICAL CTR,SPRINGFIELD,HAMPDEN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,565,22.9,19.3,27.0,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,17,"MERCY MEDICAL CTR: score 22.9, source interval 19.3 to 27.0, denominator 565, no different from national.",,2026-08-13
220175,METROWEST MEDICAL CENTER,FRAMINGHAM,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,374,22.9,19.3,27.3,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,18,"METROWEST MEDICAL CENTER: score 22.9, source interval 19.3 to 27.3, denominator 374, no different from national.",,2026-08-13
220001,UMASS MEMORIAL HEALTHALLIANCE HOSPITALS,LEOMINSTER,WORCESTER,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,654,22.8,19.1,26.7,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,19,"UMASS MEMORIAL HEALTHALLIANCE HOSPITALS: score 22.8, source interval 19.1 to 26.7, denominator 654, no different from national.",,2026-08-13
220015,"COOLEY DICKINSON HOSPITAL INC,THE",NORTHAMPTON,HAMPSHIRE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,371,22.5,18.7,26.7,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,20,"COOLEY DICKINSON HOSPITAL INC,THE: score 22.5, source interval 18.7 to 26.7, denominator 371, no different from national.",,2026-08-13
220110,BRIGHAM AND WOMEN'S HOSPITAL,BOSTON,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1117,22.1,18.5,26.1,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,21,"BRIGHAM AND WOMEN'S HOSPITAL: score 22.1, source interval 18.5 to 26.1, denominator 1117, no different from national.",,2026-08-13
220135,FALMOUTH HOSPITAL,FALMOUTH,BARNSTABLE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,407,22.0,18.3,26.3,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,22,"FALMOUTH HOSPITAL: score 22.0, source interval 18.3 to 26.3, denominator 407, no different from national.",,2026-08-13
220090,MILFORD REGIONAL MEDICAL CENTER,MILFORD,WORCESTER,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,856,22.0,18.6,26.0,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,23,"MILFORD REGIONAL MEDICAL CENTER: score 22.0, source interval 18.6 to 26.0, denominator 856, no different from national.",,2026-08-13
220035,NORTH SHORE MEDICAL CENTER -,SALEM,ESSEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1257,22.0,18.2,26.1,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,24,"NORTH SHORE MEDICAL CENTER -: score 22.0, source interval 18.2 to 26.1, denominator 1257, no different from national.",,2026-08-13
220063,LOWELL GENERAL HOSPITAL,LOWELL,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1437,21.9,18.5,25.8,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,25,"LOWELL GENERAL HOSPITAL: score 21.9, source interval 18.5 to 25.8, denominator 1437, no different from national.",,2026-08-13
220010,MERRIMACK HEALTH LAWRENCE HOSPITAL,LAWRENCE,ESSEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,650,21.9,18.3,25.8,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,26,"MERRIMACK HEALTH LAWRENCE HOSPITAL: score 21.9, source interval 18.3 to 25.8, denominator 650, no different from national.",,2026-08-13
220177,NANTUCKET COTTAGE HOSPITAL,NANTUCKET,NANTUCKET,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,30,21.9,18.2,26.1,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,27,"NANTUCKET COTTAGE HOSPITAL: score 21.9, source interval 18.2 to 26.1, denominator 30, no different from national.",,2026-08-13
220008,STURDY MEMORIAL HOSPITAL,ATTLEBORO,BRISTOL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,428,21.9,18.1,26.0,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,28,"STURDY MEMORIAL HOSPITAL: score 21.9, source interval 18.1 to 26.0, denominator 428, no different from national.",,2026-08-13
220070,MELROSEWAKEFIELD HEALTHCARE,MELROSE,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,646,21.8,18.2,25.7,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,29,"MELROSEWAKEFIELD HEALTHCARE: score 21.8, source interval 18.2 to 25.7, denominator 646, no different from national.",,2026-08-13
220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,PLYMOUTH,PLYMOUTH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,781,21.7,18.2,25.6,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,30,"BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH: score 21.7, source interval 18.2 to 25.6, denominator 781, no different from national.",,2026-08-13
220033,NORTHEAST HOSPITAL CORPORATION,BEVERLY,ESSEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,976,21.7,18.1,25.9,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,31,"NORTHEAST HOSPITAL CORPORATION: score 21.7, source interval 18.1 to 25.9, denominator 976, no different from national.",,2026-08-13
220029,ANNA JAQUES HOSPITAL,NEWBURYPORT,ESSEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,358,21.6,18.0,25.5,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,32,"ANNA JAQUES HOSPITAL: score 21.6, source interval 18.0 to 25.5, denominator 358, no different from national.",,2026-08-13
220073,BROWN UNIVERSITY HEALTH MORTON HOSPITAL,TAUNTON,BRISTOL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,409,21.6,18.1,25.7,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,33,"BROWN UNIVERSITY HEALTH MORTON HOSPITAL: score 21.6, source interval 18.1 to 25.7, denominator 409, no different from national.",,2026-08-13
220080,HOLY FAMILY HOSPITAL,METHUEN,ESSEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,464,21.6,18.1,25.5,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,34,"HOLY FAMILY HOSPITAL: score 21.6, source interval 18.1 to 25.5, denominator 464, no different from national.",,2026-08-13
220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",BURLINGTON,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1296,21.6,18.2,25.6,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,35,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON: score 21.6, source interval 18.2 to 25.6, denominator 1296, no different from national.",,2026-08-13
221303,ATHOL MEMORIAL HOSPITAL,ATHOL,WORCESTER,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,51,21.5,17.7,26.1,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,36,"ATHOL MEMORIAL HOSPITAL: score 21.5, source interval 17.7 to 26.1, denominator 51, no different from national.",,2026-08-13
220065,BAYSTATE NOBLE HOSPITAL,WESTFIELD,HAMPDEN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,315,21.4,17.8,25.8,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,37,"BAYSTATE NOBLE HOSPITAL: score 21.4, source interval 17.8 to 25.8, denominator 315, no different from national.",,2026-08-13
220031,BOSTON MEDICAL CENTER,BOSTON,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,791,21.4,18.1,25.3,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,38,"BOSTON MEDICAL CENTER: score 21.4, source interval 18.1 to 25.3, denominator 791, no different from national.",,2026-08-13
220084,EMERSON HOSPITAL -,W CONCORD,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,387,21.3,17.7,25.3,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,39,"EMERSON HOSPITAL -: score 21.3, source interval 17.7 to 25.3, denominator 387, no different from national.",,2026-08-13
220116,TUFTS MEDICAL CENTER,BOSTON,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,492,21.3,17.8,25.0,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,40,"TUFTS MEDICAL CENTER: score 21.3, source interval 17.8 to 25.0, denominator 492, no different from national.",,2026-08-13
220011,CAMBRIDGE HEALTH ALLIANCE,CAMBRIDGE,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,387,21.1,17.6,24.7,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,41,"CAMBRIDGE HEALTH ALLIANCE: score 21.1, source interval 17.6 to 24.7, denominator 387, no different from national.",,2026-08-13
220049,MARLBOROUGH HOSPITAL,MARLBOROUGH,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,336,21.1,17.6,25.1,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,42,"MARLBOROUGH HOSPITAL: score 21.1, source interval 17.6 to 25.1, denominator 336, no different from national.",,2026-08-13
220108,BETH ISRAEL DEACONESS HOSPITAL - MILTON,MILTON,NORFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,505,20.9,17.4,24.7,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,43,"BETH ISRAEL DEACONESS HOSPITAL - MILTON: score 20.9, source interval 17.4 to 24.7, denominator 505, no different from national.",,2026-08-13
220086,BETH ISRAEL DEACONESS MEDICAL CENTER,BOSTON,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1411,20.9,17.5,25.0,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,44,"BETH ISRAEL DEACONESS MEDICAL CENTER: score 20.9, source interval 17.5 to 25.0, denominator 1411, no different from national.",,2026-08-13
220101,NEWTON-WELLESLEY HOSPITAL,NEWTON,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1081,20.4,16.9,24.4,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,45,"NEWTON-WELLESLEY HOSPITAL: score 20.4, source interval 16.9 to 24.4, denominator 1081, no different from national.",,2026-08-13
220036,BOSTON MEDICAL CENTER-BRIGHTON,BRIGHTON,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,242,20.3,17.0,24.0,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,46,"BOSTON MEDICAL CENTER-BRIGHTON: score 20.3, source interval 17.0 to 24.0, denominator 242, no different from national.",,2026-08-13
220002,MOUNT AUBURN HOSPITAL,CAMBRIDGE,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,550,20.3,16.7,24.1,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,47,"MOUNT AUBURN HOSPITAL: score 20.3, source interval 16.7 to 24.1, denominator 550, no different from national.",,2026-08-13
220163,UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS,WORCESTER,WORCESTER,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1323,20.3,17.0,24.0,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,48,"UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS: score 20.3, source interval 17.0 to 24.0, denominator 1323, no different from national.",,2026-08-13
221302,FAIRVIEW HOSPITAL,GREAT BARRINGTON,BERKSHIRE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,65,20.0,16.6,23.9,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,49,"FAIRVIEW HOSPITAL: score 20.0, source interval 16.6 to 23.9, denominator 65, no different from national.",,2026-08-13
220176,ST VINCENT HOSPITAL,WORCESTER,WORCESTER,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,666,20.0,16.9,23.8,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,50,"ST VINCENT HOSPITAL: score 20.0, source interval 16.9 to 23.8, denominator 666, no different from national.",,2026-08-13
220030,BAYSTATE WING HOSPITAL,PALMER,HAMPDEN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,439,19.9,16.6,23.7,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,51,"BAYSTATE WING HOSPITAL: score 19.9, source interval 16.6 to 23.7, denominator 439, no different from national.",,2026-08-13
220119,BRIGHAM AND WOMEN FAULKNER HOSPITAL,JAMAICA PLAIN,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,637,19.9,16.6,23.6,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,52,"BRIGHAM AND WOMEN FAULKNER HOSPITAL: score 19.9, source interval 16.6 to 23.6, denominator 637, no different from national.",,2026-08-13
220071,MASSACHUSETTS GENERAL HOSPITAL,BOSTON,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1580,19.7,16.4,23.3,2023-07-01,2025-06-30,reported,no different,no different,No different from national,N,circle,16,solid,#2166AC,5.90,3.56,53,"MASSACHUSETTS GENERAL HOSPITAL: score 19.7, source interval 16.4 to 23.3, denominator 1580, no different from national.",,2026-08-13
220088,NEW ENGLAND BAPTIST HOSPITAL,BOSTON,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,,,,,2023-07-01,2025-06-30,too_few,too few,too few,Too few cases,T,x,4,dashed,#4D4D4D,8.45,2.48,54,NEW ENGLAND BAPTIST HOSPITAL: too few cases; no score or source interval is displayed.,The number of cases/patients is too few to report.,2026-08-13
221304,NORTH ADAMS REGIONAL HOSPITAL CORPORATION,NORTH ADAMS,BERKSHIRE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,,,,,2023-07-01,2025-06-30,too_few,too few,too few,Too few cases,T,x,4,dashed,#4D4D4D,8.45,2.48,55,NORTH ADAMS REGIONAL HOSPITAL CORPORATION: too few cases; no score or source interval is displayed.,The number of cases/patients is too few to report.,2026-08-13
220062,ADCARE HOSPITAL OF WORCESTER INC,WORCESTER,WORCESTER,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,,,,,2023-07-01,2025-06-30,not_available,not available,not available,Not available,NA,plus,3,dotted,#111111,18.88,1.11,56,ADCARE HOSPITAL OF WORCESTER INC: not available; no score or source interval is displayed.,Results are not available for this reporting period.,2026-08-13
22001F,BEDFORD VA MEDICAL CENTER,BEDFORD,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,,,,,2023-07-01,2025-06-30,not_available,not available,not available,Not available,NA,plus,3,dotted,#111111,18.88,1.11,57,BEDFORD VA MEDICAL CENTER: not available; no score or source interval is displayed.,Results are not available for this reporting period.,2026-08-13
223302,BOSTON CHILDREN'S HOSPITAL,BOSTON,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,,,,,2023-07-01,2025-06-30,not_available,not available,not available,Not available,NA,plus,3,dotted,#111111,18.88,1.11,58,BOSTON CHILDREN'S HOSPITAL: not available; no score or source interval is displayed.,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2026-08-13
220017,CARNEY HOSPITAL,BOSTON,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,,,,,2023-07-01,2025-06-30,not_available,not available,not available,Not available,NA,plus,3,dotted,#111111,18.88,1.11,59,CARNEY HOSPITAL: not available; no score or source interval is displayed.,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2026-08-13
223300,FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,BRIGHTON,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,,,,,2023-07-01,2025-06-30,not_available,not available,not available,Not available,NA,plus,3,dotted,#111111,18.88,1.11,60,FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER: not available; no score or source interval is displayed.,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2026-08-13
220075,MASSACHUSETTS EYE AND EAR INFIRMARY -,BOSTON,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,,,,,2023-07-01,2025-06-30,not_available,not available,not available,Not available,NA,plus,3,dotted,#111111,18.88,1.11,61,MASSACHUSETTS EYE AND EAR INFIRMARY -: not available; no score or source interval is displayed.,Results are not available for this reporting period.,2026-08-13
220098,NASHOBA VALLEY MEDICAL CENTER,AYER,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,,,,,2023-07-01,2025-06-30,not_available,not available,not available,Not available,NA,plus,3,dotted,#111111,18.88,1.11,62,NASHOBA VALLEY MEDICAL CENTER: not available; no score or source interval is displayed.,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2026-08-13
22009F,NORTHAMPTON VA MEDICAL CENTER,LEEDS,HAMPSHIRE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,,,,,2023-07-01,2025-06-30,not_available,not available,not available,Not available,NA,plus,3,dotted,#111111,18.88,1.11,63,NORTHAMPTON VA MEDICAL CENTER: not available; no score or source interval is displayed.,Results are not available for this reporting period.,2026-08-13
220126,NORWOOD HOSPITAL,NORWOOD,NORFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,,,,,2023-07-01,2025-06-30,not_available,not available,not available,Not available,NA,plus,3,dotted,#111111,18.88,1.11,64,NORWOOD HOSPITAL: not available; no score or source interval is displayed.,Results are not available for this reporting period.,2026-08-13
223304,THE SHRINERS' HOSPITAL FOR CHILDREN - BOSTON,BOSTON,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,,,,,2023-07-01,2025-06-30,not_available,not available,not available,Not available,NA,plus,3,dotted,#111111,18.88,1.11,65,THE SHRINERS' HOSPITAL FOR CHILDREN - BOSTON: not available; no score or source interval is displayed.,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2026-08-13
