facility_id,facility_name,city,state,county,measure_id,measure_name,compared_to_national,denominator,score,lower_estimate,higher_estimate,number_of_patients,number_of_patients_returned,footnote_code,footnote_text,start_date,end_date,estimate_status,source_release,reported_rank_worst_first,interval_width,contains_national_rate,source_comparison_group,denominator_display_group,top_ten_point_rank
220020,SAINT ANNE'S HOSPITAL,FALL RIVER,MA,BRISTOL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Worse Than the National Rate,467,25.2,21.4,29.6,,,,,2023-07-01,2025-06-30,reported,2026-08-13,1,8.2,0,worse,100 to 499,1
220024,HOLYOKE MEDICAL CENTER,HOLYOKE,MA,HAMPDEN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,342,23.6,19.8,27.9,,,,,2023-07-01,2025-06-30,reported,2026-08-13,6,8.1,1,no different,100 to 499,1
220029,ANNA JAQUES HOSPITAL,NEWBURYPORT,MA,ESSEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,358,21.6,18.0,25.5,,,,,2023-07-01,2025-06-30,reported,2026-08-13,32,7.5,1,no different,100 to 499,0
220030,BAYSTATE WING HOSPITAL,PALMER,MA,HAMPDEN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,439,19.9,16.6,23.7,,,,,2023-07-01,2025-06-30,reported,2026-08-13,51,7.1,1,no different,100 to 499,0
220031,BOSTON MEDICAL CENTER,BOSTON,MA,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,791,21.4,18.1,25.3,,,,,2023-07-01,2025-06-30,reported,2026-08-13,38,7.2,1,no different,500 or more,0
220033,NORTHEAST HOSPITAL CORPORATION,BEVERLY,MA,ESSEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,976,21.7,18.1,25.9,,,,,2023-07-01,2025-06-30,reported,2026-08-13,31,7.8,1,no different,500 or more,0
220035,NORTH SHORE MEDICAL CENTER -,SALEM,MA,ESSEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1257,22.0,18.2,26.1,,,,,2023-07-01,2025-06-30,reported,2026-08-13,24,7.9,1,no different,500 or more,0
220036,BOSTON MEDICAL CENTER-BRIGHTON,BRIGHTON,MA,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,242,20.3,17.0,24.0,,,,,2023-07-01,2025-06-30,reported,2026-08-13,46,7.0,1,no different,100 to 499,0
220046,BERKSHIRE MEDICAL CENTER,PITTSFIELD,MA,BERKSHIRE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,705,22.9,19.3,27.1,,,,,2023-07-01,2025-06-30,reported,2026-08-13,16,7.8,1,no different,500 or more,0
220049,MARLBOROUGH HOSPITAL,MARLBOROUGH,MA,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,336,21.1,17.6,25.1,,,,,2023-07-01,2025-06-30,reported,2026-08-13,42,7.5,1,no different,100 to 499,0
220052,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,BROCKTON,MA,PLYMOUTH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,194,23.6,20.2,27.8,,,,,2023-07-01,2025-06-30,reported,2026-08-13,7,7.6,1,no different,100 to 499,1
220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,PLYMOUTH,MA,PLYMOUTH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,781,21.7,18.2,25.6,,,,,2023-07-01,2025-06-30,reported,2026-08-13,30,7.4,1,no different,500 or more,0
220062,ADCARE HOSPITAL OF WORCESTER INC,WORCESTER,MA,WORCESTER,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,5,Results are not available for this reporting period.,2023-07-01,2025-06-30,not_available,2026-08-13,,,,not available,unavailable,0
220063,LOWELL GENERAL HOSPITAL,LOWELL,MA,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1437,21.9,18.5,25.8,,,,,2023-07-01,2025-06-30,reported,2026-08-13,25,7.3,1,no different,500 or more,0
220065,BAYSTATE NOBLE HOSPITAL,WESTFIELD,MA,HAMPDEN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,315,21.4,17.8,25.8,,,,,2023-07-01,2025-06-30,reported,2026-08-13,37,8.0,1,no different,100 to 499,0
220066,MERCY MEDICAL CTR,SPRINGFIELD,MA,HAMPDEN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,565,22.9,19.3,27.0,,,,,2023-07-01,2025-06-30,reported,2026-08-13,17,7.7,1,no different,500 or more,0
220070,MELROSEWAKEFIELD HEALTHCARE,MELROSE,MA,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,646,21.8,18.2,25.7,,,,,2023-07-01,2025-06-30,reported,2026-08-13,29,7.5,1,no different,500 or more,0
220071,MASSACHUSETTS GENERAL HOSPITAL,BOSTON,MA,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1580,19.7,16.4,23.3,,,,,2023-07-01,2025-06-30,reported,2026-08-13,53,6.9,1,no different,500 or more,0
220073,BROWN UNIVERSITY HEALTH MORTON HOSPITAL,TAUNTON,MA,BRISTOL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,409,21.6,18.1,25.7,,,,,2023-07-01,2025-06-30,reported,2026-08-13,33,7.6,1,no different,100 to 499,0
220074,SOUTHCOAST HOSPITALS GROUP,FALL RIVER,MA,BRISTOL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,2088,23.1,19.2,27.3,,,,,2023-07-01,2025-06-30,reported,2026-08-13,12,8.1,1,no different,500 or more,0
220075,MASSACHUSETTS EYE AND EAR INFIRMARY -,BOSTON,MA,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,5,Results are not available for this reporting period.,2023-07-01,2025-06-30,not_available,2026-08-13,,,,not available,unavailable,0
220077,BAYSTATE MEDICAL CENTER,SPRINGFIELD,MA,HAMPDEN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1971,22.9,19.4,26.7,,,,,2023-07-01,2025-06-30,reported,2026-08-13,15,7.3,1,no different,500 or more,0
220080,HOLY FAMILY HOSPITAL,METHUEN,MA,ESSEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,464,21.6,18.1,25.5,,,,,2023-07-01,2025-06-30,reported,2026-08-13,34,7.4,1,no different,100 to 499,0
220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,NEEDHAM,MA,NORFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,517,23.2,19.5,27.4,,,,,2023-07-01,2025-06-30,reported,2026-08-13,11,7.9,1,no different,500 or more,0
220084,EMERSON HOSPITAL -,W CONCORD,MA,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,387,21.3,17.7,25.3,,,,,2023-07-01,2025-06-30,reported,2026-08-13,39,7.6,1,no different,100 to 499,0
220086,BETH ISRAEL DEACONESS MEDICAL CENTER,BOSTON,MA,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1411,20.9,17.5,25.0,,,,,2023-07-01,2025-06-30,reported,2026-08-13,44,7.5,1,no different,500 or more,0
220088,NEW ENGLAND BAPTIST HOSPITAL,BOSTON,MA,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13,,,,too few,unavailable,0
220090,MILFORD REGIONAL MEDICAL CENTER,MILFORD,MA,WORCESTER,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,856,22.0,18.6,26.0,,,,,2023-07-01,2025-06-30,reported,2026-08-13,23,7.4,1,no different,500 or more,0
220095,HEYWOOD HOSPITAL -,GARDNER,MA,WORCESTER,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,247,24.8,20.6,29.8,,,,,2023-07-01,2025-06-30,reported,2026-08-13,2,9.2,1,no different,100 to 499,1
220098,NASHOBA VALLEY MEDICAL CENTER,AYER,MA,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,19,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2023-07-01,2025-06-30,not_available,2026-08-13,,,,not available,unavailable,0
22009F,NORTHAMPTON VA MEDICAL CENTER,LEEDS,MA,HAMPSHIRE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,5,Results are not available for this reporting period.,2023-07-01,2025-06-30,not_available,2026-08-13,,,,not available,unavailable,0
220100,SOUTH SHORE HOSPITAL,SOUTH WEYMOUTH,MA,NORFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1802,23.0,19.3,27.2,,,,,2023-07-01,2025-06-30,reported,2026-08-13,14,7.9,1,no different,500 or more,0
220101,NEWTON-WELLESLEY HOSPITAL,NEWTON,MA,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1081,20.4,16.9,24.4,,,,,2023-07-01,2025-06-30,reported,2026-08-13,45,7.5,1,no different,500 or more,0
220105,WINCHESTER HOSPITAL,WINCHESTER,MA,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,646,23.3,19.5,27.6,,,,,2023-07-01,2025-06-30,reported,2026-08-13,10,8.1,1,no different,500 or more,1
220108,BETH ISRAEL DEACONESS HOSPITAL - MILTON,MILTON,MA,NORFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,505,20.9,17.4,24.7,,,,,2023-07-01,2025-06-30,reported,2026-08-13,43,7.3,1,no different,500 or more,0
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,JAMAICA PLAIN,MA,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,538,24.7,20.7,29.2,,,,,2023-07-01,2025-06-30,reported,2026-08-13,3,8.5,1,no different,500 or more,1
220110,BRIGHAM AND WOMEN'S HOSPITAL,BOSTON,MA,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1117,22.1,18.5,26.1,,,,,2023-07-01,2025-06-30,reported,2026-08-13,21,7.6,1,no different,500 or more,0
220111,GOOD SAMARITAN MEDICAL CENTER,BROCKTON,MA,PLYMOUTH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,807,24.0,20.2,28.3,,,,,2023-07-01,2025-06-30,reported,2026-08-13,4,8.1,1,no different,500 or more,1
220116,TUFTS MEDICAL CENTER,BOSTON,MA,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,492,21.3,17.8,25.0,,,,,2023-07-01,2025-06-30,reported,2026-08-13,40,7.2,1,no different,100 to 499,0
220119,BRIGHAM AND WOMEN FAULKNER HOSPITAL,JAMAICA PLAIN,MA,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,637,19.9,16.6,23.6,,,,,2023-07-01,2025-06-30,reported,2026-08-13,52,7.0,1,no different,500 or more,0
220126,NORWOOD HOSPITAL,NORWOOD,MA,NORFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,5,Results are not available for this reporting period.,2023-07-01,2025-06-30,not_available,2026-08-13,,,,not available,unavailable,0
220135,FALMOUTH HOSPITAL,FALMOUTH,MA,BARNSTABLE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,407,22.0,18.3,26.3,,,,,2023-07-01,2025-06-30,reported,2026-08-13,22,8.0,1,no different,100 to 499,0
220163,UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS,WORCESTER,MA,WORCESTER,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1323,20.3,17.0,24.0,,,,,2023-07-01,2025-06-30,reported,2026-08-13,48,7.0,1,no different,500 or more,0
220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",BURLINGTON,MA,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1296,21.6,18.2,25.6,,,,,2023-07-01,2025-06-30,reported,2026-08-13,35,7.4,1,no different,500 or more,0
220175,METROWEST MEDICAL CENTER,FRAMINGHAM,MA,MIDDLESEX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,374,22.9,19.3,27.3,,,,,2023-07-01,2025-06-30,reported,2026-08-13,18,8.0,1,no different,100 to 499,0
220176,ST VINCENT HOSPITAL,WORCESTER,MA,WORCESTER,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,666,20.0,16.9,23.8,,,,,2023-07-01,2025-06-30,reported,2026-08-13,50,6.9,1,no different,500 or more,0
220177,NANTUCKET COTTAGE HOSPITAL,NANTUCKET,MA,NANTUCKET,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,30,21.9,18.2,26.1,,,,,2023-07-01,2025-06-30,reported,2026-08-13,27,7.9,1,no different,under 100,0
221300,MARTHA'S VINEYARD HOSPITAL INC,OAK BLUFFS,MA,DUKES,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,70,23.0,19.1,27.6,,,,,2023-07-01,2025-06-30,reported,2026-08-13,13,8.5,1,no different,under 100,0
221302,FAIRVIEW HOSPITAL,GREAT BARRINGTON,MA,BERKSHIRE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,65,20.0,16.6,23.9,,,,,2023-07-01,2025-06-30,reported,2026-08-13,49,7.3,1,no different,under 100,0
221303,ATHOL MEMORIAL HOSPITAL,ATHOL,MA,WORCESTER,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,51,21.5,17.7,26.1,,,,,2023-07-01,2025-06-30,reported,2026-08-13,36,8.4,1,no different,under 100,0
221304,NORTH ADAMS REGIONAL HOSPITAL CORPORATION,NORTH ADAMS,MA,BERKSHIRE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13,,,,too few,unavailable,0
223300,FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,BRIGHTON,MA,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,19,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2023-07-01,2025-06-30,not_available,2026-08-13,,,,not available,unavailable,0
223302,BOSTON CHILDREN'S HOSPITAL,BOSTON,MA,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,19,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2023-07-01,2025-06-30,not_available,2026-08-13,,,,not available,unavailable,0
223304,THE SHRINERS' HOSPITAL FOR CHILDREN - BOSTON,BOSTON,MA,SUFFOLK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,19,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2023-07-01,2025-06-30,not_available,2026-08-13,,,,not available,unavailable,0
