facility_id,facility_name,city,state,county,measure_id,measure_name,compared_to_national,denominator,score,lower_estimate,higher_estimate,number_of_patients,number_of_patients_returned,footnote_code,footnote_text,start_date,end_date,estimate_status,source_release
010056,ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,JEFFERSON,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,604,22.8,20.2,25.6,,,29,This measure was calculated using partial performance period data due to a CMS-approved exception.,2023-07-01,2025-06-30,reported,2026-08-13
010058,BIBB MEDICAL CENTER,CENTREVILLE,AL,BIBB,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13
010061,HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,JACKSON,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,84,21.7,18.9,24.7,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010062,WIREGRASS MEDICAL CENTER,GENEVA,AL,GENEVA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,25,20.8,18.2,23.7,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010065,RUSSELL MEDICAL CENTER,ALEXANDER CITY,AL,TALLAPOOSA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,117,20.3,17.7,23.2,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010073,CLAY COUNTY HOSPITAL,ASHLAND,AL,CLAY,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,ANNISTON,AL,CALHOUN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,354,21.1,18.5,23.9,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010079,ATHENS LIMESTONE HOSPITAL,ATHENS,AL,LIMESTONE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,146,20.6,18.1,23.6,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010083,BALDWIN HEALTH,FOLEY,AL,BALDWIN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,373,21.2,18.5,24.1,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,DECATUR,AL,MORGAN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,429,22.1,19.5,25.2,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010086,NORTH MISSISSIPPI HEALTH SERVICES - SOUTH MARION,WINFIELD,AL,FAYETTE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,29,21.1,18.6,23.8,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010087,USA HEALTH UNIVERSITY HOSPITAL,MOBILE,AL,MOBILE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,138,19.0,16.6,21.6,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010089,WALKER BAPTIST MEDICAL CENTER,JASPER,AL,WALKER,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,305,21.5,18.8,24.4,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",MOBILE,AL,MOBILE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,724,20.1,17.6,22.8,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010091,GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,CLARKE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13
010092,DCH REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,TUSCALOOSA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1117,22.5,19.6,25.5,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010095,HALE COUNTY HOSPITAL,GREENSBORO,AL,HALE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13
010097,ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL,ELMORE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13
010099,D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,ESCAMBIA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13
010100,THOMAS HOSPITAL,FAIRHOPE,AL,BALDWIN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,555,21.9,19.3,25.2,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010101,CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,TALLADEGA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,96,21.0,18.5,23.8,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010103,PRINCETON BAPTIST MEDICAL CENTER,BIRMINGHAM,AL,JEFFERSON,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,624,21.0,18.5,23.9,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010104,GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,JEFFERSON,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1004,21.0,18.5,23.8,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010108,PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,AL,AUTAUGA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,206,21.4,18.8,24.4,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010110,BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,BULLOCK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,5,Results are not available for this reporting period.,2023-07-01,2025-06-30,not_available,2026-08-13
010112,WHITFIELD REGIONAL HOSPITAL,DEMOPOLIS,AL,MARENGO,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,67,22.0,19.2,25.1,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010113,MOBILE INFIRMARY MEDICAL CENTER,MOBILE,AL,MOBILE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1012,20.3,17.7,23.2,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,AL,JEFFERSON,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,308,21.3,18.7,24.3,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,SELMA,AL,DALLAS,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,208,20.1,17.6,22.9,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010125,LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,AL,WINSTON,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,53,21.1,18.4,24.2,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010126,TROY REGIONAL MEDICAL CENTER,TROY,AL,PIKE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,73,19.9,17.4,22.6,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010128,JACKSON MEDICAL CENTER,JACKSON,AL,CLARKE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,26,20.8,18.1,23.7,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010129,NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,BALDWIN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,92,21.4,18.7,24.3,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010130,ST VINCENT'S ST CLAIR,PELL CITY,AL,ST. CLAIR,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,100,23.4,20.5,26.6,,,29,This measure was calculated using partial performance period data due to a CMS-approved exception.,2023-07-01,2025-06-30,reported,2026-08-13
010131,CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,MADISON,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,324,22.0,19.2,24.9,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010138,HILL HOSPITAL OF SUMTER COUNTY,YORK,AL,SUMTER,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,5,Results are not available for this reporting period.,2023-07-01,2025-06-30,not_available,2026-08-13
010139,BAPTIST HEALTH BROOKWOOD HOSPITAL,BIRMINGHAM,AL,JEFFERSON,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,285,22.4,19.8,25.4,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010144,SPRINGHILL MEDICAL CENTER,MOBILE,AL,MOBILE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,530,22.3,19.5,25.2,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010148,EVERGREEN MEDICAL CENTER,EVERGREEN,AL,CONECUH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,69,20.8,18.0,23.7,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010149,BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,MONTGOMERY,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,472,21.8,19.1,24.9,,,,,2023-07-01,2025-06-30,reported,2026-08-13
01014F,BIRMINGHAM VA MEDICAL CENTER,BIRMINGHAM,AL,JEFFERSON,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,453,21.0,18.4,23.7,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,GREENVILLE,AL,BUTLER,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,33,21.6,18.8,24.7,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010157,NORTH ALABAMA SHOALS HOSPITAL,MUSCLE SHOALS,AL,COLBERT,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13
010158,RUSSELLVILLE HOSPITAL,RUSSELLVILLE,AL,FRANKLIN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13
010164,COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,TALLADEGA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,117,21.0,18.4,24.0,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010168,JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,RUSSELL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13
010169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,ESCAMBIA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,27,21.3,18.6,24.1,,,,,2023-07-01,2025-06-30,reported,2026-08-13
010173,ST VINCENT'S CHILTON,CLANTON,AL,CHILTON,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,31,21.5,18.7,24.6,,,29,This measure was calculated using partial performance period data due to a CMS-approved exception.,2023-07-01,2025-06-30,reported,2026-08-13
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,MONTGOMERY,AL,MONTGOMERY,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,85,21.4,18.7,24.5,,,,,2023-07-01,2025-06-30,reported,2026-08-13
01021F,TUSCALOOSA VA MEDICAL CENTER,TUSCALOOSA,AL,TUSCALOOSA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,5,Results are not available for this reporting period.,2023-07-01,2025-06-30,not_available,2026-08-13
010779,BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,BULLOCK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,19,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2023-07-01,2025-06-30,not_available,2026-08-13
010780,EAMC - LANIER,VALLEY,AL,CHAMBERS,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,19,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2023-07-01,2025-06-30,not_available,2026-08-13
010781,J PAUL JONES HOSPITAL,CAMDEN,AL,WILCOX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,19,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2023-07-01,2025-06-30,not_available,2026-08-13
011300,WASHINGTON COUNTY HOSPITAL,CHATOM,AL,WASHINGTON,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13
011302,RED BAY HOSPITAL,RED BAY,AL,FRANKLIN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13
011304,OCHSNER CHOCTAW GENERAL,BUTLER,AL,CHOCTAW,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13
011305,ST VINCENTS BLOUNT,ONEONTA,AL,BLOUNT,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,70,21.3,18.4,24.2,,,,,2023-07-01,2025-06-30,reported,2026-08-13
011306,TANNER MEDICAL CENTER-EAST ALABAMA,WEDOWEE,AL,RANDOLPH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13
011307,MEDICAL CENTER BARBOUR,EUFAULA,AL,BARBOUR,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,36,22.5,19.7,25.5,,,,,2023-07-01,2025-06-30,reported,2026-08-13
011308,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,CRENSHAW,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13
011309,WIREGRASS MEDICAL CENTER,GENEVA,AL,GENEVA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,5,Results are not available for this reporting period.,2023-07-01,2025-06-30,not_available,2026-08-13
011311,LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,AL,WINSTON,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,5,Results are not available for this reporting period.,2023-07-01,2025-06-30,not_available,2026-08-13
013300,THE CHILDREN'S HOSPITAL OF ALABAMA,BIRMINGHAM,AL,JEFFERSON,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,19,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2023-07-01,2025-06-30,not_available,2026-08-13
013301,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,MOBILE,AL,MOBILE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,19,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2023-07-01,2025-06-30,not_available,2026-08-13
020001,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,ANCHORAGE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,401,19.5,17.1,22.2,,,,,2023-07-01,2025-06-30,reported,2026-08-13
020006,MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,MATANUSKA-SUSITNA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,201,20.9,18.3,23.5,,,,,2023-07-01,2025-06-30,reported,2026-08-13
020008,BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,JUNEAU,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,44,20.7,18.1,23.6,,,,,2023-07-01,2025-06-30,reported,2026-08-13
020012,FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,FAIRBANKS NORTH STAR,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,109,21.4,18.8,24.3,,,,,2023-07-01,2025-06-30,reported,2026-08-13
020017,ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,ANCHORAGE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,173,20.5,18.0,23.1,,,,,2023-07-01,2025-06-30,reported,2026-08-13
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,BETHEL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13
020024,CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,KENAI PENINSULA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,135,23.9,21.0,26.8,,,,,2023-07-01,2025-06-30,reported,2026-08-13
020026,ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,ANCHORAGE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,87,22.3,19.8,25.4,,,,,2023-07-01,2025-06-30,reported,2026-08-13
02013F,673rd Medical Group (Joint Base Elmendorf-Richardson),JBER,AK,ANCHORAGE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,5,Results are not available for this reporting period.,2023-07-01,2025-06-30,not_available,2026-08-13
02014F,Bassett ACH (FT Wainwright),Fort Wainwright,AK,FAIRBANKS NORTH STAR,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,5,Results are not available for this reporting period.,2023-07-01,2025-06-30,not_available,2026-08-13
021301,PROVIDENCE VALDEZ MEDICAL CENTER,VALDEZ,AK,VALDEZ-CORDOVA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,5,Results are not available for this reporting period.,2023-07-01,2025-06-30,not_available,2026-08-13
021302,PROVIDENCE SEWARD HOSPITAL,SEWARD,AK,KENAI PENINSULA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,7,No cases met the criteria for this measure.,2023-07-01,2025-06-30,not_available,2026-08-13
021304,PETERSBURG MEDICAL CENTER,PETERSBURG,AK,PETERSBURG BOROUGH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13
021305,SEARHC WRANGELL MEDICAL CENTER & LTC,WRANGELL,AK,WRANGELL CITY AND BOROUGH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,KODIAK,AK,KODIAK ISLAND BOROUGH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Number of Cases Too Small,,,,,,,1,The number of cases/patients is too few to report.,2023-07-01,2025-06-30,too_few,2026-08-13
021307,CORDOVA COMMUNITY MEDICAL CENTER,CORDOVA,AK,VALDEZ-CORDOVA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,,,,,,,7,No cases met the criteria for this measure.,2023-07-01,2025-06-30,not_available,2026-08-13
