tract_fips,synthetic_event_count,expected_synthetic_events,standardized_event_ratio,ratio_low_95,ratio_high_95,indirect_role,measure_definition,claim_limit
25003900700,136,124.07912771,1.09607476,0.92651029,1.29667192,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003900800,200,222.72402652,0.89797227,0.7817608,1.03145899,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003900900,194,203.21626499,0.954648,0.82933607,1.09889444,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003901100,137,170.18268201,0.80501728,0.68089814,0.95176178,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003911100,161,145.94240614,1.1031749,0.94527962,1.28744431,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003912100,317,298.95275697,1.06036821,0.94983563,1.18376349,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003913100,272,291.27126824,0.93383739,0.82920055,1.05167835,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003914100,358,315.35414943,1.13523161,1.02352175,1.25913378,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003920101,161,217.43710261,0.74044401,0.63446569,0.86412447,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003920102,203,170.05039934,1.19376374,1.04034107,1.36981216,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003921300,185,175.15234109,1.05622339,0.91447997,1.21993689,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003921400,70,69.13761801,1.01247341,0.8010241,1.27973978,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003921500,130,126.17272291,1.03033363,0.86760603,1.22358231,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003922100,81,110.89851222,0.73039754,0.58746412,0.90810747,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003922200,139,178.78465317,0.77747165,0.6583951,0.91808425,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003922300,84,89.45447677,0.93902511,0.75823443,1.16292286,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003923100,164,163.92074269,1.00048351,0.85850388,1.16594378,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003924100,130,127.74704061,1.0176361,0.85691391,1.20850324,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003925101,85,77.62479855,1.09501089,0.8853045,1.35439147,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003925102,292,275.12277462,1.06134434,0.94633196,1.19033475,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003926100,122,156.3962014,0.7800701,0.65323503,0.93153204,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003931100,72,80.54193344,0.89394427,0.70957022,1.1262259,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003931300,75,76.33833249,0.98246841,0.78348431,1.23198915,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003931400,91,79.0618639,1.1509974,0.93722567,1.41352831,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003932200,112,121.81639328,0.91941648,0.76397879,1.10647924,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003932300,75,82.49441676,0.90915244,0.72501738,1.14005288,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003933200,90,84.96975663,1.0592004,0.86149669,1.30227486,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003933300,90,76.87152569,1.17078462,0.9522533,1.43946639,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003933400,126,129.49051822,0.97304422,0.81714949,1.15868034,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003934200,71,65.46212051,1.0845967,0.85950665,1.36863398,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003934300,87,102.95494528,0.84502983,0.68487869,1.0426305,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003935100,132,131.13617989,1.0065872,0.84871879,1.19382038,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003935200,186,199.74951754,0.9311662,0.80651803,1.07507888,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25003935300,147,179.33990201,0.81967258,0.6973238,0.96348804,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005600100,193,213.31771454,0.90475374,0.78570508,1.04184045,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005600202,269,236.29881406,1.13838912,1.01016441,1.28288998,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005600203,328,281.62901498,1.16465273,1.04519351,1.2977654,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005600204,202,158.51988221,1.2742881,1.11013884,1.46270909,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005610100,194,207.32723933,0.93571882,0.81289164,1.07710508,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005610202,189,227.6564683,0.83019824,0.71988978,0.95740923,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005610203,262,286.2971158,0.91513321,0.81076858,1.03293198,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005610204,260,220.22103907,1.18063197,1.04550295,1.33322614,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005611101,235,208.68236324,1.12611337,0.99095937,1.27970063,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005611102,233,175.42696751,1.32818804,1.16814162,1.51016233,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005611201,172,137.73793111,1.24874825,1.07540334,1.45003472,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005611202,274,257.6990863,1.06325561,0.94452774,1.19690767,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005612100,230,217.72607964,1.05637322,0.92830527,1.20210928,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005612201,124,153.76006469,0.80645127,0.6762978,0.96165277,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005612202,347,277.36249213,1.25107039,1.12612565,1.38987786,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005613100,245,327.44181338,0.74822454,0.66016223,0.84803391,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005613300,335,324.33670269,1.03287725,0.92798852,1.14962134,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005613400,146,158.78410985,0.91948747,0.78180758,1.08141343,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005613600,141,137.02077902,1.029041,0.87246614,1.21371517,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005613700,175,185.98642986,0.94092886,0.81135703,1.09119302,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005613800,230,195.02807185,1.17931741,1.03634449,1.34201471,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005613901,108,115.86106407,0.93215094,0.77193252,1.12562349,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005613902,213,206.17584858,1.03309869,0.90327178,1.18158558,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005614000,127,151.53742097,0.83807682,0.70429062,0.99727688,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005614101,293,248.25397139,1.18024295,1.05255231,1.32342441,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005614102,348,281.30657365,1.23708449,1.113705,1.37413232,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005615100,382,333.23558819,1.14633615,1.03695695,1.26725276,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005616100,267,291.33327912,0.91647614,0.81288381,1.03327008,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005617101,231,201.76447041,1.1448993,1.00638079,1.30248352,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005617102,208,173.75388823,1.19709551,1.04498148,1.37135221,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005630101,117,122.37967564,0.9560411,0.79759597,1.14596189,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005630102,202,210.89865204,0.95780603,0.83442486,1.09943079,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005630201,144,145.80302527,0.98763383,0.83880787,1.16286532,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005630202,188,211.43672059,0.88915492,0.77072098,1.02578817,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005630301,251,217.80741605,1.15239419,1.01829519,1.30415264,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005630302,104,122.27349473,0.85055228,0.70183308,1.03078524,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005630400,171,224.96017505,0.76013454,0.65433095,0.88304631,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005631101,151,148.36575036,1.01775511,0.86770778,1.19374919,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
25005631102,164,192.77787602,0.85072003,0.72999348,0.99141236,available_as_secondary_check,ratio compares a synthetic count with an expected synthetic count under statewide synthetic age rates,not directly comparable across tracts as a common-standard rate and not a real excess-case claim
