week_index,week_start_date,week_end_date,arrivals,completed_encounters,left_before_seen,left_before_seen_percent,return_within_72h,return_within_72h_percent,shift_median_arrival_to_triage_mean,shift_median_arrival_to_clinician_mean,shift_median_arrival_to_departure_mean,completed_encounters_per_clinician_hour,overtime_hours,mean_queue_end,max_queue_end,special_event_shifts,synthetic_flag
41,2024-10-07,2024-10-13,800,736,64,8.0,0,0.0,12.667,101.595,307.952,0.8825,10.0,7.9673,14,0,1
42,2024-10-14,2024-10-20,870,786,84,9.6552,0,0.0,13.143,104.476,311.762,0.9335,14.0,8.9464,16,0,1
43,2024-10-21,2024-10-27,838,758,80,9.5465,0,0.0,13.048,104.048,307.31,0.9111,20.0,8.4732,17,0,1
44,2024-10-28,2024-11-03,893,793,100,11.1982,0,0.0,13.452,105.357,310.833,0.9329,26.0,9.1696,16,0,1
45,2024-11-04,2024-11-10,866,784,82,9.4688,0,0.0,13.286,99.619,307.024,0.9333,12.0,8.4494,15,0,1
46,2024-11-11,2024-11-17,869,785,84,9.6663,0,0.0,13.071,98.5,303.667,0.9214,28.0,8.372,15,0,1
47,2024-11-18,2024-11-24,889,802,87,9.7863,0,0.0,13.595,102.357,309.119,0.9663,14.0,8.7887,15,0,1
48,2024-11-25,2024-12-01,878,797,81,9.2255,0,0.0,13.0,99.619,301.548,0.9421,14.0,8.5,17,0,1
49,2024-12-02,2024-12-08,853,774,79,9.2614,0,0.0,13.333,98.69,307.738,0.9439,16.0,8.2976,16,0,1
50,2024-12-09,2024-12-15,863,803,60,6.9525,0,0.0,13.238,98.548,301.381,0.956,16.0,8.4256,16,0,1
51,2024-12-16,2024-12-22,869,794,75,8.6306,0,0.0,13.071,98.333,305.619,0.9408,8.0,8.3274,14,0,1
52,2024-12-23,2024-12-29,862,794,68,7.8886,0,0.0,13.048,98.714,305.81,0.9452,24.0,8.2857,14,0,1
