year,stateabbr,statedesc,countyname,countyfips,locationname,datasource,category,measure,data_value_unit,data_value_type,data_value,data_value_footnote_symbol,data_value_footnote,low_confidence_limit,high_confidence_limit,totalpopulation,totalpop18plus,geolocation,locationid,categoryid,measureid,datavaluetypeid,short_question_text
2023,MA,Massachusetts,Barnstable,25001,25001010900,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.0,,,9.3,13.0,5399,4626,POINT (-70.0354744 41.7460505),25001010900,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001011002,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.3,,,8.9,12.0,4604,3924,POINT (-70.1052885 41.6936245),25001011002,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001011100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.3,,,8.7,12.0,5075,4326,POINT (-70.039728 41.7115325),25001011100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001011200,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.6,,,9.1,12.2,3761,3334,POINT (-70.0549755 41.6794471),25001011200,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001011300,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.1,,,9.4,13.2,2569,2336,POINT (-70.1973919 41.7302454),25001011300,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001011400,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.8,,,10.0,13.6,3052,2772,POINT (-70.1527866 41.7329758),25001011400,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001011500,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.3,,,9.6,13.0,4132,3545,POINT (-70.1544713 41.696955),25001011500,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001011600,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.8,,,9.2,12.6,3003,2626,POINT (-70.1363983 41.6637873),25001011600,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001011700,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.4,,,9.7,13.3,1918,1775,POINT (-70.168084 41.6639738),25001011700,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001011801,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.2,,,9.3,13.5,2443,2284,POINT (-70.237039 41.7147036),25001011801,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001011802,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.1,,,8.6,11.7,4460,3770,POINT (-70.2128176 41.6945287),25001011802,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001012001,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.1,,,9.4,13.1,5978,5202,POINT (-70.1930295 41.682367),25001012001,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001012002,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.9,,,10.1,13.8,3265,2755,POINT (-70.2047476 41.6543614),25001012002,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001012101,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.1,,,8.7,11.7,5608,4566,POINT (-70.2359515 41.6676372),25001012101,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001012102,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.4,,,9.6,13.3,3269,2868,POINT (-70.2518265 41.6289275),25001012102,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001012200,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.2,,,7.9,10.8,5055,4299,POINT (-70.3170066 41.7027836),25001012200,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001012502,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.4,,,9.8,13.2,3709,3043,POINT (-70.2929762 41.6392454),25001012502,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001012601,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.6,,,10.0,13.3,3298,2657,POINT (-70.3180404 41.6624989),25001012601,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001012602,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.1,,,9.6,12.6,5668,4564,POINT (-70.2993941 41.6561004),25001012602,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001012700,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.8,,,8.3,11.5,4642,4059,POINT (-70.342159 41.6439568),25001012700,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001012800,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.2,,,8.7,12.1,4120,3464,POINT (-70.3495154 41.6697854),25001012800,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001012900,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.8,,,8.3,11.4,4373,3568,POINT (-70.3680853 41.6665236),25001012900,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001013002,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.0,,,8.4,11.9,2988,2662,POINT (-70.3920127 41.6279841),25001013002,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001013100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.7,,,8.1,11.3,5969,4982,POINT (-70.4223405 41.680438),25001013100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001013200,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.6,,,9.1,12.4,5137,4396,POINT (-70.4353237 41.6316917),25001013200,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001013300,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.3,,,8.7,12.1,3275,2913,POINT (-70.5007474 41.7633827),25001013300,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001013400,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.3,,,8.7,12.1,3893,3240,POINT (-70.4343487 41.742102),25001013400,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001013500,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,8.5,,,7.3,9.9,6884,5527,POINT (-70.4495131 41.6967999),25001013500,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001013600,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.0,,,7.7,10.4,6203,4848,POINT (-70.4902898 41.7037578),25001013600,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001013700,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,7.9,,,6.7,9.2,5435,4791,POINT (-70.5943904 41.764263),25001013700,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001013800,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,8.9,,,7.6,10.3,5054,4182,POINT (-70.5395453 41.7836351),25001013800,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001013900,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.3,,,9.7,13.0,4890,4270,POINT (-70.6050598 41.727041),25001013900,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001014002,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.6,,,9.0,12.3,4284,3708,POINT (-70.6160401 41.6823007),25001014002,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001014100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,4.4,,,3.8,5.2,797,584,POINT (-70.5455195 41.7078392),25001014100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001014300,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.5,,,8.1,11.1,4593,3981,POINT (-70.631528 41.6274594),25001014300,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001014402,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.7,,,8.3,11.4,7201,5949,POINT (-70.6107028 41.6075543),25001014402,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001014500,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.0,,,8.6,11.7,5481,4568,POINT (-70.5327315 41.5887538),25001014500,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001014600,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.4,,,8.9,12.0,4378,3712,POINT (-70.557593 41.5777644),25001014600,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001014700,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,12.1,,,10.4,13.9,3646,3173,POINT (-70.573749 41.5622625),25001014700,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001014800,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,14.8,,,12.6,17.4,3591,3249,POINT (-70.6057531 41.5551393),25001014800,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001014900,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.9,,,8.4,11.6,3627,3319,POINT (-70.6379995 41.5458091),25001014900,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001015001,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.6,,,8.2,11.2,4449,3601,POINT (-70.4748257 41.6563467),25001015001,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001015002,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.6,,,9.8,13.5,4147,3605,POINT (-70.5110013 41.6361365),25001015002,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001015100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.9,,,9.2,12.6,4193,3608,POINT (-70.4866035 41.6104971),25001015100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001015200,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.2,,,8.8,11.8,2267,2040,POINT (-70.4888458 41.5710571),25001015200,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Barnstable,25001,25001015300,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,12.6,,,10.9,14.6,3957,3136,POINT (-70.2817969 41.6700497),25001015300,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003900100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,14.3,,,12.3,16.2,3406,2797,POINT (-73.2529007 42.4517005),25003900100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003900200,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.6,,,10.0,13.4,4260,3251,POINT (-73.2413519 42.4557477),25003900200,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003900300,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.1,,,7.9,10.6,2848,2258,POINT (-73.241982 42.4680494),25003900300,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003900400,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.5,,,9.0,12.4,4742,3813,POINT (-73.2549776 42.4791481),25003900400,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003900500,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.5,,,9.7,13.5,3266,2772,POINT (-73.303666 42.4607536),25003900500,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003900600,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,13.4,,,11.6,15.3,4190,3146,POINT (-73.262306 42.4565288),25003900600,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003900700,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.9,,,8.4,11.8,2820,2300,POINT (-73.2936239 42.4346711),25003900700,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003900800,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.4,,,7.8,11.3,4781,3923,POINT (-73.2554102 42.4184299),25003900800,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003900900,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.7,,,9.0,12.6,5131,4134,POINT (-73.2591484 42.4381558),25003900900,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003901100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.8,,,9.9,13.6,3533,3051,POINT (-73.208318 42.4771527),25003901100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003911100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.2,,,8.7,11.9,3038,2479,POINT (-73.2410907 42.5358751),25003911100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003912100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.2,,,8.6,12.1,6330,5102,POINT (-73.153776 42.4798193),25003912100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003913100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.3,,,9.7,13.1,5095,4354,POINT (-73.2697633 42.3678582),25003913100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003914100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.4,,,8.9,12.0,5788,4903,POINT (-73.2339236 42.3031741),25003914100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003920101,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,7.4,,,6.3,8.6,4501,3826,POINT (-73.2135 42.7235381),25003920101,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003920102,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,8.8,,,7.5,10.1,3012,2687,POINT (-73.2203731 42.6561192),25003920102,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003921300,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.8,,,9.3,12.6,4836,4110,POINT (-73.0842998 42.6985261),25003921300,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003921400,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.9,,,10.1,14.0,1462,1238,POINT (-73.118114 42.6755651),25003921400,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003921500,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,12.0,,,10.3,13.9,2935,2339,POINT (-73.1493635 42.6905098),25003921500,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003922100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.7,,,10.0,13.6,2629,2100,POINT (-73.1242948 42.6201974),25003922100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003922200,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.8,,,9.2,12.4,3515,2896,POINT (-73.1108525 42.6356761),25003922200,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003922300,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.7,,,10.0,13.8,2022,1644,POINT (-73.1362498 42.6092397),25003922300,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003923100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.9,,,9.4,12.6,3258,2685,POINT (-73.1491424 42.5651072),25003923100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003924100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,12.1,,,10.2,14.2,2018,1802,POINT (-73.3230236 42.3019692),25003924100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003925101,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.4,,,8.0,10.9,1674,1333,POINT (-73.359916 42.2519149),25003925101,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003925102,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.5,,,8.9,12.2,5498,4543,POINT (-73.3331753 42.2216958),25003925102,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003926100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.4,,,8.8,12.1,3327,2796,POINT (-73.3598875 42.1036505),25003926100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003931100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.4,,,8.7,12.2,1657,1346,POINT (-73.1058185 42.7227205),25003931100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003931300,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.7,,,10.0,13.5,1339,1157,POINT (-73.0153648 42.6277273),25003931300,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003931400,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.9,,,8.5,11.6,1645,1411,POINT (-73.0443842 42.4773765),25003931400,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003932200,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.1,,,9.3,13.0,2425,2042,POINT (-73.1108227 42.3249728),25003932200,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003932300,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.8,,,10.0,13.9,1919,1625,POINT (-73.1128124 42.4358274),25003932300,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003933200,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.7,,,9.2,12.4,1522,1325,POINT (-73.2132361 42.2125817),25003933200,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003933300,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.2,,,9.6,12.9,1528,1289,POINT (-73.2458658 42.0983596),25003933300,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003933400,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.3,,,9.7,13.0,2623,2270,POINT (-73.1132071 42.1510917),25003933400,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003934200,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.8,,,8.3,11.4,1343,1137,POINT (-73.3880437 42.3123539),25003934200,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003934300,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.7,,,9.0,12.7,2018,1747,POINT (-73.4492624 42.1554346),25003934300,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003935100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.4,,,9.8,13.1,2414,2085,POINT (-73.3159811 42.5040963),25003935100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003935200,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.3,,,8.7,12.1,4950,4005,POINT (-73.2056309 42.4487388),25003935200,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Berkshire,25003,25003935300,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,12.4,,,10.5,14.4,3728,3047,POINT (-73.1184867 42.7053172),25003935300,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Bristol,25005,25005600100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.8,,,8.4,11.4,4030,3231,POINT (-71.1034137 42.0565564),25005600100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Bristol,25005,25005600202,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.4,,,8.0,10.9,4814,3925,POINT (-71.0713808 42.0205643),25005600202,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Bristol,25005,25005600203,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.8,,,8.4,11.2,6386,4985,POINT (-71.1364 42.0409008),25005600203,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Bristol,25005,25005600204,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,8.5,,,7.3,9.8,4095,3203,POINT (-71.1350836 42.0090839),25005600204,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Bristol,25005,25005610100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,8.0,,,6.8,9.3,5359,4353,POINT (-71.2225718 42.034967),25005610100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,MA,Massachusetts,Bristol,25005,25005610202,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,8.0,,,6.9,9.3,5660,4272,POINT (-71.2487197 42.0043385),25005610202,HLTHOUT,DIABETES,CrdPrv,Diabetes
