frame_record_id,split,response_status,response_cell,base_person_weight,split_rule
FRAME-0034,evaluation,respondent,45-64|yes|lower income,7291.09035800,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0035,evaluation,nonrespondent,18-44|no|middle or high income,14315.67280300,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0036,evaluation,respondent,65+|yes|middle or high income,3791.92106000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0037,evaluation,respondent,65+|yes|middle or high income,5469.76111300,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0038,training,nonrespondent,65+|no|middle or high income,11295.49281000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0039,evaluation,nonrespondent,65+|no|lower income,5830.64409900,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0040,training,respondent,65+|yes|middle or high income,10397.68463900,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0041,training,respondent,65+|no|middle or high income,7152.19471300,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0042,training,respondent,65+|no|lower income,9957.30077100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0043,training,nonrespondent,65+|no|lower income,7446.38666400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0044,evaluation,nonrespondent,18-44|yes|lower income,1919.10822200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0045,training,nonrespondent,45-64|no|lower income,19570.91620500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0046,training,nonrespondent,45-64|no|middle or high income,25734.12215700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0047,training,respondent,65+|no|lower income,7444.05987700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0048,training,respondent,65+|no|middle or high income,6885.68118600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0049,training,respondent,65+|no|middle or high income,9421.44965600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0050,evaluation,respondent,18-44|no|middle or high income,21099.72770300,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0051,training,respondent,45-64|no|middle or high income,14333.69405200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0052,training,respondent,65+|yes|middle or high income,8986.53003400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0053,training,nonrespondent,18-44|yes|middle or high income,24843.78253800,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0054,training,respondent,65+|no|middle or high income,17772.15152700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0055,evaluation,respondent,45-64|no|middle or high income,11023.03173000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0056,training,respondent,45-64|no|middle or high income,14610.82631900,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0057,evaluation,nonrespondent,18-44|no|middle or high income,14447.26319000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0058,training,nonrespondent,18-44|no|middle or high income,42441.10172900,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0059,training,nonrespondent,45-64|no|middle or high income,9639.18829600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0060,training,nonrespondent,65+|yes|middle or high income,35162.05944700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0061,training,nonrespondent,18-44|no|middle or high income,28115.98283800,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0062,evaluation,nonrespondent,65+|no|lower income,1441.08050600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0063,training,respondent,45-64|yes|lower income,26908.08085100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0064,training,respondent,65+|no|middle or high income,7193.04299400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0065,training,respondent,65+|yes|lower income,1973.13455300,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0066,evaluation,respondent,45-64|no|lower income,14041.00594500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0067,training,nonrespondent,65+|no|middle or high income,7110.57349200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0068,training,nonrespondent,65+|no|middle or high income,9580.58702700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0069,training,nonrespondent,65+|no|lower income,5811.07525100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0070,training,nonrespondent,65+|no|lower income,22335.27216800,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0071,training,respondent,65+|no|lower income,19501.67936000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0072,training,respondent,45-64|no|middle or high income,12961.69095600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0073,evaluation,respondent,45-64|no|middle or high income,8822.91281200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0074,evaluation,respondent,18-44|no|middle or high income,10408.95496700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0075,training,respondent,65+|no|lower income,11815.55744000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0076,training,respondent,65+|no|middle or high income,10344.82912900,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0077,training,nonrespondent,45-64|no|middle or high income,17897.22070200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0078,evaluation,respondent,65+|no|middle or high income,7820.11237600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0079,evaluation,respondent,45-64|no|middle or high income,14763.75298400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0080,training,respondent,65+|no|middle or high income,14819.97622200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0081,evaluation,respondent,65+|no|middle or high income,10602.47562000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0082,training,nonrespondent,65+|no|middle or high income,29612.59071600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0083,evaluation,respondent,65+|no|middle or high income,7366.70854300,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0084,evaluation,nonrespondent,65+|no|lower income,25030.45173600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0085,evaluation,respondent,45-64|no|middle or high income,13208.28289300,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0086,training,respondent,18-44|no|lower income,46820.10371100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0087,training,nonrespondent,45-64|no|middle or high income,18945.30936700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0088,evaluation,respondent,65+|no|middle or high income,3739.13948200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0089,training,nonrespondent,45-64|no|middle or high income,11050.58185100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0090,training,nonrespondent,45-64|yes|lower income,11139.88642400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0091,training,respondent,45-64|no|middle or high income,36481.56076600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0092,training,respondent,45-64|no|lower income,11157.10386200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0093,training,respondent,45-64|no|middle or high income,6643.02496500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0094,evaluation,nonrespondent,18-44|no|lower income,3825.96021400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0095,evaluation,nonrespondent,18-44|yes|lower income,3255.20821700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0096,training,respondent,65+|no|middle or high income,20029.03836600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0097,training,respondent,65+|no|middle or high income,18401.27878000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0098,evaluation,nonrespondent,65+|no|middle or high income,11471.89107200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0099,training,nonrespondent,45-64|no|middle or high income,26947.40127100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0100,evaluation,respondent,65+|no|middle or high income,11578.04414800,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0101,training,respondent,65+|no|middle or high income,8346.63147100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0102,evaluation,respondent,65+|no|middle or high income,32303.16712400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0103,training,respondent,18-44|yes|middle or high income,20385.64261600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0104,training,respondent,45-64|no|middle or high income,15883.23960000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0105,evaluation,respondent,18-44|no|middle or high income,53999.77823000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0106,training,respondent,65+|no|middle or high income,6245.98246000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0107,training,nonrespondent,65+|no|middle or high income,3200.30161500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0108,training,respondent,65+|no|middle or high income,11756.93472700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0109,training,nonrespondent,65+|no|middle or high income,6291.11819900,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0110,evaluation,nonrespondent,65+|yes|lower income,8906.08827800,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0111,training,nonrespondent,65+|no|middle or high income,6267.78023800,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0112,training,respondent,45-64|no|middle or high income,47560.65441400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0113,evaluation,nonrespondent,65+|no|lower income,9380.19461700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0114,training,nonrespondent,65+|no|middle or high income,14289.15225000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0115,training,respondent,65+|no|lower income,13474.77064200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0116,evaluation,respondent,45-64|no|lower income,19315.94401400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0117,evaluation,respondent,18-44|no|middle or high income,26951.05365300,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0118,training,respondent,45-64|no|middle or high income,7403.93450500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0119,training,nonrespondent,65+|no|middle or high income,7878.43934700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0120,training,respondent,65+|no|middle or high income,13082.38355100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0121,training,nonrespondent,65+|no|lower income,4711.53792100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0122,training,respondent,18-44|yes|middle or high income,44420.80070700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0123,evaluation,respondent,65+|no|lower income,9880.44203000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0124,training,respondent,45-64|no|lower income,10487.28487400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0125,training,nonrespondent,45-64|no|lower income,10917.23854800,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0126,training,nonrespondent,45-64|yes|middle or high income,9187.48038100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0127,training,nonrespondent,65+|no|lower income,14785.47101800,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0128,training,respondent,18-44|yes|middle or high income,17415.01820600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0129,evaluation,nonrespondent,45-64|yes|lower income,14933.42145400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0130,training,respondent,18-44|no|middle or high income,29083.83745600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0131,training,respondent,45-64|no|middle or high income,6842.52213000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0132,training,nonrespondent,18-44|yes|lower income,10563.01312900,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0133,training,respondent,65+|no|middle or high income,27398.01703000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0134,training,respondent,18-44|no|lower income,19641.26783500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0135,training,nonrespondent,18-44|no|middle or high income,18710.33524200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0136,evaluation,respondent,65+|no|lower income,12262.19537400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0137,training,respondent,18-44|yes|middle or high income,43133.60803600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0138,training,respondent,45-64|no|middle or high income,35962.32996500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0139,training,respondent,45-64|no|lower income,7957.95002000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0140,training,nonrespondent,45-64|no|middle or high income,27398.27787500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0141,training,respondent,65+|yes|middle or high income,21501.03776100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0142,training,nonrespondent,65+|no|middle or high income,14691.06781800,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0143,training,respondent,65+|no|middle or high income,10110.90284400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0144,training,respondent,65+|no|middle or high income,7088.14117100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0145,training,nonrespondent,65+|no|middle or high income,6971.93115000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0146,training,nonrespondent,18-44|no|lower income,18004.02049900,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0147,training,respondent,65+|no|lower income,2801.31765800,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0148,training,nonrespondent,45-64|no|middle or high income,17133.74624500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0149,evaluation,respondent,65+|no|middle or high income,11381.85124200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0150,training,respondent,18-44|no|middle or high income,13491.01623400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0151,evaluation,respondent,18-44|no|middle or high income,29352.42720000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0152,evaluation,respondent,18-44|no|middle or high income,25076.57737800,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0153,training,respondent,65+|no|middle or high income,10549.36820000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0154,evaluation,nonrespondent,65+|no|lower income,5488.56988100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0155,training,respondent,65+|no|lower income,5349.31842600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0156,training,respondent,65+|no|middle or high income,9933.12620500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0157,training,respondent,45-64|yes|lower income,1572.01665900,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0158,training,respondent,18-44|no|lower income,8838.49824200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0159,evaluation,respondent,45-64|no|lower income,6883.41051200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0160,training,nonrespondent,45-64|yes|lower income,3684.86549000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0161,training,respondent,18-44|yes|lower income,6250.30588500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0162,training,nonrespondent,18-44|no|lower income,10416.13466000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0163,training,respondent,18-44|no|middle or high income,10853.86486000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0164,training,nonrespondent,18-44|yes|middle or high income,17095.25718400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0165,training,respondent,65+|no|lower income,7683.53289000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0166,training,respondent,65+|no|lower income,6394.68208600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0167,training,respondent,65+|no|lower income,7567.73151600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0168,training,nonrespondent,65+|no|lower income,6959.38515400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0169,training,nonrespondent,45-64|no|middle or high income,21694.69183100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0170,training,nonrespondent,18-44|no|lower income,15686.96906000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0171,evaluation,nonrespondent,65+|no|middle or high income,33632.99686300,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0172,training,respondent,65+|no|lower income,4046.89369900,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0173,training,respondent,65+|yes|lower income,11728.78611800,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0174,training,nonrespondent,65+|no|middle or high income,17927.88029700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0175,evaluation,respondent,65+|no|lower income,6773.06385900,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0176,training,respondent,65+|no|lower income,24492.56516100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0177,evaluation,respondent,18-44|no|lower income,28148.11980300,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0178,training,nonrespondent,45-64|no|middle or high income,9797.38342900,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0179,training,respondent,65+|no|middle or high income,10049.41054800,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0180,evaluation,nonrespondent,65+|yes|lower income,3669.46404700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0181,training,nonrespondent,65+|no|middle or high income,3336.39346500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0182,evaluation,respondent,45-64|no|lower income,12460.41609000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0183,training,nonrespondent,45-64|no|lower income,15028.02378400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0184,training,nonrespondent,45-64|no|middle or high income,25511.89627500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0185,training,respondent,18-44|no|middle or high income,67368.96318200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0186,evaluation,respondent,65+|no|lower income,26951.26996400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0187,training,respondent,65+|no|middle or high income,13348.78545600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0188,training,respondent,45-64|yes|lower income,3261.19313600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0189,training,respondent,65+|no|lower income,12645.29363000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0190,training,respondent,45-64|no|lower income,5963.06850000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0191,evaluation,respondent,65+|no|lower income,10695.85325600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0192,training,respondent,65+|no|middle or high income,13956.19226300,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0193,training,respondent,65+|no|middle or high income,16488.96372700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0194,evaluation,respondent,45-64|no|lower income,23119.19728400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0195,evaluation,respondent,65+|no|lower income,11311.20049600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0196,training,respondent,45-64|no|lower income,7890.84529000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0197,training,nonrespondent,65+|no|lower income,24138.27861700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0198,training,nonrespondent,18-44|yes|middle or high income,17492.03511600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0199,training,respondent,65+|no|middle or high income,9843.56345200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0200,training,respondent,65+|no|lower income,5384.95273500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0201,training,respondent,65+|no|middle or high income,16686.15628000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0202,training,respondent,18-44|no|middle or high income,29329.72553200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0203,training,respondent,65+|no|middle or high income,5356.23382700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0204,training,respondent,18-44|no|middle or high income,19315.51374100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0205,evaluation,respondent,18-44|yes|middle or high income,34769.91167100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0206,evaluation,respondent,18-44|no|middle or high income,4021.86600400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0207,training,respondent,45-64|yes|lower income,5148.45754400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0208,training,respondent,65+|no|middle or high income,8852.69603000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0209,training,respondent,65+|no|middle or high income,5211.55532900,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0210,training,nonrespondent,65+|yes|middle or high income,9961.56835900,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0211,training,respondent,18-44|no|middle or high income,20488.73330600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0212,training,nonrespondent,65+|no|middle or high income,5634.54139800,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0213,training,nonrespondent,45-64|no|lower income,5345.98520600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0214,training,respondent,65+|yes|lower income,7236.77432500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0215,training,nonrespondent,18-44|no|lower income,45540.24955600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0216,evaluation,nonrespondent,65+|no|lower income,16134.70682700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0217,training,nonrespondent,65+|no|lower income,14253.57959300,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0218,training,respondent,65+|no|middle or high income,7876.65037100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0219,training,nonrespondent,65+|no|middle or high income,18398.97911200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0220,training,respondent,18-44|yes|lower income,3731.77007900,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0221,training,nonrespondent,65+|no|lower income,10039.29624400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0222,training,nonrespondent,65+|yes|lower income,11090.25869400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0223,training,nonrespondent,45-64|yes|middle or high income,6862.61013100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0224,evaluation,respondent,65+|yes|lower income,11445.42510400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0225,training,respondent,18-44|yes|lower income,18359.04500200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0226,training,respondent,65+|yes|middle or high income,4703.32611600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0227,evaluation,nonrespondent,45-64|yes|middle or high income,4124.68808400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0228,training,nonrespondent,18-44|no|middle or high income,38648.08681200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0229,training,respondent,65+|no|lower income,9614.83832500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0230,training,respondent,65+|no|lower income,4902.68982700,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0231,training,nonrespondent,18-44|yes|lower income,15457.73550500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0232,training,respondent,65+|no|lower income,5893.72081000,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0233,evaluation,nonrespondent,65+|no|lower income,9736.47068200,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0234,evaluation,nonrespondent,45-64|no|middle or high income,28571.24377400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0235,training,respondent,65+|no|middle or high income,9116.73456600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0236,training,respondent,65+|no|middle or high income,8916.27985400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0237,training,respondent,65+|no|middle or high income,8022.36871600,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0238,training,respondent,65+|no|lower income,7152.67644500,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0239,training,respondent,65+|no|middle or high income,8232.04906100,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0240,training,nonrespondent,65+|no|middle or high income,5964.80860400,stratified train_test_split test_size 0.30 random_state 20260830
FRAME-0241,evaluation,respondent,18-44|no|lower income,18385.44309000,stratified train_test_split test_size 0.30 random_state 20260830
