opportunity_id,link_person_id,data_class,assigned_channel,language_support_offer,accessible_format_offer,synthetic_selection_score,comment_returned,comment_id
OPPORTUNITY-0071,LINK-0122,synthetic_comment_opportunity_linked_to_public_derived_meps,web,offered,offered,0.97838263,yes,COMMENT-0033
OPPORTUNITY-0072,LINK-0123,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.67963589,yes,COMMENT-0034
OPPORTUNITY-0073,LINK-0124,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.59725462,yes,COMMENT-0035
OPPORTUNITY-0074,LINK-0128,synthetic_comment_opportunity_linked_to_public_derived_meps,web,offered,not_offered,0.48199136,no,
OPPORTUNITY-0075,LINK-0130,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.89581655,yes,COMMENT-0036
OPPORTUNITY-0076,LINK-0131,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.22028172,no,
OPPORTUNITY-0077,LINK-0133,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.30774101,no,
OPPORTUNITY-0078,LINK-0134,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.16023760,no,
OPPORTUNITY-0079,LINK-0136,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.49736439,no,
OPPORTUNITY-0080,LINK-0137,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,offered,not_offered,1.02299703,yes,COMMENT-0037
OPPORTUNITY-0081,LINK-0138,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.68018552,yes,COMMENT-0038
OPPORTUNITY-0082,LINK-0139,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,offered,0.53650141,yes,COMMENT-0039
OPPORTUNITY-0083,LINK-0141,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,offered,not_offered,0.72044874,yes,COMMENT-0040
OPPORTUNITY-0084,LINK-0143,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.23703703,no,
OPPORTUNITY-0085,LINK-0144,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.57731051,yes,COMMENT-0041
OPPORTUNITY-0086,LINK-0147,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.68100215,yes,COMMENT-0042
OPPORTUNITY-0087,LINK-0149,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.70675819,yes,COMMENT-0043
OPPORTUNITY-0088,LINK-0150,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.67238092,yes,COMMENT-0044
OPPORTUNITY-0089,LINK-0151,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.49493531,no,
OPPORTUNITY-0090,LINK-0152,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,offered,0.78447627,yes,COMMENT-0045
OPPORTUNITY-0091,LINK-0153,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.95061340,yes,COMMENT-0046
OPPORTUNITY-0092,LINK-0155,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.46454699,no,
OPPORTUNITY-0093,LINK-0156,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.42742439,no,
OPPORTUNITY-0094,LINK-0157,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,offered,not_offered,0.59491807,yes,COMMENT-0047
OPPORTUNITY-0095,LINK-0158,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.24077230,no,
OPPORTUNITY-0096,LINK-0159,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.61724342,yes,COMMENT-0048
OPPORTUNITY-0097,LINK-0161,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,offered,not_offered,0.85377483,yes,COMMENT-0049
OPPORTUNITY-0098,LINK-0163,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.97958603,yes,COMMENT-0050
OPPORTUNITY-0099,LINK-0165,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.40255847,no,
OPPORTUNITY-0100,LINK-0166,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,offered,0.63379604,yes,COMMENT-0051
OPPORTUNITY-0101,LINK-0167,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.64470313,yes,COMMENT-0052
OPPORTUNITY-0102,LINK-0172,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,offered,0.38854022,no,
OPPORTUNITY-0103,LINK-0173,synthetic_comment_opportunity_linked_to_public_derived_meps,web,offered,not_offered,0.62649858,yes,COMMENT-0053
OPPORTUNITY-0104,LINK-0175,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.70539558,yes,COMMENT-0054
OPPORTUNITY-0105,LINK-0176,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.63662979,yes,COMMENT-0055
OPPORTUNITY-0106,LINK-0177,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.80177938,yes,COMMENT-0056
OPPORTUNITY-0107,LINK-0179,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.93165349,yes,COMMENT-0057
OPPORTUNITY-0108,LINK-0182,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,offered,1.04878823,yes,COMMENT-0058
OPPORTUNITY-0109,LINK-0185,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.90267831,yes,COMMENT-0059
OPPORTUNITY-0110,LINK-0186,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,offered,0.91148258,yes,COMMENT-0060
OPPORTUNITY-0111,LINK-0187,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,offered,0.63457458,yes,COMMENT-0061
OPPORTUNITY-0112,LINK-0188,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,offered,not_offered,0.81665080,yes,COMMENT-0062
OPPORTUNITY-0113,LINK-0189,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.49536566,no,
OPPORTUNITY-0114,LINK-0190,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.38562350,no,
OPPORTUNITY-0115,LINK-0191,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.15352146,no,
OPPORTUNITY-0116,LINK-0192,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.69568718,yes,COMMENT-0063
OPPORTUNITY-0117,LINK-0193,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.00473108,no,
OPPORTUNITY-0118,LINK-0194,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.47861258,no,
OPPORTUNITY-0119,LINK-0195,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.58332269,yes,COMMENT-0064
OPPORTUNITY-0120,LINK-0196,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.82309970,yes,COMMENT-0065
OPPORTUNITY-0121,LINK-0199,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,1.06618403,yes,COMMENT-0066
OPPORTUNITY-0122,LINK-0200,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.63977082,yes,COMMENT-0067
OPPORTUNITY-0123,LINK-0201,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.93151338,yes,COMMENT-0068
OPPORTUNITY-0124,LINK-0202,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.38675889,no,
OPPORTUNITY-0125,LINK-0203,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,offered,0.21132624,no,
OPPORTUNITY-0126,LINK-0204,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.25637139,no,
OPPORTUNITY-0127,LINK-0205,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,offered,not_offered,0.54606381,yes,COMMENT-0069
OPPORTUNITY-0128,LINK-0206,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.73688412,yes,COMMENT-0070
OPPORTUNITY-0129,LINK-0207,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,offered,offered,0.23550169,no,
OPPORTUNITY-0130,LINK-0208,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,offered,0.31442273,no,
OPPORTUNITY-0131,LINK-0209,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.81074884,yes,COMMENT-0071
OPPORTUNITY-0132,LINK-0211,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,offered,0.33250190,no,
OPPORTUNITY-0133,LINK-0214,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_offered,not_offered,0.01998341,no,
OPPORTUNITY-0134,LINK-0218,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,offered,0.67335169,yes,COMMENT-0072
OPPORTUNITY-0135,LINK-0220,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_offered,offered,0.56133218,yes,COMMENT-0073
OPPORTUNITY-0136,LINK-0224,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_offered,not_offered,0.15890500,no,
OPPORTUNITY-0137,LINK-0225,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,offered,not_offered,0.31738274,no,
OPPORTUNITY-0138,LINK-0226,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,offered,offered,0.70385005,yes,COMMENT-0074
OPPORTUNITY-0139,LINK-0229,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,offered,0.15523884,no,
OPPORTUNITY-0140,LINK-0230,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.03214369,no,
OPPORTUNITY-0141,LINK-0232,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.95471031,yes,COMMENT-0075
OPPORTUNITY-0142,LINK-0235,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,offered,0.94166743,yes,COMMENT-0076
OPPORTUNITY-0143,LINK-0236,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.90593903,yes,COMMENT-0077
OPPORTUNITY-0144,LINK-0237,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,offered,0.30962379,no,
OPPORTUNITY-0145,LINK-0238,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.34576955,no,
OPPORTUNITY-0146,LINK-0239,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,offered,0.27479535,no,
OPPORTUNITY-0147,LINK-0241,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.53062823,yes,COMMENT-0078
OPPORTUNITY-0148,LINK-0243,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.52933321,yes,COMMENT-0079
OPPORTUNITY-0149,LINK-0247,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.50067236,no,
OPPORTUNITY-0150,LINK-0248,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.08038763,no,
OPPORTUNITY-0151,LINK-0249,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,offered,0.76358794,yes,COMMENT-0080
OPPORTUNITY-0152,LINK-0250,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.79677481,yes,COMMENT-0081
OPPORTUNITY-0153,LINK-0251,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.62330595,yes,COMMENT-0082
OPPORTUNITY-0154,LINK-0252,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,offered,0.59137960,yes,COMMENT-0083
OPPORTUNITY-0155,LINK-0253,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.36225972,no,
OPPORTUNITY-0156,LINK-0254,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,offered,0.62063562,yes,COMMENT-0084
OPPORTUNITY-0157,LINK-0255,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,offered,0.42456243,no,
OPPORTUNITY-0158,LINK-0256,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.83703907,yes,COMMENT-0085
OPPORTUNITY-0159,LINK-0259,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.44909375,no,
OPPORTUNITY-0160,LINK-0260,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.75722527,yes,COMMENT-0086
OPPORTUNITY-0161,LINK-0262,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.12898072,no,
OPPORTUNITY-0162,LINK-0263,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,offered,0.95498150,yes,COMMENT-0087
OPPORTUNITY-0163,LINK-0265,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.93989587,yes,COMMENT-0088
OPPORTUNITY-0164,LINK-0266,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,offered,0.08349357,no,
OPPORTUNITY-0165,LINK-0267,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.48402694,no,
OPPORTUNITY-0166,LINK-0269,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.38458009,no,
OPPORTUNITY-0167,LINK-0271,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,offered,0.08392225,no,
OPPORTUNITY-0168,LINK-0272,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,offered,0.54652954,yes,COMMENT-0089
OPPORTUNITY-0169,LINK-0274,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.80508273,yes,COMMENT-0090
OPPORTUNITY-0170,LINK-0275,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.08879856,no,
OPPORTUNITY-0171,LINK-0277,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.80080513,yes,COMMENT-0091
OPPORTUNITY-0172,LINK-0278,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.63323960,yes,COMMENT-0092
OPPORTUNITY-0173,LINK-0279,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.00233796,no,
OPPORTUNITY-0174,LINK-0280,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,offered,0.14179655,no,
OPPORTUNITY-0175,LINK-0281,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.80739491,yes,COMMENT-0093
OPPORTUNITY-0176,LINK-0282,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.61424866,yes,COMMENT-0094
OPPORTUNITY-0177,LINK-0283,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.66472241,yes,COMMENT-0095
OPPORTUNITY-0178,LINK-0284,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.19335466,no,
OPPORTUNITY-0179,LINK-0285,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.18095510,no,
OPPORTUNITY-0180,LINK-0286,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.31242598,no,
OPPORTUNITY-0181,LINK-0287,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.06176248,no,
OPPORTUNITY-0182,LINK-0288,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.54077946,yes,COMMENT-0096
OPPORTUNITY-0183,LINK-0289,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,offered,0.89167093,yes,COMMENT-0097
OPPORTUNITY-0184,LINK-0290,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.62181753,yes,COMMENT-0098
OPPORTUNITY-0185,LINK-0292,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.59484071,yes,COMMENT-0099
OPPORTUNITY-0186,LINK-0294,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.36832493,no,
OPPORTUNITY-0187,LINK-0296,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.22011127,no,
OPPORTUNITY-0188,LINK-0297,synthetic_comment_opportunity_linked_to_public_derived_meps,mail,not_applicable,not_offered,0.86509911,yes,COMMENT-0100
OPPORTUNITY-0189,LINK-0298,synthetic_comment_opportunity_linked_to_public_derived_meps,web,not_applicable,not_offered,0.73285418,yes,COMMENT-0101
OPPORTUNITY-0190,LINK-0299,synthetic_comment_opportunity_linked_to_public_derived_meps,phone,not_applicable,not_offered,0.30320628,no,
