tract_fips,state_fips,county_fips,tract_code,tract_name,geometry_type,is_valid,is_empty,is_null,aland_sq_m,awater_sq_m,projected_area_sq_m,area_relative_difference
25001013800,25,25001,013800,138,Polygon,1,0,0,12577899,927824,13505472.3931614831,0.0000185556
25001013900,25,25001,013900,139,Polygon,1,0,0,15717345,6088464,21805737.9214842655,0.0000032596
25001014002,25,25001,014002,140.02,Polygon,1,0,0,19063461,5154444,24218158.8407559805,0.0000104815
25001014100,25,25001,014100,141,Polygon,1,0,0,82644372,127974,82772753.6273100972,0.0000049247
25001014300,25,25001,014300,143,Polygon,1,0,0,15892129,3325167,19217856.1634680144,0.0000291489
25001014402,25,25001,014402,144.02,Polygon,1,0,0,41040486,2375914,43417899.0191698745,0.0000345266
25001014500,25,25001,014500,145,Polygon,1,0,0,17329505,4318747,21649164.3482138664,0.0000421442
25001014600,25,25001,014600,146,Polygon,1,0,0,12348292,1287007,13635931.7216485497,0.0000464032
25001014700,25,25001,014700,147,Polygon,1,0,0,6280597,1450413,7731411.9237897443,0.0000519885
25001014800,25,25001,014800,148,Polygon,1,0,0,5286480,409042,5695829.567592416,0.0000540017
25001014900,25,25001,014900,149,Polygon,1,0,0,15929586,3196513,19127231.2301204838,0.0000591982
25001015001,25,25001,015001,150.01,Polygon,1,0,0,10235798,3548882,13784938.5526265632,0.0000187565
25001015002,25,25001,015002,150.02,Polygon,1,0,0,14101661,2101791,16203876.5679757167,0.0000262023
25001015100,25,25001,015100,151,Polygon,1,0,0,16641711,590370,17232670.440912433,0.000034206
25001015200,25,25001,015200,152,Polygon,1,0,0,15232591,3759455,18992959.544761382,0.0000481014
25001015300,25,25001,015300,153,Polygon,1,0,0,13212205,530950,13743337.8103307672,0.0000133019
25001990000,25,25001,990000,9900,Polygon,1,0,0,0,2140968533,2140941575.7530961037,0.0000125911
25003900100,25,25003,900100,9001,Polygon,1,0,0,1264254,0,1264190.0550122459,0.0000505792
25003900200,25,25003,900200,9002,Polygon,1,0,0,1338731,111345,1450000.7099671371,0.0000519214
25003900300,25,25003,900300,9003,Polygon,1,0,0,2747524,21953,2769342.4771560356,0.0000485734
25003900400,25,25003,900400,9004,Polygon,1,0,0,12763913,991639,13754907.4560298324,0.000046857
25003900500,25,25003,900500,9005,Polygon,1,0,0,28227200,2704641,30930312.8951159157,0.0000494023
25003900600,25,25003,900600,9006,Polygon,1,0,0,2112080,71544,2183512.8654546621,0.0000508945
25003900700,25,25003,900700,9007,Polygon,1,0,0,7194096,331454,7525142.2999478206,0.0000541754
25003900800,25,25003,900800,9008,Polygon,1,0,0,25849608,551501,26399626.7574318275,0.0000561432
25003900900,25,25003,900900,9009,Polygon,1,0,0,4025777,86806,4112361.3370924476,0.0000538987
25003901100,25,25003,901100,9011,Polygon,1,0,0,7889295,14757,7903671.293313588,0.000048166
25003911100,25,25003,911100,9111,Polygon,1,0,0,74730666,1899775,76627570.6285552531,0.0000374573
25003912100,25,25003,912100,9121,Polygon,1,0,0,56384679,256362,56638375.2327728719,0.0000470642
25003913100,25,25003,913100,9131,Polygon,1,0,0,54951001,1168561,56116091.9148859531,0.0000618338
25003914100,25,25003,914100,9141,Polygon,1,0,0,67718745,2250661,69964675.1778846532,0.0000676127
25003920101,25,25003,920101,9201.01,Polygon,1,0,0,35555233,246166,35801860.5322568268,0.0000128915
25003920102,25,25003,920102,9201.02,Polygon,1,0,0,85482502,68664,85550804.7965592146,0.0000042221
25003921300,25,25003,921300,9213,Polygon,1,0,0,11993054,132550,12125642.266853679,0.0000031559
25003921400,25,25003,921400,9214,Polygon,1,0,0,17962803,138318,18101062.1756944247,0.0000032498
25003921500,25,25003,921500,9215,Polygon,1,0,0,18120994,340405,18461423.9006057233,0.0000013488
25003922100,25,25003,922100,9221,Polygon,1,0,0,1996395,28384,2024745.8825995151,0.0000163561
25003922200,25,25003,922200,9222,Polygon,1,0,0,33205950,103536,33309064.998594217,0.0000126391
25003922300,25,25003,922300,9223,Polygon,1,0,0,24078868,51433,24129832.2294272892,0.0000194266
25003923100,25,25003,923100,9231,Polygon,1,0,0,69442567,1833959,71274347.5938639939,0.0000305627
25003924100,25,25003,924100,9241,Polygon,1,0,0,58901712,2431454,61329025.4395860061,0.0000675093
25003925101,25,25003,925101,9251.01,Polygon,1,0,0,11073342,329653,11402193.8838144261,0.0000702549
25003925102,25,25003,925102,9251.02,Polygon,1,0,0,105006946,2141286,107140665.3161921948,0.0000706188
25003926100,25,25003,926100,9261,Polygon,1,0,0,122792167,2936438,125720105.6803156137,0.0000676005
25003931100,25,25003,931100,9311,Polygon,1,0,0,32868764,267283,33136482.8329965733,0.0000131528
25003931300,25,25003,931300,9313,Polygon,1,0,0,155947815,1077583,157023207.3970271647,0.0000139506
25003931400,25,25003,931400,9314,Polygon,1,0,0,157783465,721854,158497905.1437961161,0.0000467735
25003932200,25,25003,932200,9322,Polygon,1,0,0,217731470,6597974,224314681.9610726833,0.0000658052
25003932300,25,25003,932300,9323,Polygon,1,0,0,53690031,2502365,56189359.5399616957,0.0000540368
25003933200,25,25003,933200,9332,Polygon,1,0,0,116728278,3095157,119815000.8808086514,0.0000703879
25003933300,25,25003,933300,9333,Polygon,1,0,0,121432814,2629683,124054112.066364482,0.0000675864
25003933400,25,25003,933400,9334,Polygon,1,0,0,226269726,9450458,235703919.6574264169,0.0000689985
25003934200,25,25003,934200,9342,Polygon,1,0,0,47792810,595257,48384819.3124754205,0.0000671175
25003934300,25,25003,934300,9343,Polygon,1,0,0,135781043,1114367,136885981.7219177783,0.0000688721
25003935100,25,25003,935100,9351,Polygon,1,0,0,175734433,1054423,176781806.329259336,0.0000398762
25003935200,25,25003,935200,9352,Polygon,1,0,0,11400205,279402,11679004.6551657058,0.0000515724
25003935300,25,25003,935300,9353,Polygon,1,0,0,4621191,80716,4701929.244978386,0.0000047311
25005600100,25,25005,600100,6001,Polygon,1,0,0,7220878,55417,7275823.0839973874,0.0000648566
25005600202,25,25005,600202,6002.02,Polygon,1,0,0,19993383,158819,20150978.6232107393,0.0000607069
25005600203,25,25005,600203,6002.03,Polygon,1,0,0,19560055,499995,20058777.5840817913,0.0000634303
25005600204,25,25005,600204,6002.04,Polygon,1,0,0,15773391,196273,15968708.8233669754,0.0000598119
25005610100,25,25005,610100,6101,Polygon,1,0,0,3812576,67704,3880042.0717497882,0.0000613173
25005610202,25,25005,610202,6102.02,Polygon,1,0,0,23953502,391792,24343853.9219691195,0.0000591522
25005610203,25,25005,610203,6102.03,Polygon,1,0,0,14224700,240712,14464530.122440571,0.0000609646
25005610204,25,25005,610204,6102.04,Polygon,1,0,0,10078442,122133,10199934.0312897451,0.0000628365
25005611101,25,25005,611101,6111.01,Polygon,1,0,0,21312485,757226,22068458.6586034559,0.0000567448
25005611102,25,25005,611102,6111.02,Polygon,1,0,0,17397670,620665,18017379.3500612006,0.0000530376
25005611201,25,25005,611201,6112.01,Polygon,1,0,0,16850434,425428,17275013.5627807789,0.0000491111
25005611202,25,25005,611202,6112.02,Polygon,1,0,0,16527324,2030071,18556356.3197583072,0.0000559712
25005612100,25,25005,612100,6121,Polygon,1,0,0,19222468,44276,19265729.3999809213,0.0000526607
25005612201,25,25005,612201,6122.01,Polygon,1,0,0,8969435,313388,9282363.6236223094,0.0000494867
25005612202,25,25005,612202,6122.02,Polygon,1,0,0,24843935,415101,25257888.3359963782,0.0000454358
25005613100,25,25005,613100,6131,Polygon,1,0,0,25683519,1847600,27529685.2897122353,0.000052076
25005613300,25,25005,613300,6133,Polygon,1,0,0,21965658,425782,22390398.093004588,0.0000465315
25005613400,25,25005,613400,6134,Polygon,1,0,0,15523835,386403,15909574.447717391,0.000041706
25005613600,25,25005,613600,6136,Polygon,1,0,0,1960930,25727,1986567.5819111925,0.0000450093
25005613700,25,25005,613700,6137,Polygon,1,0,0,3503942,15606,3519393.6269689128,0.0000438616
25005613800,25,25005,613800,6138,Polygon,1,0,0,1712858,5655,1718433.2886261463,0.0000463839
25005613901,25,25005,613901,6139.01,Polygon,1,0,0,1244688,24970,1269604.6028909923,0.0000420563
25005613902,25,25005,613902,6139.02,Polygon,1,0,0,8045188,246102,8290960.4267469235,0.0000397493
25005614000,25,25005,614000,6140,Polygon,1,0,0,1939162,35462,1974538.2497647812,0.0000434261
25005614101,25,25005,614101,6141.01,Polygon,1,0,0,10968447,462755,11430735.991137296,0.0000407664
25005614102,25,25005,614102,6141.02,Polygon,1,0,0,28424800,942316,29366011.1598294191,0.0000376217
25005615100,25,25005,615100,6151,Polygon,1,0,0,57059612,1496280,58554113.6512322649,0.0000303701
25005616100,25,25005,616100,6161,Polygon,1,0,0,42766737,2360515,45125882.3162439317,0.0000303516
25005617101,25,25005,617101,6171.01,Polygon,1,0,0,53945532,2934538,56879102.8841337636,0.0000170027
25005617102,25,25005,617102,6171.02,Polygon,1,0,0,35313754,2057154,37370454.6347281337,0.0000121315
25005630101,25,25005,630101,6301.01,Polygon,1,0,0,989288,93431,1082659.8466087941,0.0000546341
25005630102,25,25005,630102,6301.02,Polygon,1,0,0,2165411,173019,2338300.1176049635,0.0000555426
25005630201,25,25005,630201,6302.01,Polygon,1,0,0,6044795,376013,6420441.9801634746,0.0000570053
25005630202,25,25005,630202,6302.02,Polygon,1,0,0,9279614,43026,9322105.4696392864,0.0000573368
25005630301,25,25005,630301,6303.01,Polygon,1,0,0,18453139,328688,18780827.5958046317,0.0000532112
25005630302,25,25005,630302,6303.02,Polygon,1,0,0,1931621,11471,1942981.5935429872,0.00005682
25005630400,25,25005,630400,6304,Polygon,1,0,0,9971680,331728,10302863.2632189002,0.0000528696
25005631101,25,25005,631101,6311.01,Polygon,1,0,0,4008884,33749,4042450.1050971821,0.0000452415
25005631102,25,25005,631102,6311.02,Polygon,1,0,0,4191158,111228,4302190.4484285126,0.0000454519
25005631200,25,25005,631200,6312,Polygon,1,0,0,16994680,1547092,18540873.6266320236,0.0000484513
25005631300,25,25005,631300,6313,Polygon,1,0,0,8943943,156506,9099959.3258711323,0.0000538077
25005631400,25,25005,631400,6314,Polygon,1,0,0,792115,7616,799693.6872243619,0.0000466567
25005631500,25,25005,631500,6315,Polygon,1,0,0,2240113,42076,2282077.1256489377,0.0000490206
25005631600,25,25005,631600,6316,Polygon,1,0,0,1571485,23449,1594858.5221060903,0.0000473235
25005631700,25,25005,631700,6317,Polygon,1,0,0,18616909,337138,18953104.5301132351,0.0000497239
25005631800,25,25005,631800,6318,Polygon,1,0,0,12001490,310470,12311386.6487423014,0.0000465686
25005632100,25,25005,632100,6321,Polygon,1,0,0,23949286,416818,24365199.9687318802,0.000037102
25005632200,25,25005,632200,6322,Polygon,1,0,0,23694520,221850,23915787.9263723046,0.0000243379
25005633100,25,25005,633100,6331,Polygon,1,0,0,54992463,226587,55216874.0525251701,0.0000394057
25005633200,25,25005,633200,6332,Polygon,1,0,0,66564672,1183101,67746040.076363802,0.000025579
25005640100,25,25005,640100,6401,Polygon,1,0,0,3462441,1489149,4951680.3455531914,0.0000182458
25005640201,25,25005,640201,6402.01,Polygon,1,0,0,375121,0,375123.2136323127,0.0000059011
25005640202,25,25005,640202,6402.02,Polygon,1,0,0,1140735,637808,1778564.5326373021,0.0000121069
25005640300,25,25005,640300,6403,Polygon,1,0,0,1306997,450104,1757118.4913088053,0.0000099546
25005640400,25,25005,640400,6404,Polygon,1,0,0,890776,320084,1210870.0480166164,0.0000082982
25005640500,25,25005,640500,6405,Polygon,1,0,0,1363898,438873,1802786.9450788407,0.0000088448
25005640600,25,25005,640600,6406,Polygon,1,0,0,720776,0,720778.8505100444,0.0000039548
25005640700,25,25005,640700,6407,Polygon,1,0,0,952096,0,952106.0290058533,0.0000105336
25005640800,25,25005,640800,6408,Polygon,1,0,0,3118268,2836343,5954683.6399907852,0.0000121989
25005640901,25,25005,640901,6409.01,Polygon,1,0,0,739263,6367,745635.6046331731,0.0000075166
25005641000,25,25005,641000,6410,Polygon,1,0,0,659061,295751,954814.1576465998,0.0000022598
25005641101,25,25005,641101,6411.01,Polygon,1,0,0,459081,0,459082.1993489958,0.0000026125
25005641200,25,25005,641200,6412,Polygon,1,0,0,1022814,126547,1149370.8050827684,0.0000085309
25005641300,25,25005,641300,6413,Polygon,1,0,0,885718,0,885727.4483415099,0.0000106674
25005641400,25,25005,641400,6414,Polygon,1,0,0,606111,7348,613463.4515420075,0.0000072565
25005641500,25,25005,641500,6415,Polygon,1,0,0,358290,0,358291.5589860851,0.0000043512
25005641600,25,25005,641600,6416,Polygon,1,0,0,991853,543950,1535817.4588934192,0.0000094145
25005641700,25,25005,641700,6417,Polygon,1,0,0,3052190,82249,3134459.4453372802,0.0000065228
25005641800,25,25005,641800,6418,Polygon,1,0,0,524919,0,524921.0533323758,0.0000039117
25005641900,25,25005,641900,6419,Polygon,1,0,0,354174,0,354181.4683670265,0.0000210867
25005642000,25,25005,642000,6420,Polygon,1,0,0,1105557,819837,1925400.0860979478,0.000003161
25005642100,25,25005,642100,6421,Polygon,1,0,0,2633345,1984443,4617750.1455059666,0.0000081975
25005642200,25,25005,642200,6422,Polygon,1,0,0,1422770,3763,1426530.0674227776,0.0000020557
25005642300,25,25005,642300,6423,Polygon,1,0,0,1009715,0,1009714.8372532416,0.0000001612
25005642400,25,25005,642400,6424,Polygon,1,0,0,1156535,0,1156535.5767685766,0.0000004987
25005642500,25,25005,642500,6425,Polygon,1,0,0,55475041,8385254,63860145.5074185058,0.0000023409
25005644101,25,25005,644101,6441.01,Polygon,1,0,0,4354480,818036,5172454.2456791596,0.0000119389
25005644102,25,25005,644102,6441.02,Polygon,1,0,0,5739108,2155382,7894358.9201914519,0.000016604
25005644200,25,25005,644200,6442,Polygon,1,0,0,10362785,7366662,17729439.184213236,0.0000004408
25005645101,25,25005,645101,6451.01,Polygon,1,0,0,5582701,4995814,10578514.9718747512,0.0000000027
25005645102,25,25005,645102,6451.02,Polygon,1,0,0,29146597,647058,29793225.5331165604,0.0000144147
25005645103,25,25005,645103,6451.03,Polygon,1,0,0,24009990,1077485,25087179.3315621391,0.0000117855
25005646101,25,25005,646101,6461.01,Polygon,1,0,0,32188718,3262737,35452127.8003676385,0.0000189781
25005646103,25,25005,646103,6461.03,Polygon,1,0,0,50309385,2744896,53056288.2771950662,0.0000378344
25005646104,25,25005,646104,6461.04,Polygon,1,0,0,46537222,14678358,61219420.878437981,0.0000627435
25005650101,25,25005,650101,6501.01,Polygon,1,0,0,4899390,148107,5047498.5377548281,0.0000003047
25005650102,25,25005,650102,6501.02,Polygon,1,0,0,5070453,34078,5104529.6539428085,0.0000002637
25005650201,25,25005,650201,6502.01,Polygon,1,0,0,16042025,314134,16356305.9897767454,0.0000089868
25005650202,25,25005,650202,6502.02,Polygon,1,0,0,1849613,14605,1864239.3176942142,0.0000114352
25005650300,25,25005,650300,6503,Polygon,1,0,0,1077772,42961,1120749.3545144459,0.0000145927
25005650400,25,25005,650400,6504,Polygon,1,0,0,718578,145530,864121.051611885,0.0000151041
25005650500,25,25005,650500,6505,Polygon,1,0,0,574335,0,574340.4894561745,0.0000095579
25005650600,25,25005,650600,6506,Polygon,1,0,0,397456,34063,431526.2353779022,0.0000167672
25005650700,25,25005,650700,6507,Polygon,1,0,0,361509,167769,529287.2998877493,0.0000175709
25005650800,25,25005,650800,6508,Polygon,1,0,0,601715,0,601726.3758328602,0.0000189057
25005650900,25,25005,650900,6509,Polygon,1,0,0,948483,0,948501.38938232,0.0000193882
25005651001,25,25005,651001,6510.01,Polygon,1,0,0,3462492,21860,3484417.0059073484,0.0000186565
25005651002,25,25005,651002,6510.02,Polygon,1,0,0,2358406,47648,2406105.1993889147,0.0000212794
25005651100,25,25005,651100,6511,Polygon,1,0,0,690427,0,690443.2406277463,0.0000235226
25005651200,25,25005,651200,6512,Polygon,1,0,0,826884,156749,983653.5006037565,0.0000208417
25005651300,25,25005,651300,6513,Polygon,1,0,0,835420,527231,1362680.7820029596,0.0000218559
25005651400,25,25005,651400,6514,Polygon,1,0,0,441217,0,441225.2150486087,0.0000186191
25005651500,25,25005,651500,6515,Polygon,1,0,0,853610,0,853634.3804286737,0.0000285616
25005651600,25,25005,651600,6516,Polygon,1,0,0,698848,0,698868.8746505762,0.0000298701
25005651700,25,25005,651700,6517,Polygon,1,0,0,406816,0,406824.653877375,0.0000212722
25005651800,25,25005,651800,6518,Polygon,1,0,0,846076,414747,1260860.4866276868,0.0000297319
25005651900,25,25005,651900,6519,Polygon,1,0,0,1000269,907904,1908228.3646662226,0.0000290145
25005652000,25,25005,652000,6520,Polygon,1,0,0,439925,0,439936.7906230927,0.0000268014
25005652100,25,25005,652100,6521,Polygon,1,0,0,571605,0,571623.6484485219,0.0000326247
25005652200,25,25005,652200,6522,Polygon,1,0,0,946030,0,946057.5783068817,0.0000291516
25005652300,25,25005,652300,6523,Polygon,1,0,0,945071,0,945104.1973893051,0.0000351269
25005652400,25,25005,652400,6524,Polygon,1,0,0,738726,102029,840786.9453583899,0.000037996
25005652500,25,25005,652500,6525,Polygon,1,0,0,242840,27189,270037.2296237338,0.0000304768
25005652600,25,25005,652600,6526,Polygon,1,0,0,536681,185335,722037.7303973243,0.0000300968
25005652700,25,25005,652700,6527,Polygon,1,0,0,675887,275499,951417.8021779134,0.0000334272
25005652800,25,25005,652800,6528,Polygon,1,0,0,1747524,857711,2605336.2997537036,0.0000388832
25005653101,25,25005,653101,6531.01,Polygon,1,0,0,19819424,806510,20626405.417161759,0.0000228556
25005653102,25,25005,653102,6531.02,Polygon,1,0,0,45259773,457124,45717348.0347471833,0.0000098658
25005653203,25,25005,653203,6532.03,Polygon,1,0,0,4712838,2617,4715608.5408898527,0.0000325612
25005653204,25,25005,653204,6532.04,Polygon,1,0,0,12475479,58547,12534461.3589847833,0.0000347342
25005653301,25,25005,653301,6533.01,Polygon,1,0,0,8784031,2109437,10893916.2347891293,0.0000411471
25005653304,25,25005,653304,6533.04,Polygon,1,0,0,51888866,6956813,58849036.2374180779,0.0000570516
25005654100,25,25005,654100,6541,Polygon,1,0,0,43228570,1113733,44342314.5938656926,0.0000002615
25005654200,25,25005,654200,6542,Polygon,1,0,0,4497223,237065,4734330.2753761103,0.0000089296
25005655100,25,25005,655100,6551,Polygon,1,0,0,17121475,1430928,18552787.4497820176,0.0000207224
25005655200,25,25005,655200,6552,Polygon,1,0,0,2452986,749748,3202797.4750204794,0.000019819
25005655300,25,25005,655300,6553,Polygon,1,0,0,3277235,427760,3705076.699522702,0.0000220512
25005655400,25,25005,655400,6554,Polygon,1,0,0,9216902,6057959,15275408.0552515481,0.0000358141
25005985500,25,25005,985500,9855,Polygon,1,0,0,14859255,261592,15121383.4605207592,0.0000354782
25005985600,25,25005,985600,9856,Polygon,1,0,0,11940658,318336,12258187.7930750996,0.0000657645
25005990000,25,25005,990000,9900,Polygon,1,0,0,0,250282420,250299926.0493111312,0.0000699452
25007200100,25,25007,200100,2001,Polygon,1,0,0,16884798,10109959,26997341.558811266,0.000095743
25007200200,25,25007,200200,2002,Polygon,1,0,0,18874981,11175882,30053971.0939514227,0.0001034278
25007200300,25,25007,200300,2003,Polygon,1,0,0,69445842,53089143,122551272.1632592529,0.0001329185
25007200400,25,25007,200400,2004,MultiPolygon,1,0,0,162087372,145188936,307315849.8015518785,0.0001286848
25007990000,25,25007,990000,9900,Polygon,1,0,0,0,784727495,784831575.5182759762,0.0001326327
25009201100,25,25009,201100,2011,Polygon,1,0,0,2786306,3481257,6267214.7292379905,0.0000555672
25009202101,25,25009,202101,2021.01,Polygon,1,0,0,1455632,7226,1462785.2919981533,0.0000497027
25009202103,25,25009,202103,2021.03,Polygon,1,0,0,1718058,24048,1742021.1135003699,0.0000487264
25009202104,25,25009,202104,2021.04,Polygon,1,0,0,1204423,0,1204364.9631334764,0.0000481864
25009202200,25,25009,202200,2022,Polygon,1,0,0,3452799,1441782,4894344.5713212527,0.0000483042
25009203100,25,25009,203100,2031,Polygon,1,0,0,3756765,1481336,5237857.4775868468,0.0000464906
25009203200,25,25009,203200,2032,Polygon,1,0,0,3469476,5447621,8916712.3054139782,0.0000431412
25009203301,25,25009,203301,2033.01,Polygon,1,0,0,1832242,1036528,2868647.5406181207,0.0000426871
25009203302,25,25009,203302,2033.02,Polygon,1,0,0,2398881,4370983,6769595.1270403853,0.0000397162
25009204101,25,25009,204101,2041.01,Polygon,1,0,0,1239544,511711,1751180.3608785411,0.0000426204
25009204102,25,25009,204102,2041.02,Polygon,1,0,0,2596112,119614,2715603.3866253225,0.0000451494
25009204200,25,25009,204200,2042,Polygon,1,0,0,940441,10328,950734.8718410212,0.0000358953
25009204300,25,25009,204300,2043,Polygon,1,0,0,565864,656707,1222520.1697702769,0.0000415765
25009204400,25,25009,204400,2044,Polygon,1,0,0,1904883,11441108,13345488.4527054075,0.0000376553
25009204500,25,25009,204500,2045,Polygon,1,0,0,962957,527337,1490238.5314175012,0.0000372199
25009204600,25,25009,204600,2046,Polygon,1,0,0,3129356,758484,3887700.5740308524,0.0000358621
25009204701,25,25009,204701,2047.01,Polygon,1,0,0,7260827,168449,7428949.4357839664,0.0000439564
25009204702,25,25009,204702,2047.02,Polygon,1,0,0,2433303,4566,2437771.8773522056,0.0000398392
25009205100,25,25009,205100,2051,Polygon,1,0,0,1826304,139897,1966112.6976272163,0.0000449101
25009205200,25,25009,205200,2052,Polygon,1,0,0,1220400,176413,1396744.6279480469,0.0000489486
25009205300,25,25009,205300,2053,Polygon,1,0,0,2279414,196638,2475943.7134363018,0.0000437336
25009205400,25,25009,205400,2054,Polygon,1,0,0,8127052,1360949,9487573.341852868,0.0000450736
25009205500,25,25009,205500,2055,Polygon,1,0,0,1509950,2085,1511961.6115442663,0.0000485362
25009205600,25,25009,205600,2056,Polygon,1,0,0,1398217,3341,1401488.0228363045,0.0000499281
25009205700,25,25009,205700,2057,Polygon,1,0,0,1372645,142703,1515269.9315694924,0.0000515185
25009205800,25,25009,205800,2058,Polygon,1,0,0,831819,78485,910257.2281168964,0.0000513805
25009205900,25,25009,205900,2059,Polygon,1,0,0,608451,0,608424.119243885,0.000044179
25009206000,25,25009,206000,2060,Polygon,1,0,0,306429,0,306411.2173691469,0.0000580318
25009206100,25,25009,206100,2061,Polygon,1,0,0,317662,0,317646.6381293135,0.0000483592
25009206200,25,25009,206200,2062,Polygon,1,0,0,491598,0,491574.3552617575,0.0000480977
25009206300,25,25009,206300,2063,Polygon,1,0,0,600953,0,600923.5737608591,0.000048966
25009206400,25,25009,206400,2064,Polygon,1,0,0,851338,0,851297.6739291102,0.0000473679
25009206500,25,25009,206500,2065,Polygon,1,0,0,420615,0,420595.8087006956,0.0000456268
25009206600,25,25009,206600,2066,Polygon,1,0,0,640976,140727,781663.3307133192,0.0000507473
25009206700,25,25009,206700,2067,Polygon,1,0,0,529448,243282,772691.3611049195,0.0000500031
25009206800,25,25009,206800,2068,Polygon,1,0,0,472510,0,472486.1476741412,0.00005048
25009206900,25,25009,206900,2069,Polygon,1,0,0,531356,75249,606572.6956554877,0.0000532543
25009207000,25,25009,207000,2070,Polygon,1,0,0,739558,68752,808271.9929552155,0.0000470204
25009207100,25,25009,207100,2071,Polygon,1,0,0,362433,0,362414.8643771062,0.0000500386
25009207200,25,25009,207200,2072,Polygon,1,0,0,2374485,429346,2803684.1319790389,0.0000523812
25009208101,25,25009,208101,2081.01,Polygon,1,0,0,2208538,26750,2235172.435380273,0.0000517001
25009208102,25,25009,208102,2081.02,Polygon,1,0,0,4751972,1165555,5917214.3456454109,0.0000528353
25009208200,25,25009,208200,2082,Polygon,1,0,0,3103617,58478,3161931.8634734736,0.0000515913
