landmark_exposure,group,time_days,at_risk_before,events_at_time,censored_at_time,conditional_event_free_factor,km_event_free_probability,greenwood_cumulative,standard_error,lower95,upper95
1,scheduled_followup,48.90208333,126,1,0,0.99206349,0.96899225,0.00024806,0.01526161,0.91949681,0.98824807
1,scheduled_followup,81.92013889,125,1,0,0.99200000,0.96124031,0.00031258,0.01699461,0.90939161,0.98368171
1,scheduled_followup,87.94166667,124,1,0,0.99193548,0.95348837,0.00037814,0.01854145,0.89940459,0.97883147
1,scheduled_followup,88.00000000,123,1,0,0.99186992,0.94573643,0.00044478,0.01994547,0.88955002,0.97375546
1,scheduled_followup,116.95833333,122,1,0,0.99180328,0.93798450,0.00051252,0.02123504,0.87982358,0.96849361
1,scheduled_followup,117.95833333,121,1,0,0.99173554,0.93023256,0.00058140,0.02242990,0.87021597,0.96307484
1,scheduled_followup,122.92777778,120,1,0,0.99166667,0.92248062,0.00065142,0.02354447,0.86071714,0.95752088
1,scheduled_followup,133.95833333,119,1,0,0.99159664,0.91472868,0.00072264,0.02458967,0.85131760,0.95184857
1,scheduled_followup,150.95833333,118,1,0,0.99152542,0.90697674,0.00079507,0.02557402,0.84200890,0.94607127
1,scheduled_followup,160.00000000,117,1,0,0.99145299,0.89922481,0.00086875,0.02650429,0.83278356,0.94019983
1,scheduled_followup,168.89583333,116,1,0,0.99137931,0.89147287,0.00094371,0.02738599,0.82363508,0.93424317
1,scheduled_followup,171.00000000,115,1,0,0.99130435,0.88372093,0.00101999,0.02822367,0.81455774,0.92820875
1,scheduled_followup,173.95833333,114,1,0,0.99122807,0.87596899,0.00109762,0.02902115,0.80554656,0.92210288
1,scheduled_followup,183.95833333,113,1,0,0.99115044,0.86821705,0.00117663,0.02978166,0.79659715,0.91593095
1,scheduled_followup,184.95833333,112,1,0,0.99107143,0.86046512,0.00125707,0.03050796,0.78770563,0.90969762
1,scheduled_followup,206.95833333,111,2,0,0.98198198,0.84496124,0.00142237,0.03186718,0.77008293,0.89706248
1,scheduled_followup,299.91805556,109,1,0,0.99082569,0.83720930,0.00150732,0.03250401,0.76134595,0.89066734
1,scheduled_followup,315.95833333,108,1,0,0.99074074,0.82945736,0.00159386,0.03311454,0.75265519,0.88422432
1,scheduled_followup,319.93750000,107,1,0,0.99065421,0.82170543,0.00168202,0.03370019,0.74400845,0.87773589
1,scheduled_followup,327.95833333,106,2,0,0.98113208,0.80620155,0.00186345,0.03480183,0.72683922,0.86463148
1,scheduled_followup,335.00000000,104,0,104,1.00000000,0.80620155,0.00186345,0.03480183,0.72683922,0.86463148
