tract_fips,county_fips,county_name,tract_modeled_prevalence_percent,tract_map_class,county_weighted_tract_summary_percent,county_summary_class,absolute_difference_percentage_points,class_changes_after_aggregation,interpretation_limit
25001010100,25001,Barnstable,12.1,10.0% to less than 15.0%,10.5608592651,10.0% to less than 15.0%,1.5391407349,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003932300,25003,Berkshire,11.8,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.9860398247,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003933200,25003,Berkshire,10.7,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.1139601753,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003933300,25003,Berkshire,11.2,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.3860398247,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003933400,25003,Berkshire,11.3,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.4860398247,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003934200,25003,Berkshire,9.8,5.0% to less than 10.0%,10.8139601753,10.0% to less than 15.0%,1.0139601753,1,tract and county summaries answer different area-level questions; neither supports individual inference
25003934300,25003,Berkshire,10.7,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.1139601753,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003935100,25003,Berkshire,11.4,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.5860398247,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003935200,25003,Berkshire,10.3,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,0.5139601753,0,tract and county summaries answer different area-level questions; neither supports individual inference
25003935300,25003,Berkshire,12.4,10.0% to less than 15.0%,10.8139601753,10.0% to less than 15.0%,1.5860398247,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005600100,25005,Bristol,9.8,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,0.9395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005600202,25005,Bristol,9.4,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,1.3395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005600203,25005,Bristol,9.8,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,0.9395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005600204,25005,Bristol,8.5,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,2.2395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005610100,25005,Bristol,8,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,2.7395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005610202,25005,Bristol,8,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,2.7395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005610203,25005,Bristol,7.9,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,2.8395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005610204,25005,Bristol,8.3,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,2.4395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005611101,25005,Bristol,8.8,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,1.9395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005611102,25005,Bristol,6.6,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,4.1395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005611201,25005,Bristol,9.3,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,1.4395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005611202,25005,Bristol,8.7,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,2.0395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005612100,25005,Bristol,10.2,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,0.5395653812,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005612201,25005,Bristol,10.3,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,0.4395653812,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005612202,25005,Bristol,9.8,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,0.9395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005613100,25005,Bristol,11.2,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,0.4604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005613300,25005,Bristol,9.6,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,1.1395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005613400,25005,Bristol,10.7,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,0.0395653812,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005613600,25005,Bristol,12.6,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,1.8604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005613700,25005,Bristol,11,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,0.2604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005613800,25005,Bristol,12.4,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,1.6604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005613901,25005,Bristol,11.4,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,0.6604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005613902,25005,Bristol,11.5,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,0.7604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005614000,25005,Bristol,13.9,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,3.1604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005614101,25005,Bristol,10.4,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,0.3395653812,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005614102,25005,Bristol,10.1,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,0.6395653812,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005615100,25005,Bristol,8.5,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,2.2395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005616100,25005,Bristol,8.3,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,2.4395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005617101,25005,Bristol,8.8,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,1.9395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005617102,25005,Bristol,9.3,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,1.4395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005630101,25005,Bristol,8.7,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,2.0395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005630102,25005,Bristol,8.8,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,1.9395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005630201,25005,Bristol,9.6,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,1.1395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005630202,25005,Bristol,7.8,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,2.9395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005630301,25005,Bristol,8.5,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,2.2395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005630302,25005,Bristol,7.7,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,3.0395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005630400,25005,Bristol,9,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,1.7395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005631101,25005,Bristol,11.8,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,1.0604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005631102,25005,Bristol,10,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,0.7395653812,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005631200,25005,Bristol,10.1,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,0.6395653812,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005631300,25005,Bristol,9.1,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,1.6395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005631400,25005,Bristol,12,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,1.2604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005631500,25005,Bristol,10.7,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,0.0395653812,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005631600,25005,Bristol,12.8,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,2.0604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005631700,25005,Bristol,8.9,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,1.8395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005631800,25005,Bristol,10.8,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,0.0604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005632100,25005,Bristol,9.3,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,1.4395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005632200,25005,Bristol,9.3,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,1.4395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005633100,25005,Bristol,9.7,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,1.0395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005633200,25005,Bristol,9.3,5.0% to less than 10.0%,10.7395653812,10.0% to less than 15.0%,1.4395653812,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005640100,25005,Bristol,11.4,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,0.6604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005640201,25005,Bristol,14.7,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,3.9604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005640202,25005,Bristol,15.8,15.0% to less than 20.0%,10.7395653812,10.0% to less than 15.0%,5.0604346188,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005640300,25005,Bristol,12.2,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,1.4604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005640400,25005,Bristol,12.8,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,2.0604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005640500,25005,Bristol,12.3,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,1.5604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005640600,25005,Bristol,12.6,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,1.8604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005640700,25005,Bristol,11.7,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,0.9604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005640800,25005,Bristol,10.1,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,0.6395653812,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005640901,25005,Bristol,10.9,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,0.1604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005641000,25005,Bristol,16.4,15.0% to less than 20.0%,10.7395653812,10.0% to less than 15.0%,5.6604346188,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005641101,25005,Bristol,20.6,20.0% or greater,10.7395653812,10.0% to less than 15.0%,9.8604346188,1,tract and county summaries answer different area-level questions; neither supports individual inference
25005641200,25005,Bristol,14.5,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,3.7604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005641300,25005,Bristol,13.8,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,3.0604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005641400,25005,Bristol,14.6,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,3.8604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
25005641500,25005,Bristol,12.8,10.0% to less than 15.0%,10.7395653812,10.0% to less than 15.0%,2.0604346188,0,tract and county summaries answer different area-level questions; neither supports individual inference
